Date,rate_AMAT_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-2350.0
2022-01-05,0.0,0.0,-97.94
2022-01-06,0.0,0.0,-6.73
2022-01-07,-1.27,0.0,-133.88
2022-01-10,-1.91,0.0,-152.76
2022-01-11,-2.18,0.0,-192.06
2022-01-12,-1.49,0.0,487.5
2022-01-13,-1.18,0.0,129.37
2022-01-14,0.41,0.0,462.41
2022-01-18,0.67,0.0,30.37
2022-01-19,-0.23,0.0,-83.48
2022-01-20,-2.18,0.0,-93.4
2022-01-21,-4.29,0.0,-80.46
2022-01-24,-6.94,0.0,-52.25
2022-01-25,-8.9,0.0,-84.83
2022-01-26,-9.68,0.0,-57.14
2022-01-27,-10.71,0.0,-92.62
2022-01-28,-11.08,0.0,-142.14
2022-01-31,-11.2,-2.9,-153.18
2022-02-01,-10.51,-3.04,-194.98
2022-02-02,-9.85,-3.13,-253.3
2022-02-03,-9.09,-3.28,-137.0
2022-02-04,-8.69,-3.41,-178.89
2022-02-07,-8.88,-3.55,-150.0
2022-02-08,-8.85,-3.64,-155.87
2022-02-09,-8.39,-3.7,-156.91
2022-02-10,-7.98,-3.85,-115.99
2022-02-11,-8.36,-4.04,-128.63
2022-02-14,-8.9,-4.25,-123.69
2022-02-15,-8.74,-4.32,-77.7
2022-02-16,-9.11,-4.34,-64.07
2022-02-17,-9.51,-4.43,-58.85
2022-02-18,-9.4,-4.47,-75.69
2022-02-22,-9.6,-4.58,-79.14
2022-02-23,-11.14,-4.71,-64.9
2022-02-24,-12.11,-4.78,-47.09
2022-02-25,-12.21,-4.72,-70.4
2022-02-28,-12.1,-4.77,-79.97
2022-03-01,-12.1,-4.96,-87.19
2022-03-02,-11.35,-5.1,-100.54
2022-03-03,-11.64,-5.3,-112.11
2022-03-04,-12.83,-5.44,-135.61
2022-03-07,-14.66,-5.73,-114.26
2022-03-08,-15.33,-6.03,-68.14
2022-03-09,-15.86,-6.26,-80.49
2022-03-10,-16.56,-6.57,-100.87
2022-03-11,-16.8,-6.86,-85.78
2022-03-14,-16.68,-7.09,-97.05
2022-03-15,-16.64,-7.21,-109.34
2022-03-16,-16.38,-7.3,-112.5
2022-03-17,-15.45,-7.34,-141.46
2022-03-18,-13.93,-7.24,-152.52
2022-03-21,-12.08,-7.1,-168.97
2022-03-22,-10.62,-6.86,-246.64
2022-03-23,-10.5,-6.6,-207.18
2022-03-24,-9.63,-6.36,-155.48
2022-03-25,-9.38,-6.18,-250.64
2022-03-28,-8.92,-5.97,-364.5
2022-03-29,-8.13,-5.63,-1014.58
2022-03-30,-7.55,-5.41,-733.03
2022-03-31,-8.45,-5.23,-356.42
2022-04-01,-9.64,-5.01,-533.93
2022-04-04,-10.65,-4.61,-789.66
2022-04-05,-13.17,-4.25,-585.11
2022-04-06,-15.26,-4.04,-446.5
2022-04-07,-16.41,-3.79,-464.52
2022-04-08,-17.39,-3.5,-473.57
2022-04-11,-19.12,-3.25,-335.83
2022-04-12,-20.06,-3.12,-328.79
2022-04-13,-20.38,-3.03,-399.29
2022-04-14,-21.56,-3.06,-336.31
2022-04-18,-22.23,-3.14,-319.25
2022-04-19,-22.12,-3.15,-440.72
2022-04-20,-21.68,-3.21,-416.96
2022-04-21,-21.83,-3.28,-309.93
2022-04-22,-21.91,-3.53,-202.93
2022-04-25,-21.96,-3.79,-208.01
