Date,rate_MAA_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,29.83
2019-03-01,6.49,4.45,2.04,31.8
2019-04-29,9.97,7.58,2.39,32.13
2019-06-25,17.68,7.2,10.48,39.92
2019-08-21,24.19,7.24,16.95,46.15
2019-10-17,30.66,8.87,21.79,50.81
2019-12-13,27.86,13.19,14.67,43.96
2020-02-12,37.25,18.03,19.22,48.34
2020-04-09,21.16,3.89,17.27,46.46
2020-06-08,30.15,14.68,15.47,44.73
2020-08-04,21.41,16.26,5.15,34.79
2020-09-30,20.53,17.41,3.12,32.84
2020-11-25,28.79,24.05,4.74,34.4
2021-01-26,37.76,29.15,8.61,38.12
2021-03-24,46.35,30.35,16.0,45.24
2021-05-20,58.75,36.67,22.08,51.09
2021-07-19,81.53,38.99,42.54,70.79
2021-09-14,89.35,43.6,45.75,73.89
2021-11-09,99.33,49.14,50.19,78.16
2022-01-06,116.03,49.24,66.79,94.15
2022-03-07,107.98,37.68,70.3,97.53
2022-05-03,87.67,36.93,50.74,78.69
2022-06-30,73.96,27.61,46.35,74.46
2022-08-26,73.24,34.27,38.97,67.36
2022-10-24,50.11,27.92,22.19,51.2
2022-12-20,55.25,28.33,26.92,55.75
2023-02-17,68.2,34.71,33.49,62.08
2023-04-18,50.77,36.36,14.41,43.71
2023-06-14,54.6,41.83,12.77,42.13
2023-08-11,46.3,43.86,2.44,32.18
2023-10-09,36.52,40.69,-4.17,25.82
2023-12-05,30.08,46.52,-16.44,14.0
2024-02-02,31.49,55.53,-24.04,6.68
2024-04-02,30.99,61.42,-30.43,0.53
2024-05-29,32.2,63.18,-30.98,0.0
2024-07-26,44.69,67.5,-22.81,7.87
