Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_downp_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker
2022-01-03,797.49,795.74,799.36,784.96,797.49,720600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,797.49,0.00,0.00,0.00,False,False,797.49,31000000.00,0,16485682.18,14514317.82,14.00,0.00,31000000,week +buy 50% Monthly invest,0.00,0.00,0.00,ASML
2022-01-04,779.19,793.63,793.63,763.29,779.19,874100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.15,False,False,779.19,30666940.22,0,16485682.18,14181258.04,14.00,-1.07,31000000,,0.00,0.00,0.00,ASML
2022-01-05,745.67,765.91,766.54,745.04,745.67,1193200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.50,False,False,745.67,30056875.87,0,16485682.18,13571193.69,14.00,-3.04,31000000,,0.00,0.00,0.00,ASML
2022-01-06,763.12,739.53,763.76,729.81,763.12,2041200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.56,False,False,745.67,30374466.09,0,16485682.18,13888783.91,14.00,-2.02,31000000,,0.00,0.00,0.00,ASML
2022-01-07,756.10,758.39,763.36,743.60,756.10,1363300,0.00,0.00,768.31,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.62,False,False,745.67,30246701.75,0,16485682.18,13761019.56,14.00,-2.43,31000000,,0.00,0.00,0.00,ASML
2022-01-10,727.17,716.52,727.66,702.30,727.17,1973400,0.00,0.00,754.25,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.86,False,False,727.17,29720175.87,0,8923114.36,20797061.51,22.00,-4.13,31000000,week +buy 50% ,0.00,0.00,0.00,ASML
2022-01-11,729.16,706.99,731.44,700.71,729.16,2120700,0.00,0.00,744.24,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.95,False,False,727.17,29777089.59,0,8923114.36,20853975.23,22.00,-3.94,31000000,,0.00,0.00,0.00,ASML
2022-01-12,742.17,739.31,749.45,735.00,742.17,959700,0.00,0.00,743.54,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.84,False,False,727.17,30149175.87,0,8923114.36,21226061.51,22.00,-2.74,31000000,,0.00,0.00,0.00,ASML
2022-01-13,730.08,772.41,777.92,728.64,730.08,1628700,0.00,0.00,736.94,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.82,False,False,727.17,29803402.84,0,8923114.36,20880288.49,22.00,-3.86,31000000,,0.00,0.00,0.00,ASML
2022-01-14,744.53,735.60,746.60,728.17,744.53,1313600,0.00,0.00,734.62,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.63,False,False,727.17,30216673.19,0,8923114.36,21293558.83,22.00,-2.53,31000000,,0.00,0.00,0.00,ASML
2022-01-18,715.23,741.03,741.07,714.24,715.23,1178500,0.00,0.00,732.23,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.72,False,False,715.23,29378691.79,0,8923114.36,20455577.43,22.00,-5.23,31000000,,0.00,0.00,0.00,ASML
2022-01-19,698.82,736.94,738.88,698.71,698.82,1593200,0.00,0.00,726.17,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.86,False,False,698.82,28909366.56,0,8923114.36,19986252.20,22.00,-6.74,31000000,,0.00,0.00,0.00,ASML
2022-01-20,706.46,724.89,729.98,706.21,706.46,1536500,0.00,0.00,719.02,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.83,False,False,698.82,29127870.99,0,8923114.36,20204756.63,22.00,-6.04,31000000,,0.00,0.00,0.00,ASML
2022-01-21,694.73,707.29,721.20,694.71,694.73,1689600,0.00,0.00,711.95,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.85,False,False,694.73,28792391.79,0,8923114.36,19869277.43,22.00,-7.12,31000000,,0.00,0.00,0.00,ASML
2022-01-24,687.42,666.05,688.64,648.63,687.42,2833100,0.00,0.00,700.53,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.87,False,False,687.42,28583325.87,0,5348530.45,23234795.43,26.00,-7.80,31000000,week +buy 50% ,24.92,0.00,0.00,ASML
2022-01-25,648.57,652.64,668.16,643.82,648.57,2095300,0.00,0.00,687.20,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-1.16,False,False,648.57,27270196.68,0,5348530.45,21921666.24,26.00,-12.03,31000000,,18.95,0.00,0.00,ASML
2022-01-26,653.26,661.63,679.38,644.66,653.26,1376700,0.00,0.00,678.09,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-1.22,False,False,648.57,27428718.79,0,5348530.45,22080188.34,26.00,-11.52,31000000,,21.40,0.00,0.00,ASML
2022-01-27,634.66,664.80,665.00,631.40,634.66,1465300,0.00,0.00,663.73,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-1.35,False,False,634.66,26800037.53,0,5348530.45,21451507.09,26.00,-13.55,31000000,,18.96,0.00,0.00,ASML
2022-01-28,644.97,633.60,644.98,620.67,644.97,1339700,0.00,0.00,653.78,0.00,0.00,0.00,0.00,797.49,0.00,0.00,-1.24,False,False,634.66,27148515.47,0,5348530.45,21799985.02,26.00,-12.42,31000000,,24.13,0.00,0.00,ASML
2022-01-31,677.20,650.70,677.55,648.03,677.20,1357400,803.85,533.70,651.73,713.80,0.00,0.00,0.00,797.49,0.00,0.00,-0.78,False,False,634.66,28237890.85,0,2707450.40,25530440.45,29.00,-8.91,31000000,week +buy 50% ,37.54,0.00,0.00,ASML
2022-02-01,681.48,682.55,683.71,666.27,681.48,945000,790.36,543.28,658.31,708.00,0.00,0.00,0.00,797.49,0.00,0.00,-0.38,False,False,634.66,29399245.65,0,3707450.40,25691795.25,29.00,-8.13,32000000,Monthly invest,39.08,0.00,0.00,ASML
2022-02-02,686.75,687.95,691.24,674.09,686.75,713600,779.36,551.40,665.01,703.38,0.00,0.00,0.00,797.49,0.00,0.00,-0.02,False,False,634.66,29597925.40,0,3707450.40,25890475.00,29.00,-7.51,32000000,,41.01,36.27,0.00,ASML
2022-02-03,645.93,659.09,664.67,644.47,645.93,1212000,775.70,543.77,667.27,698.39,0.00,0.00,0.00,797.49,0.00,0.00,-0.14,False,False,634.66,28059011.14,0,3707450.40,24351560.74,29.00,-12.32,32000000,,32.44,31.08,0.00,ASML
2022-02-04,652.81,648.05,661.21,643.30,652.81,863100,766.58,545.46,668.83,692.87,0.00,0.00,0.00,797.49,0.00,0.00,-0.11,False,False,634.66,28318387.32,0,3707450.40,24610936.92,29.00,-11.51,32000000,,34.91,26.17,0.00,ASML
2022-02-07,650.03,654.15,661.41,648.55,650.03,520300,757.48,547.74,663.40,687.57,0.00,0.00,0.00,797.49,0.00,0.00,-0.07,False,False,634.66,28213582.49,0,2017372.32,26196210.17,31.00,-11.83,32000000,week +buy 50% ,34.37,18.39,0.00,ASML
2022-02-08,653.47,636.85,655.36,635.60,653.47,745300,752.83,546.01,657.80,683.89,0.00,0.00,0.00,797.49,0.00,72.00,0.02,False,False,634.66,28352212.16,0,2017372.32,26334839.83,31.00,-11.40,32000000,,35.71,19.99,0.00,ASML
2022-02-09,680.37,670.79,682.23,663.88,680.37,842000,747.18,549.97,656.52,681.45,0.00,0.00,0.00,797.49,0.00,68.00,0.37,False,False,634.66,29436283.12,0,2017372.32,27418910.80,31.00,-8.01,32000000,,45.15,25.83,0.00,ASML
2022-02-10,656.88,654.59,677.62,653.00,656.88,961200,737.45,556.65,658.71,677.18,0.00,0.00,0.00,797.49,24.00,64.00,0.38,False,False,634.66,28489636.53,0,2017372.32,26472264.20,31.00,-10.97,32000000,,39.67,27.28,0.00,ASML
2022-02-11,628.24,657.54,660.32,625.25,628.24,1116300,730.81,554.66,653.80,672.09,0.00,0.00,0.00,797.49,20.00,60.00,0.13,False,False,628.24,27335443.92,0,2017372.32,25318071.60,31.00,-14.58,32000000,,34.22,22.33,0.00,ASML
2022-02-14,627.91,626.15,634.95,620.00,627.91,890200,717.76,563.26,649.37,666.26,0.00,0.00,0.00,797.49,16.00,100.00,-0.00,False,False,627.91,27322144.24,0,1201089.36,26121054.88,32.00,-14.62,32000000,week +buy 50% ,34.16,11.86,0.00,ASML
2022-02-15,656.41,647.48,658.35,642.31,656.41,821400,709.77,570.42,649.96,663.32,0.00,0.00,0.00,797.49,12.00,96.00,0.22,False,False,627.91,28507744.24,0,1201089.36,27306654.88,32.00,-10.91,32000000,,43.16,14.39,23.36,ASML
2022-02-16,663.86,651.00,666.00,644.67,663.86,610000,705.08,574.55,646.66,661.57,0.00,0.00,0.00,797.49,8.00,92.00,0.45,False,False,627.91,28817664.74,0,1201089.36,27616575.38,32.00,-9.94,32000000,,45.26,25.68,22.30,ASML
2022-02-17,650.43,659.31,662.22,650.00,650.43,1020600,697.29,581.73,645.37,658.77,0.00,0.00,0.00,797.49,4.00,88.00,0.48,False,False,627.91,28258977.07,0,1201089.36,27057887.71,32.00,-11.69,32000000,,42.23,33.53,22.55,ASML
2022-02-18,647.83,652.12,657.77,640.99,647.83,899400,691.45,586.37,649.29,656.42,0.00,0.00,0.00,797.49,0.00,84.00,0.48,False,False,627.91,28150818.07,0,1201089.36,26949728.71,32.00,-12.03,32000000,,41.64,36.34,23.56,ASML
2022-02-22,640.27,638.50,653.00,629.86,640.27,934000,686.70,588.80,651.76,654.07,0.00,0.00,0.00,797.49,0.00,80.00,0.41,False,False,627.91,27836322.19,0,1201089.36,26635232.83,32.00,-13.01,32000000,,39.92,32.53,24.98,ASML
2022-02-23,631.73,651.08,654.45,631.01,631.73,997000,687.22,585.23,646.82,653.22,0.00,0.00,0.00,797.49,0.00,76.00,0.30,False,False,627.91,27481056.53,0,1201089.36,26279967.17,32.00,-14.12,32000000,,38.01,27.99,25.78,ASML
2022-02-24,656.84,600.29,658.86,599.68,656.84,2047800,687.44,585.34,645.42,653.40,0.00,0.00,0.00,797.49,0.00,100.00,0.48,False,False,627.91,28525634.48,0,1201089.36,27324545.12,32.00,-10.86,32000000,,46.18,35.78,26.77,ASML
2022-02-25,667.12,656.91,667.14,650.00,667.12,1295400,688.42,588.24,648.76,655.03,0.00,0.00,0.00,797.49,0.00,96.00,0.70,False,False,627.91,28953281.15,0,1201089.36,27752191.79,32.00,-9.52,32000000,,49.14,50.85,29.13,ASML
2022-02-28,666.51,647.65,672.57,647.65,666.51,1979000,689.52,589.27,652.49,656.10,0.00,0.00,0.00,797.49,0.00,92.00,0.83,False,False,627.91,28927905.78,0,1201089.36,27726816.42,32.00,-9.60,32000000,week +buy 50% ,48.96,69.69,33.86,ASML
2022-03-01,634.21,660.21,665.10,627.58,634.21,1097300,687.20,587.47,651.28,653.95,0.00,0.00,0.00,797.49,28.00,88.00,0.57,False,False,627.91,28584226.28,0,2201089.36,26383136.92,32.00,-13.38,33000000,Monthly invest,40.82,61.45,38.82,ASML
2022-03-02,655.37,642.59,658.42,638.10,655.37,1035700,683.42,591.10,656.01,652.65,0.00,0.00,0.00,797.49,24.00,84.00,0.61,False,False,627.91,29464481.15,0,2201089.36,27263391.79,32.00,-10.71,33000000,,47.04,57.18,43.10,ASML
2022-03-03,630.79,652.02,653.70,627.19,630.79,1020200,677.76,594.04,650.80,649.85,0.00,0.00,0.00,797.49,20.00,80.00,0.39,False,False,627.91,28441952.44,0,2201089.36,26240863.08,32.00,-13.81,33000000,,41.57,45.41,45.07,ASML
2022-03-04,594.32,603.70,609.42,581.63,594.32,2025300,684.23,573.36,636.24,647.27,0.00,0.00,0.00,797.49,16.00,100.00,-0.11,False,False,594.32,26924801.65,0,2201089.36,24723712.29,32.00,-18.41,33000000,,35.07,37.04,45.43,ASML
2022-03-07,574.34,617.39,620.61,573.75,574.34,1607200,691.94,546.15,617.81,643.35,0.00,0.00,0.00,797.49,12.00,100.00,-0.61,False,False,574.34,26093634.48,0,1454447.32,24639187.16,33.00,-20.93,33000000,week +buy 50% ,32.10,16.95,43.49,ASML
2022-03-08,573.04,574.08,593.48,558.77,573.04,1441800,696.79,524.92,605.57,639.50,0.00,0.00,0.00,797.49,8.00,100.00,-0.89,False,False,573.04,26037862.38,0,1454447.32,24583415.06,33.00,-21.10,33000000,,31.91,8.24,41.06,ASML
2022-03-09,621.34,609.15,627.00,595.00,621.34,1593200,695.32,523.02,598.77,637.89,0.00,0.00,0.00,797.49,4.00,96.00,-0.50,False,False,573.04,28109934.48,0,1454447.32,26655487.16,33.00,-14.82,33000000,,44.90,20.93,40.35,ASML
2022-03-10,600.07,599.54,608.55,596.18,600.07,735500,690.08,521.46,592.62,633.88,0.00,0.00,0.00,797.49,0.00,92.00,-0.42,False,False,573.04,27197450.63,0,1454447.32,25743003.30,33.00,-17.58,33000000,,41.17,32.33,40.01,ASML
2022-03-11,585.85,614.00,615.00,584.88,585.85,819000,689.18,512.61,590.93,630.32,0.00,0.00,0.00,797.49,16.00,88.00,-0.47,False,False,573.04,26587411.30,0,1454447.32,25132963.97,33.00,-19.43,33000000,,38.85,36.41,38.56,ASML
2022-03-14,577.55,599.55,601.50,577.31,577.55,1621700,690.99,501.38,591.57,627.79,0.00,0.00,0.00,797.49,12.00,84.00,-0.54,False,False,573.04,26231341.81,0,1454447.32,24776894.49,33.00,-20.51,33000000,week +buy 50% ,37.52,25.02,34.09,ASML
2022-03-15,596.70,591.92,598.19,583.86,596.70,1542500,690.87,496.95,596.30,626.23,0.00,0.00,0.00,797.49,8.00,80.00,-0.33,False,False,573.04,27052877.84,0,1454447.32,25598430.51,33.00,-18.02,33000000,,42.42,24.54,30.40,ASML
2022-03-16,650.63,621.44,651.00,617.15,650.63,1815200,690.09,497.64,602.16,625.94,0.00,0.00,0.00,797.49,4.00,76.00,0.41,False,False,573.04,29366474.54,0,1454447.32,27912027.21,33.00,-11.01,33000000,,53.47,43.52,29.04,ASML
2022-03-17,654.10,643.13,656.40,639.47,654.10,854900,688.58,499.20,612.97,625.45,0.00,0.00,0.00,797.49,0.00,72.00,0.92,False,False,573.04,29515336.30,0,1454447.32,28060888.97,33.00,-10.56,33000000,,54.08,65.94,31.09,ASML
2022-03-18,679.86,649.24,683.40,647.40,679.86,1689800,693.58,493.60,631.77,626.92,0.00,0.00,0.00,797.49,100.00,68.00,1.48,False,False,573.04,30620440.68,0,1454447.32,29165993.36,33.00,-7.21,33000000,,58.44,87.22,36.11,ASML
2022-03-21,682.91,678.22,683.39,669.00,682.91,1293000,699.18,487.67,652.84,628.68,0.00,0.00,0.00,797.49,96.00,64.00,1.80,False,False,573.04,30751285.17,0,1454447.32,29296837.84,33.00,-6.81,33000000,week +buy 50% ,58.94,93.51,43.77,ASML
2022-03-22,688.74,688.00,698.10,685.30,688.74,1111100,706.21,480.88,671.25,631.10,0.00,0.00,0.00,797.49,100.00,60.00,1.98,True,False,573.04,31001392.90,0,1454447.32,29546945.57,33.00,-6.06,33000000,,59.93,96.68,52.61,ASML
2022-03-23,665.36,668.80,679.37,663.61,665.36,999100,709.37,479.61,674.19,632.78,0.00,0.00,0.00,797.49,96.00,56.00,1.77,True,False,573.04,29998390.68,0,1454447.32,28543943.36,33.00,-9.10,33000000,,54.29,89.80,59.50,ASML
2022-03-24,690.54,666.20,690.55,663.20,690.54,1176700,714.50,474.40,681.48,634.47,0.00,0.00,0.00,797.49,92.00,52.00,1.81,True,False,573.04,31078612.38,0,1454447.32,29624165.06,33.00,-5.82,33000000,,58.79,88.12,65.08,ASML
2022-03-25,687.36,690.46,690.75,672.30,687.36,768600,717.62,471.19,682.98,635.48,0.00,0.00,0.00,797.49,88.00,48.00,1.71,True,False,573.04,30942190.68,0,1454447.32,29487743.36,33.00,-6.24,33000000,,58.01,87.79,70.21,ASML
