Date,rate_WMT_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,15.91
2019-03-01,2.17,4.45,-2.28,11.99
2019-04-29,5.79,7.58,-1.79,12.83
2019-06-25,14.91,7.2,7.71,29.15
2019-08-21,16.21,7.24,8.97,31.32
2019-10-17,24.0,8.87,15.13,41.9
2019-12-13,24.45,13.19,11.26,35.25
2020-02-12,20.03,18.03,2.0,19.34
2020-04-09,25.96,3.89,22.07,53.82
2020-06-08,25.4,14.68,10.72,34.32
2020-08-04,35.76,16.26,19.5,49.41
2020-09-30,44.01,17.41,26.6,61.6
2020-11-25,55.89,24.05,31.84,70.61
2021-01-26,51.58,29.15,22.43,54.44
2021-03-24,37.23,30.35,6.88,27.73
2021-05-20,46.51,36.67,9.84,32.81
2021-07-19,45.32,38.99,6.33,26.78
2021-09-14,48.38,43.6,4.78,24.12
2021-11-09,53.85,49.14,4.71,24.0
2022-01-06,47.61,49.24,-1.63,13.11
2022-03-07,45.76,37.68,8.08,29.79
2022-05-03,56.57,36.93,19.64,49.65
2022-06-30,25.74,27.61,-1.87,12.7
2022-08-26,35.72,34.27,1.45,18.4
2022-10-24,43.51,27.92,15.59,42.69
2022-12-20,48.13,28.33,19.8,49.92
2023-02-17,50.52,34.71,15.81,43.07
2023-04-18,53.91,36.36,17.55,46.06
2023-06-14,60.91,41.83,19.08,48.69
2023-08-11,65.23,43.86,21.37,52.62
2023-10-09,59.88,40.69,19.19,48.87
2023-12-05,59.77,46.52,13.25,38.67
2024-02-02,73.57,55.53,18.04,46.9
2024-04-02,81.45,61.42,20.03,50.32
2024-05-29,98.67,63.18,35.49,76.88
2024-07-26,113.21,67.5,45.71,94.43
