Date,rate_AMGN_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,77.06
2019-03-01,-0.68,4.45,-5.13,68.35
2019-04-29,-4.57,7.58,-12.15,56.42
2019-06-25,-3.3,7.2,-10.5,59.23
2019-08-21,4.31,7.24,-2.93,72.09
2019-10-17,4.16,8.87,-4.71,69.06
2019-12-13,17.1,13.19,3.91,83.71
2020-02-12,13.3,18.03,-4.73,69.03
2020-04-09,9.87,3.89,5.98,87.22
2020-06-08,12.81,14.68,-1.87,73.89
2020-08-04,19.77,16.26,3.51,83.03
2020-09-30,23.89,17.41,6.48,88.07
2020-11-25,10.69,24.05,-13.36,54.37
2021-01-26,25.63,29.15,-3.52,71.08
2021-03-24,20.51,30.35,-9.84,60.35
2021-05-20,23.02,36.67,-13.65,53.87
2021-07-19,21.0,38.99,-17.99,46.5
2021-09-14,9.03,43.6,-34.57,18.33
2021-11-09,7.34,49.14,-41.8,6.05
2022-01-06,12.59,49.24,-36.65,14.8
2022-03-07,16.17,37.68,-21.51,40.52
2022-05-03,15.33,36.93,-21.6,40.37
2022-06-30,19.66,27.61,-7.95,63.56
2022-08-26,18.63,34.27,-15.64,50.49
2022-10-24,26.69,27.92,-1.23,74.97
2022-12-20,28.02,28.33,-0.31,76.54
2023-02-17,18.58,34.71,-16.13,49.66
2023-04-18,20.75,36.36,-15.61,50.54
2023-06-14,11.46,41.83,-30.37,25.47
2023-08-11,27.15,43.86,-16.71,48.67
2023-10-09,30.67,40.69,-10.02,60.04
2023-12-05,30.41,46.52,-16.11,49.69
2024-02-02,50.82,55.53,-4.71,69.06
2024-04-02,32.49,61.42,-28.93,27.91
2024-05-29,40.36,63.18,-22.82,38.29
2024-07-26,55.36,67.5,-12.14,56.44
