Date,rate_BHP,rate_BHP_5D,rate_BHP_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.81,,,-0.02,,
2022-01-05,1.41,,,-0.97,,
2022-01-06,1.47,,,-1.04,,
2022-01-07,3.32,1.402,,-1.21,-0.648,
2022-01-10,2.32,1.866,,-1.27,-0.9019999999999999,
2022-01-11,3.96,2.4959999999999996,,-0.63,-1.024,
2022-01-12,7.22,3.658,,-0.4,-0.9099999999999999,
2022-01-13,7.16,4.796,,-1.43,-0.9879999999999999,
2022-01-14,7.0,5.532,,-1.41,-1.028,
2022-01-18,6.36,6.34,,-2.7,-1.314,
2022-01-19,8.84,7.316,,-3.45,-1.8780000000000001,
2022-01-20,8.29,7.529999999999999,,-4.24,-2.646,
2022-01-21,4.55,7.008,,-5.63,-3.4859999999999998,
2022-01-24,4.11,6.43,,-5.34,-4.272,
2022-01-25,3.08,5.773999999999999,,-6.33,-4.998,
2022-01-26,3.91,4.787999999999999,,-6.51,-5.609999999999999,
2022-01-27,5.79,4.288,,-6.91,-6.144,
2022-01-28,3.49,4.076,,-4.96,-6.01,
2022-01-31,2.68,3.79,4.2885,-3.46,-5.634,-2.8954999999999997
2022-02-01,4.68,4.11,4.5225,-2.79,-4.926,-3.035
2022-02-02,5.41,4.41,4.7524999999999995,-1.97,-4.018,-3.1325
2022-02-03,5.73,4.398000000000001,4.968500000000001,-4.0,-3.436,-3.284
2022-02-04,6.35,4.970000000000001,5.2125,-3.6,-3.164,-3.4120000000000004
2022-02-07,9.7,6.374,5.531499999999999,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,10.79,7.595999999999999,5.955,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,10.39,8.591999999999999,6.2765,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,11.98,9.842,6.5145,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,10.4,10.652,6.6765,-5.24,-3.504,-4.0409999999999995
2022-02-14,9.41,10.594,6.797,-5.53,-3.8340000000000005,-4.247
2022-02-15,8.25,10.086000000000002,6.891500000000001,-4.08,-4.0200000000000005,-4.316
2022-02-16,10.14,10.036000000000001,6.956500000000001,-3.98,-4.454,-4.3425
2022-02-17,8.87,9.414,6.985499999999999,-5.93,-4.952,-4.427
2022-02-18,11.1,9.553999999999998,7.313000000000001,-6.5,-5.204,-4.4704999999999995
2022-02-22,10.16,9.704,7.6155,-7.48,-5.593999999999999,-4.5775
2022-02-23,10.19,10.091999999999999,7.971000000000001,-9.06,-6.590000000000001,-4.714
2022-02-24,1.95,8.453999999999999,7.873,-7.73,-7.340000000000001,-4.775
2022-02-25,7.53,8.186,7.959999999999999,-5.81,-7.316,-4.720000000000001
2022-02-28,8.67,7.7,8.219000000000001,-6.04,-7.224000000000001,-4.774
2022-03-01,9.5,7.5680000000000005,8.56,-7.18,-7.164,-4.96
2022-03-02,14.83,8.496,9.067499999999999,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,16.41,11.388,9.6175,-6.03,-6.128,-5.3025
2022-03-04,16.59,13.2,10.1605,-6.74,-6.314,-5.439500000000001
2022-03-07,15.49,14.563999999999998,10.6175,-9.33,-6.9719999999999995,-5.726
2022-03-08,11.06,14.876,10.685500000000001,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,11.48,14.206,10.72,-7.69,-7.954000000000001,-6.258
2022-03-10,13.63,13.65,10.882,-8.09,-8.366,-6.572
2022-03-11,9.47,12.225999999999999,10.756499999999999,-9.21,-8.86,-6.8605
2022-03-14,4.68,10.064000000000002,10.4705,-9.84,-8.962,-7.0905000000000005
2022-03-15,3.56,8.564,10.178,-7.92,-8.55,-7.210000000000001
2022-03-16,6.81,7.63,10.106,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,8.48,6.6,10.023,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,9.9,6.686,10.0745,-3.77,-6.45,-7.235000000000001
2022-03-21,14.39,8.628,10.239,-3.77,-5.236,-7.0985
2022-03-22,13.42,10.6,10.402,-2.68,-4.188,-6.858499999999999
2022-03-23,16.48,12.534,10.7165,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,18.55,14.547999999999998,11.5465,-2.83,-3.3899999999999997,-6.3555
2022-03-25,20.25,16.618000000000002,12.182500000000001,-2.35,-3.106,-6.182499999999999
2022-03-28,20.65,17.869999999999997,12.7815,-1.69,-2.69,-5.965000000000001
2022-03-29,20.71,19.328,13.341999999999999,-0.48,-2.25,-5.63
2022-03-30,24.66,20.964,13.8335,-1.09,-1.688,-5.4055
2022-03-31,23.28,21.91,14.176999999999998,-2.57,-1.636,-5.2325
2022-04-01,25.75,23.009999999999998,14.635,-2.24,-1.614,-5.0075
2022-04-04,24.95,23.87,15.108,-1.45,-1.566,-4.6135
2022-04-05,22.45,24.218,15.6775,-2.62,-1.9939999999999998,-4.2455
2022-04-06,22.67,23.82,16.237000000000002,-3.57,-2.4899999999999998,-4.0395
2022-04-07,22.72,23.708,16.691499999999998,-3.1,-2.596,-3.79
2022-04-08,23.22,23.201999999999998,17.379,-3.33,-2.814,-3.496
2022-04-11,20.46,22.304,18.168,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,22.23,22.259999999999998,19.1015,-5.28,-4.044,-3.119
2022-04-13,23.96,22.517999999999997,19.959,-4.23,-4.176,-3.0345
2022-04-14,23.99,22.772000000000002,20.7345,-5.37,-4.630000000000001,-3.063
2022-04-18,24.36,23.0,21.4575,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,23.54,23.616,21.915,-3.88,-4.822000000000001,-3.1475
2022-04-20,22.02,23.573999999999998,22.345,-3.95,-4.556,-3.211
2022-04-21,13.43,21.468,22.1925,-5.34,-4.7780000000000005,-3.283
2022-04-22,7.95,18.259999999999998,21.6625,-7.86,-5.276,-3.5345
2022-04-25,4.65,14.317999999999998,20.8825,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,2.04,10.018,19.952,-9.95,-6.894,-4.1985
2022-04-27,6.67,6.948,19.25,-9.73,-8.05,-4.661
2022-04-28,8.15,5.892,18.424500000000002,-7.52,-8.485999999999999,-4.9825
2022-04-29,6.36,5.574,17.5785,-10.83,-9.08,-5.3955
2022-05-02,6.82,6.008,16.632,-9.99,-9.604,-5.7829999999999995
2022-05-03,7.57,7.114,15.763,-9.62,-9.538,-6.1915
2022-05-04,9.74,7.728,15.127500000000001,-6.99,-8.99,-6.410000000000001
2022-05-05,4.31,6.960000000000001,14.2095,-10.13,-9.512,-6.7379999999999995
2022-05-06,4.4,6.5680000000000005,13.2935,-10.67,-9.48,-7.1165
2022-05-09,-1.39,4.926,12.062999999999999,-13.43,-10.168,-7.6215
2022-05-10,-0.79,3.2540000000000004,11.000499999999999,-13.22,-10.888,-8.0355
2022-05-11,-0.4,1.226,9.869,-14.58,-12.406,-8.500499999999999
2022-05-12,-1.64,0.03600000000000012,8.589,-14.64,-13.308000000000002,-9.021
2022-05-13,0.81,-0.6819999999999999,7.4300000000000015,-12.68,-13.709999999999999,-9.3865
2022-05-16,0.7,-0.2639999999999999,6.247,-12.99,-13.622,-9.7685
2022-05-17,3.98,0.6900000000000001,5.269,-11.29,-13.236,-10.139
2022-05-18,1.25,1.02,4.2305,-14.71,-13.262,-10.677
2022-05-19,4.49,2.246,3.7835,-15.27,-13.388,-11.1735
2022-05-20,6.77,3.4379999999999997,3.7245000000000004,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,8.95,5.087999999999999,3.9395,-13.68,-14.040000000000001,-11.8585
2022-05-24,9.44,6.18,4.3095,-14.29,-14.64,-12.075500000000002
2022-05-25,8.93,7.715999999999999,4.4225,-13.59,-14.416,-12.2685
2022-05-26,8.49,8.516,4.4395,-11.92,-13.745999999999999,-12.4885
2022-05-27,12.62,9.686,4.7524999999999995,-9.77,-12.65,-12.435500000000001
2022-05-31,12.05,10.306000000000001,5.014,-10.26,-11.966,-12.449
2022-06-01,13.16,11.05,5.2935,-10.69,-11.245999999999999,-12.502500000000001
2022-06-02,19.38,13.14,5.7755,-9.06,-10.34,-12.606
2022-06-03,18.78,15.197999999999999,6.499,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,18.22,16.318,7.1899999999999995,-10.26,-10.154,-12.604
2022-06-07,22.51,18.410000000000004,8.385000000000002,-9.4,-9.982,-12.4025
2022-06-08,19.65,19.708000000000002,9.407,-10.37,-9.918000000000001,-12.26
2022-06-09,15.57,18.945999999999998,10.2055,-12.42,-10.59,-12.152
2022-06-10,12.39,17.668,10.907,-14.93,-11.475999999999999,-12.1665
2022-06-13,7.68,15.559999999999999,11.250499999999999,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,6.2,12.298,11.5255,-18.32,-14.831999999999999,-12.705
2022-06-15,9.69,10.306000000000001,11.810999999999998,-17.18,-16.194,-12.999500000000001
2022-06-16,6.62,8.516,12.0795,-19.83,-17.676,-13.255500000000001
2022-06-17,2.29,6.496,11.9695,-19.62,-18.614,-13.472999999999999
2022-06-21,2.22,5.404,11.742,-17.71,-18.532,-13.596
2022-06-22,-1.5,3.864,11.2195,-17.88,-18.444,-13.806000000000001
2022-06-23,-3.02,1.322,10.5965,-17.04,-18.416,-13.9435
2022-06-24,-0.25,-0.051999999999999956,10.1375,-14.53,-17.356,-13.9905
2022-06-27,2.15,-0.07999999999999999,9.8205,-14.84,-16.4,-14.136499999999998
2022-06-28,3.05,0.08599999999999994,9.342,-16.63,-16.184,-14.479499999999998
2022-06-29,3.05,0.9959999999999999,8.892,-16.92,-15.992,-14.8125
2022-06-30,-0.5,1.5,8.209,-17.56,-16.096,-15.156
2022-07-01,-4.01,0.748,7.039500000000001,-16.28,-16.446,-15.517
2022-07-05,-6.05,-0.892,5.798,-16.14,-16.706,-15.799000000000001
2022-07-06,-6.82,-2.866,4.546,-15.85,-16.55,-16.0785
2022-07-07,-3.93,-4.262,3.2239999999999993,-14.65,-16.096,-16.341
2022-07-08,-5.96,-5.354,1.9435000000000002,-14.7,-15.524000000000001,-16.5575
2022-07-11,-9.27,-6.406000000000001,0.7015,-15.64,-15.395999999999997,-16.7185
2022-07-12,-10.92,-7.38,-0.46399999999999997,-16.4,-15.447999999999999,-16.792
2022-07-13,-10.74,-8.164,-1.3850000000000002,-16.77,-15.632,-16.7245
2022-07-14,-14.37,-10.251999999999999,-2.4135,-16.99,-16.1,-16.658
2022-07-15,-12.55,-11.57,-3.5254999999999996,-15.46,-16.252000000000002,-16.572
2022-07-18,-10.07,-11.73,-4.36,-16.14,-16.352,-16.3875
2022-07-19,-9.71,-11.488000000000001,-4.96,-13.93,-15.857999999999999,-16.103
2022-07-20,-9.73,-11.286,-5.5575,-13.4,-15.184000000000001,-15.8875
2022-07-21,-9.91,-10.394000000000002,-5.978,-12.55,-14.296000000000001,-15.620999999999999
