Date,rate_SHW_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,2.81
2019-03-01,5.58,4.45,1.13,4.58
2019-04-29,8.17,7.58,0.59,3.74
2019-06-25,10.21,7.2,3.01,7.52
2019-08-21,21.36,7.24,14.12,24.89
2019-10-17,27.06,8.87,18.19,31.26
2019-12-13,29.09,13.19,15.9,27.68
2020-02-12,30.46,18.03,12.43,22.25
2020-04-09,15.21,3.89,11.32,20.52
2020-06-08,29.57,14.68,14.89,26.1
2020-08-04,42.73,16.26,26.47,44.21
2020-09-30,50.67,17.41,33.26,54.82
2020-11-25,56.65,24.05,32.6,53.79
2021-01-26,55.33,29.15,26.18,43.75
2021-03-24,55.42,30.35,25.07,42.02
2021-05-20,76.85,36.67,40.18,65.65
2021-07-19,77.02,38.99,38.03,62.28
2021-09-14,85.31,43.6,41.71,68.04
2021-11-09,98.41,49.14,49.27,79.86
2022-01-06,103.35,49.24,54.11,87.43
2022-03-07,56.24,37.68,18.56,31.84
2022-05-03,69.97,36.93,33.04,54.48
2022-06-30,46.33,27.61,18.72,32.09
2022-08-26,52.47,34.27,18.2,31.27
2022-10-24,40.42,27.92,12.5,22.36
2022-12-20,53.96,28.33,25.63,42.89
2023-02-17,48.45,34.71,13.74,24.3
2023-04-18,49.54,36.36,13.18,23.42
2023-06-14,57.74,41.83,15.91,27.69
2023-08-11,72.24,43.86,28.38,47.19
2023-10-09,60.85,40.69,20.16,34.34
2023-12-05,77.06,46.52,30.54,50.57
2024-02-02,91.1,55.53,35.57,58.44
2024-04-02,103.56,61.42,42.14,68.71
2024-05-29,84.56,63.18,21.38,36.25
2024-07-26,111.5,67.5,44.0,71.62
