Date,rate_DHI_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,1200.0
2022-01-05,0.0,0.0,-7.22
2022-01-06,0.0,0.0,-71.15
2022-01-07,-1.47,0.0,-292.56
2022-01-10,-2.37,0.0,-255.91
2022-01-11,-2.88,0.0,-266.67
2022-01-12,-3.03,0.0,-350.0
2022-01-13,-2.99,0.0,-9.09
2022-01-14,-2.53,0.0,-74.47
2022-01-18,-2.87,0.0,-130.0
2022-01-19,-4.1,0.0,-145.8
2022-01-20,-5.73,0.0,-133.96
2022-01-21,-7.47,0.0,-82.59
2022-01-24,-8.56,0.0,-48.31
2022-01-25,-9.19,0.0,-47.71
2022-01-26,-9.99,0.0,-91.86
2022-01-27,-10.83,0.0,-103.91
2022-01-28,-11.23,0.0,-148.19
2022-01-31,-11.56,-2.9,-176.01
2022-02-01,-11.5,-3.04,-224.01
2022-02-02,-10.55,-3.13,-294.42
2022-02-03,-9.77,-3.28,-155.0
2022-02-04,-10.11,-3.41,-288.33
2022-02-07,-10.75,-3.55,-229.38
2022-02-08,-11.21,-3.64,-259.68
2022-02-09,-11.56,-3.7,-424.86
2022-02-10,-12.13,-3.85,-280.23
2022-02-11,-12.11,-4.04,-164.12
2022-02-14,-12.57,-4.25,-172.69
2022-02-15,-12.95,-4.32,-224.51
2022-02-16,-13.6,-4.34,-220.35
2022-02-17,-14.04,-4.43,-157.67
2022-02-18,-14.19,-4.47,-124.62
2022-02-22,-14.7,-4.58,-135.43
2022-02-23,-16.02,-4.71,-118.98
2022-02-24,-16.61,-4.78,-103.36
2022-02-25,-15.96,-4.72,-107.23
2022-02-28,-15.57,-4.77,-109.44
2022-03-01,-14.42,-4.96,-65.04
2022-03-02,-12.48,-5.1,-81.9
2022-03-03,-11.58,-5.3,-85.57
2022-03-04,-11.62,-5.44,-82.05
2022-03-07,-12.58,-5.73,-86.92
2022-03-08,-13.64,-6.03,-72.04
2022-03-09,-14.59,-6.26,-93.5
2022-03-10,-15.38,-6.57,-87.02
2022-03-11,-16.24,-6.86,-79.91
2022-03-14,-16.78,-7.09,-104.78
2022-03-15,-16.76,-7.21,-115.66
2022-03-16,-16.93,-7.3,-165.88
2022-03-17,-16.76,-7.34,-197.08
2022-03-18,-15.78,-7.24,-210.08
2022-03-21,-14.66,-7.1,-285.68
2022-03-22,-14.18,-6.86,-447.39
2022-03-23,-14.83,-6.6,-387.44
2022-03-24,-15.72,-6.36,-561.13
2022-03-25,-17.35,-6.18,-742.98
2022-03-28,-18.3,-5.97,-1041.42
2022-03-29,-18.7,-5.63,-3375.0
2022-03-30,-18.63,-5.41,-1611.01
2022-03-31,-19.51,-5.23,-800.39
2022-04-01,-19.71,-5.01,-828.57
2022-04-04,-19.92,-4.61,-1301.38
2022-04-05,-21.17,-4.25,-776.34
2022-04-06,-22.63,-4.04,-626.05
2022-04-07,-23.33,-3.79,-760.32
2022-04-08,-24.42,-3.5,-687.69
2022-04-11,-25.33,-3.25,-403.44
2022-04-12,-25.82,-3.12,-380.87
2022-04-13,-25.21,-3.03,-441.13
2022-04-14,-24.78,-3.06,-356.61
2022-04-18,-24.68,-3.14,-380.56
2022-04-19,-24.27,-3.15,-488.92
2022-04-20,-23.67,-3.21,-466.08
2022-04-21,-23.84,-3.28,-344.57
2022-04-22,-24.07,-3.53,-227.1
2022-04-25,-23.49,-3.79,-209.09
2022-04-26,-23.88,-4.2,-149.55
2022-04-27,-24.82,-4.66,-177.7
2022-04-28,-24.9,-4.98,-221.14
2022-04-29,-25.26,-5.4,-154.29
2022-05-02,-25.82,-5.78,-156.06
2022-05-03,-25.78,-6.19,-155.61
2022-05-04,-24.5,-6.41,-195.14
2022-05-05,-24.7,-6.74,-148.57
2022-05-06,-24.46,-7.12,-146.86
2022-05-09,-24.63,-7.62,-96.8
2022-05-10,-25.36,-8.04,-113.46
2022-05-11,-27.57,-8.5,-117.42
2022-05-12,-28.32,-9.02,-97.4
2022-05-13,-28.63,-9.39,-119.95
2022-05-16,-28.95,-9.77,-115.94
2022-05-17,-28.48,-10.14,-129.14
2022-05-18,-28.31,-10.68,-109.59
2022-05-19,-28.53,-11.17,-96.4
2022-05-20,-28.48,-11.54,-81.38
2022-05-23,-28.68,-11.86,-112.21
2022-05-24,-29.69,-12.08,-116.38
2022-05-25,-29.0,-12.27,-101.55
2022-05-26,-27.67,-12.49,-95.89
2022-05-27,-26.41,-12.44,-118.42
2022-05-31,-24.79,-12.45,-104.19
2022-06-01,-22.7,-12.5,-91.3
2022-06-02,-21.06,-12.61,-111.81
2022-06-03,-20.28,-12.62,-85.62
2022-06-06,-20.0,-12.6,-94.05
2022-06-07,-19.81,-12.4,-112.98
2022-06-08,-20.25,-12.26,-118.42
2022-06-09,-20.85,-12.15,-78.58
2022-06-10,-22.03,-12.17,-70.13
2022-06-13,-23.95,-12.44,-62.8
2022-06-14,-26.01,-12.7,-65.56
2022-06-15,-27.61,-13.0,-78.23
2022-06-16,-30.17,-13.26,-76.45
2022-06-17,-32.24,-13.47,-82.31
2022-06-21,-33.34,-13.6,-97.57
2022-06-22,-33.69,-13.81,-79.31
2022-06-23,-33.27,-13.94,-67.55
2022-06-24,-31.92,-13.99,-94.43
2022-06-27,-30.36,-14.14,-88.34
2022-06-28,-29.39,-14.48,-81.36
2022-06-29,-28.99,-14.81,-77.42
2022-06-30,-29.24,-15.16,-69.87
2022-07-01,-28.6,-15.52,-53.69
2022-07-05,-27.52,-15.8,-39.71
2022-07-06,-26.09,-16.08,-45.3
2022-07-07,-24.53,-16.34,-51.81
2022-07-08,-22.89,-16.56,-47.14
2022-07-11,-22.24,-16.72,-38.94
2022-07-12,-21.83,-16.79,-25.18
2022-07-13,-21.47,-16.72,-26.48
2022-07-14,-21.5,-16.66,-31.84
2022-07-15,-21.48,-16.57,-39.26
2022-07-18,-21.63,-16.39,-39.28
2022-07-19,-21.65,-16.1,-48.24
2022-07-20,-21.8,-15.89,-63.66
2022-07-21,-21.12,-15.62,-51.39
2022-07-22,-20.28,-15.43,-30.18
