Date,rate_WEC_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,63.67
2019-01-31,5.36,2.79,2.57,65.83
2019-03-01,8.25,5.82,2.43,65.71
2019-03-29,12.27,6.59,5.68,68.44
2019-04-29,9.01,10.42,-1.41,62.48
2019-05-28,14.88,5.19,9.69,71.81
2019-06-25,19.44,9.51,9.93,72.01
2019-07-24,20.14,12.59,7.55,70.01
2019-08-21,25.41,8.26,17.15,78.08
2019-09-19,22.46,11.09,11.37,73.22
2019-10-17,21.1,10.2,10.9,72.83
2019-11-14,14.49,13.63,0.86,64.39
2019-12-13,15.51,16.06,-0.55,63.2
2020-01-14,21.18,19.31,1.87,65.24
2020-02-12,29.21,22.17,7.04,69.58
2020-03-12,17.07,-7.39,24.46,84.22
2020-04-09,25.05,4.54,20.51,80.9
2020-05-08,8.93,9.68,-0.75,63.04
2020-06-08,20.64,20.77,-0.13,63.56
2020-07-07,12.11,16.81,-4.7,59.72
2020-08-04,19.33,22.24,-2.91,61.22
2020-09-01,17.44,26.62,-9.18,55.95
2020-09-30,20.93,22.37,-1.44,62.46
2020-10-28,23.97,18.79,5.18,68.02
2020-11-25,18.83,31.0,-12.17,53.44
2020-12-24,10.47,32.65,-22.18,45.03
2021-01-26,10.17,37.29,-27.12,40.88
2021-02-24,0.96,39.48,-38.52,31.3
2021-03-24,13.17,38.31,-25.14,42.54
2021-04-22,19.28,44.93,-25.65,42.11
2021-05-20,16.94,45.12,-28.18,39.99
2021-06-18,9.29,44.74,-35.45,33.88
2021-07-19,14.94,46.9,-31.96,36.81
2021-08-16,17.44,52.69,-35.25,34.05
2021-09-14,14.01,50.65,-36.64,32.88
2021-10-12,7.44,46.96,-39.52,30.46
2021-11-09,9.68,57.28,-47.6,23.67
2021-12-08,12.86,57.14,-44.28,26.46
2022-01-06,17.19,55.71,-38.52,31.3
2022-02-04,14.89,48.73,-33.84,35.23
2022-03-07,15.66,38.56,-22.9,44.42
2022-04-04,21.41,50.04,-28.63,39.61
2022-05-03,19.96,36.37,-16.41,49.88
2022-06-01,25.72,33.73,-8.01,56.94
2022-06-30,20.89,23.28,-2.39,61.66
2022-07-29,24.41,34.14,-9.73,55.49
2022-08-26,24.97,32.25,-7.28,57.55
2022-09-26,17.17,20.34,-3.17,61.0
2022-10-24,4.96,24.25,-19.29,47.46
2022-11-21,16.82,29.08,-12.26,53.37
2022-12-20,13.73,24.09,-10.36,54.96
2023-01-20,12.06,28.72,-16.66,49.67
2023-02-17,11.65,31.99,-20.34,46.58
2023-03-20,13.55,27.76,-14.21,51.73
2023-04-18,14.8,33.44,-18.64,48.0
2023-05-16,7.89,31.79,-23.9,43.58
2023-06-14,8.36,39.9,-31.54,37.16
2023-07-14,9.31,43.27,-33.96,35.13
2023-08-11,3.95,42.01,-38.06,31.69
2023-09-11,2.89,42.23,-39.34,30.61
2023-10-09,-0.48,36.77,-37.25,32.37
2023-11-06,0.77,37.4,-36.63,32.89
2023-12-05,1.93,43.51,-41.58,28.73
2024-01-04,4.65,46.32,-41.67,28.65
2024-02-02,-2.51,54.14,-56.65,16.07
2024-03-04,-2.61,59.08,-61.69,11.83
2024-04-02,0.02,60.46,-60.44,12.88
2024-04-30,0.95,55.27,-54.32,18.02
2024-05-29,-3.66,62.08,-65.74,8.43
2024-06-27,-4.16,68.1,-72.26,2.95
2024-07-26,2.33,66.24,-63.91,9.97
