Date,rate_SBUX_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,55.73
2019-03-01,8.69,4.45,4.24,59.74
2019-04-29,16.57,7.58,8.99,64.23
2019-06-25,26.11,7.2,18.91,73.62
2019-08-21,41.81,7.24,34.57,88.43
2019-10-17,28.77,8.87,19.9,74.55
2019-12-13,31.86,13.19,18.67,73.39
2020-02-12,31.73,18.03,13.7,68.69
2020-04-09,14.58,3.89,10.69,65.84
2020-06-08,28.43,14.68,13.75,68.74
2020-08-04,16.37,16.26,0.11,55.83
2020-09-30,31.8,17.41,14.39,69.34
2020-11-25,49.36,24.05,25.31,79.67
2021-01-26,58.64,29.15,29.49,83.63
2021-03-24,59.04,30.35,28.69,82.87
2021-05-20,68.25,36.67,31.58,85.6
2021-07-19,73.84,38.99,34.85,88.7
2021-09-14,78.9,43.6,35.3,89.12
2021-11-09,72.14,49.14,23.0,77.49
2022-01-06,67.86,49.24,18.62,73.34
2022-03-07,29.71,37.68,-7.97,48.19
2022-05-03,15.23,36.93,-21.7,35.2
2022-06-30,18.17,27.61,-9.44,46.8
2022-08-26,29.14,34.27,-5.13,50.88
2022-10-24,28.71,27.92,0.79,56.48
2022-12-20,49.07,28.33,20.74,75.35
2023-02-17,62.09,34.71,27.38,81.63
2023-04-18,63.25,36.36,26.89,81.17
2023-06-14,52.88,41.83,11.05,66.18
2023-08-11,53.35,43.86,9.49,64.71
2023-10-09,41.47,40.69,0.78,56.47
2023-12-05,45.56,46.52,-0.96,54.82
2024-02-02,41.91,55.53,-13.62,42.84
2024-04-02,36.63,61.42,-24.79,32.28
2024-05-29,18.87,63.18,-44.31,13.81
2024-07-26,14.83,67.5,-52.67,5.9
