Date,rate_NKE,rate_NKE_5D,rate_NKE_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.52,,,-0.02,,
2022-01-05,-0.73,,,-0.97,,
2022-01-06,-1.1,,,-1.04,,
2022-01-07,-2.32,-0.726,,-1.21,-0.648,
2022-01-10,-4.3,-1.5859999999999999,,-1.27,-0.9019999999999999,
2022-01-11,-4.36,-2.562,,-0.63,-1.024,
2022-01-12,-3.47,-3.11,,-0.4,-0.9099999999999999,
2022-01-13,-4.69,-3.8280000000000003,,-1.43,-0.9879999999999999,
2022-01-14,-5.35,-4.434,,-1.41,-1.028,
2022-01-18,-5.92,-4.758000000000001,,-2.7,-1.314,
2022-01-19,-6.78,-5.242,,-3.45,-1.8780000000000001,
2022-01-20,-7.89,-6.126,,-4.24,-2.646,
2022-01-21,-7.78,-6.744,,-5.63,-3.4859999999999998,
2022-01-24,-6.36,-6.946,,-5.34,-4.272,
2022-01-25,-6.65,-7.0920000000000005,,-6.33,-4.998,
2022-01-26,-7.47,-7.2299999999999995,,-6.51,-5.609999999999999,
2022-01-27,-7.11,-7.074,,-6.91,-6.144,
2022-01-28,-6.41,-6.8,,-4.96,-6.01,
2022-01-31,-5.23,-6.574000000000001,-4.67,-3.46,-5.634,-2.8954999999999997
2022-02-01,-4.98,-6.24,-4.919,-2.79,-4.926,-3.035
2022-02-02,-4.7,-5.686000000000001,-5.18,-1.97,-4.018,-3.1325
2022-02-03,-6.64,-5.5920000000000005,-5.4755,-4.0,-3.436,-3.284
2022-02-04,-6.6,-5.630000000000001,-5.750500000000001,-3.6,-3.164,-3.4120000000000004
2022-02-07,-6.74,-5.932,-5.971500000000001,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-7.72,-6.4799999999999995,-6.1425,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-6.06,-6.752,-6.2275,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-6.93,-6.81,-6.400499999999999,-3.44,-3.1759999999999997,-3.8505000000000003
