Date,rate_VGT_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-2950.0
2022-01-05,0.0,0.0,-126.8
2022-01-06,0.0,0.0,-127.88
2022-01-07,-1.61,0.0,-135.54
2022-01-10,-2.17,0.0,-120.47
2022-01-11,-2.42,0.0,-195.24
2022-01-12,-2.3,0.0,-305.0
2022-01-13,-2.56,0.0,-156.64
2022-01-14,-2.61,0.0,-119.86
2022-01-18,-3.03,0.0,-81.85
2022-01-19,-3.83,0.0,-70.14
2022-01-20,-4.85,0.0,-58.49
2022-01-21,-5.76,0.0,-45.29
2022-01-24,-6.69,0.0,-45.13
2022-01-25,-7.64,0.0,-52.76
2022-01-26,-8.35,0.0,-44.55
2022-01-27,-9.01,0.0,-45.44
2022-01-28,-8.74,0.0,-37.5
2022-01-31,-8.08,-2.9,-28.03
2022-02-01,-6.93,-3.04,-41.22
2022-02-02,-5.75,-3.13,-77.66
2022-02-03,-4.97,-3.28,-53.75
2022-02-04,-4.71,-3.41,-53.33
2022-02-07,-5.01,-3.55,-52.84
2022-02-08,-5.18,-3.64,-52.38
2022-02-09,-5.0,-3.7,-44.75
2022-02-10,-4.74,-3.85,-40.7
2022-02-11,-5.16,-4.04,-45.61
2022-02-14,-5.51,-4.25,-38.34
2022-02-15,-5.56,-4.32,-24.51
2022-02-16,-6.09,-4.34,-31.66
2022-02-17,-6.77,-4.43,-39.12
2022-02-18,-7.12,-4.47,-44.0
2022-02-22,-7.63,-4.58,-36.63
2022-02-23,-9.09,-4.71,-36.87
2022-02-24,-9.92,-4.78,-21.09
2022-02-25,-9.89,-4.72,-39.41
2022-02-28,-9.63,-4.77,-33.77
2022-03-01,-9.49,-4.96,-32.59
2022-03-02,-8.56,-5.1,-38.53
2022-03-03,-8.51,-5.3,-50.91
2022-03-04,-9.05,-5.44,-60.53
2022-03-07,-10.23,-5.73,-49.95
2022-03-08,-11.21,-6.03,-44.19
2022-03-09,-11.84,-6.26,-41.48
2022-03-10,-12.49,-6.57,-52.78
2022-03-11,-13.15,-6.86,-53.31
2022-03-14,-13.53,-7.09,-61.69
2022-03-15,-13.28,-7.21,-65.91
2022-03-16,-13.11,-7.3,-69.26
2022-03-17,-12.45,-7.34,-88.75
2022-03-18,-11.03,-7.24,-86.21
2022-03-21,-9.3,-7.1,-92.31
2022-03-22,-7.83,-6.86,-116.42
2022-03-23,-7.27,-6.6,-84.62
2022-03-24,-6.45,-6.36,-75.97
2022-03-25,-6.09,-6.18,-121.28
2022-03-28,-5.45,-5.97,-139.64
2022-03-29,-4.68,-5.63,-308.33
2022-03-30,-3.92,-5.41,-213.76
2022-03-31,-3.88,-5.23,-85.21
2022-04-01,-3.81,-5.01,-117.86
2022-04-04,-3.62,-4.61,-113.79
2022-04-05,-4.3,-4.25,-103.05
2022-04-06,-5.17,-4.04,-117.93
2022-04-07,-5.72,-3.79,-142.26
2022-04-08,-6.51,-3.5,-164.86
2022-04-11,-8.07,-3.25,-120.85
2022-04-12,-9.23,-3.12,-111.17
2022-04-13,-9.6,-3.03,-127.42
2022-04-14,-10.46,-3.06,-120.11
2022-04-18,-11.04,-3.14,-119.07
2022-04-19,-10.86,-3.15,-156.96
2022-04-20,-10.69,-3.21,-161.77
2022-04-21,-11.18,-3.28,-125.28
2022-04-22,-11.7,-3.53,-83.46
2022-04-25,-11.96,-3.79,-77.07
2022-04-26,-13.23,-4.2,-63.82
2022-04-27,-14.24,-4.66,-58.48
2022-04-28,-14.25,-4.98,-60.37
