Date,rate_JPM_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,9500.0
2022-01-05,0.0,0.0,165.98
2022-01-06,0.0,0.0,212.5
2022-01-07,1.07,0.0,238.02
2022-01-10,1.42,0.0,235.43
2022-01-11,1.4,0.0,385.71
2022-01-12,1.72,0.0,657.5
2022-01-13,1.91,0.0,248.95
2022-01-14,1.07,0.0,-80.85
2022-01-18,-0.39,0.0,-105.56
2022-01-19,-2.07,0.0,-91.59
2022-01-20,-3.95,0.0,-69.34
2022-01-21,-6.05,0.0,-48.31
2022-01-24,-7.22,0.0,-57.49
2022-01-25,-7.62,0.0,-19.43
2022-01-26,-7.66,0.0,-4.45
2022-01-27,-7.87,0.0,-18.96
2022-01-28,-7.7,0.0,-51.41
2022-01-31,-7.31,-2.9,-86.13
2022-02-01,-6.75,-3.04,-72.04
2022-02-02,-6.49,-3.13,-178.17
2022-02-03,-6.08,-3.28,-54.5
2022-02-04,-5.38,-3.41,-11.11
2022-02-07,-4.83,-3.55,4.38
2022-02-08,-4.27,-3.64,36.51
2022-02-09,-3.5,-3.7,10.5
2022-02-10,-2.67,-3.85,41.86
2022-02-11,-2.51,-4.04,38.74
2022-02-14,-2.58,-4.25,26.58
2022-02-15,-2.72,-4.32,33.82
2022-02-16,-2.9,-4.34,36.43
2022-02-17,-3.44,-4.43,20.74
2022-02-18,-3.65,-4.47,34.31
2022-02-22,-3.73,-4.58,40.78
2022-02-23,-4.46,-4.71,29.69
2022-02-24,-5.73,-4.78,-15.01
2022-02-25,-6.15,-4.72,-17.21
2022-02-28,-7.41,-4.77,-75.0
2022-03-01,-9.22,-4.96,-87.33
2022-03-02,-10.3,-5.1,-110.75
2022-03-03,-10.99,-5.3,-104.81
2022-03-04,-12.56,-5.44,-117.8
2022-03-07,-14.01,-5.73,-90.68
2022-03-08,-14.99,-6.03,-83.87
2022-03-09,-15.67,-6.26,-97.53
2022-03-10,-16.43,-6.57,-99.75
2022-03-11,-17.09,-6.86,-95.22
2022-03-14,-16.98,-7.09,-74.8
2022-03-15,-16.46,-7.21,-98.99
2022-03-16,-15.84,-7.3,-104.05
2022-03-17,-14.8,-7.34,-128.96
2022-03-18,-13.41,-7.24,-192.31
2022-03-21,-12.23,-7.1,-199.73
2022-03-22,-10.97,-6.86,-252.24
2022-03-23,-10.79,-6.6,-187.69
2022-03-24,-10.73,-6.36,-276.33
2022-03-25,-10.5,-6.18,-320.43
2022-03-28,-10.34,-5.97,-523.08
2022-03-29,-10.52,-5.63,-2054.17
2022-03-30,-10.43,-5.41,-885.32
2022-03-31,-10.98,-5.23,-421.4
2022-04-01,-11.73,-5.01,-508.04
2022-04-04,-12.27,-4.61,-814.48
2022-04-05,-13.18,-4.25,-467.18
2022-04-06,-14.23,-4.04,-348.46
2022-04-07,-14.8,-3.79,-424.52
2022-04-08,-15.03,-3.5,-343.54
2022-04-11,-15.39,-3.25,-205.06
2022-04-12,-15.62,-3.12,-202.84
2022-04-13,-16.15,-3.03,-341.37
2022-04-14,-16.78,-3.06,-261.45
2022-04-18,-17.42,-3.14,-235.33
2022-04-19,-17.65,-3.15,-318.81
2022-04-20,-17.65,-3.21,-304.05
2022-04-21,-17.23,-3.28,-210.86
2022-04-22,-17.15,-3.53,-141.48
2022-04-25,-17.36,-3.79,-157.94
2022-04-26,-18.39,-4.2,-114.97
2022-04-27,-19.68,-4.66,-130.22
2022-04-28,-20.59,-4.98,-181.78
2022-04-29,-21.54,-5.4,-118.93
2022-05-02,-22.21,-5.78,-123.82
2022-05-03,-22.08,-6.19,-115.59
2022-05-04,-21.24,-6.41,-160.23
2022-05-05,-21.04,-6.74,-99.21
2022-05-06,-20.36,-7.12,-90.35
2022-05-09,-20.18,-7.62,-59.94
2022-05-10,-20.7,-8.04,-76.7
2022-05-11,-21.83,-8.5,-63.51
2022-05-12,-22.58,-9.02,-63.25
2022-05-13,-23.16,-9.39,-83.28
2022-05-16,-23.62,-9.77,-82.91
2022-05-17,-23.2,-10.14,-88.31
2022-05-18,-22.95,-10.68,-53.57
2022-05-19,-22.92,-11.17,-55.4
2022-05-20,-23.14,-11.54,-59.67
2022-05-23,-22.33,-11.86,-44.08
2022-05-24,-21.79,-12.08,-30.09
2022-05-25,-20.88,-12.27,-32.67
2022-05-26,-19.46,-12.49,-39.43
2022-05-27,-17.68,-12.44,-58.14
2022-05-31,-16.71,-12.45,-44.64
2022-06-01,-16.16,-12.5,-48.46
2022-06-02,-15.47,-12.61,-60.6
2022-06-03,-15.29,-12.62,-49.71
2022-06-06,-15.4,-12.6,-55.95
2022-06-07,-15.58,-12.4,-67.87
2022-06-08,-15.83,-12.26,-65.0
2022-06-09,-16.69,-12.15,-51.69
2022-06-10,-18.05,-12.17,-50.97
2022-06-13,-19.82,-12.44,-37.03
2022-06-14,-21.88,-12.7,-42.3
2022-06-15,-23.5,-13.0,-46.68
2022-06-16,-25.02,-13.26,-33.54
2022-06-17,-25.86,-13.47,-36.24
2022-06-21,-25.88,-13.6,-40.77
2022-06-22,-25.74,-13.81,-41.78
2022-06-23,-25.93,-13.94,-53.52
2022-06-24,-25.43,-13.99,-65.04
2022-06-27,-25.0,-14.14,-65.63
2022-06-28,-25.0,-14.48,-49.97
2022-06-29,-24.99,-14.81,-49.35
2022-06-30,-25.15,-15.16,-53.76
2022-07-01,-25.43,-15.52,-55.84
2022-07-05,-25.77,-15.8,-62.76
2022-07-06,-26.13,-16.08,-68.64
2022-07-07,-26.05,-16.34,-69.97
2022-07-08,-25.68,-16.56,-71.02
2022-07-11,-25.83,-16.72,-66.94
2022-07-12,-25.78,-16.79,-58.78
2022-07-13,-25.78,-16.72,-59.39
2022-07-14,-26.66,-16.66,-72.28
2022-07-15,-26.84,-16.57,-68.5
2022-07-18,-26.98,-16.39,-66.11
2022-07-19,-26.77,-16.1,-79.54
2022-07-20,-26.43,-15.89,-86.72
2022-07-21,-25.48,-15.62,-95.3
2022-07-22,-25.25,-15.43,-86.79
2022-07-25,-24.8,-15.37,-85.65
2022-07-26,-24.95,-15.34,-80.7
2022-07-27,-24.86,-15.11,-103.56
2022-07-28,-24.93,-14.82,-126.11
2022-07-29,-24.85,-14.42,-151.95
2022-08-01,-24.85,-14.1,-152.78
2022-08-02,-24.78,-13.8,-150.64
2022-08-03,-24.84,-13.46,-172.59
2022-08-04,-24.97,-13.19,-177.45
