Date,rate_CSIQ_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-1150.0
2022-01-05,0.0,0.0,-256.7
2022-01-06,0.0,0.0,-230.77
2022-01-07,-1.92,0.0,-104.13
2022-01-10,-2.63,0.0,-179.53
2022-01-11,-3.09,0.0,-304.76
2022-01-12,-2.81,0.0,-407.5
2022-01-13,-3.49,0.0,-378.32
2022-01-14,-4.12,0.0,-300.0
2022-01-18,-5.01,0.0,-195.93
2022-01-19,-6.54,0.0,-195.07
2022-01-20,-8.15,0.0,-137.74
2022-01-21,-9.41,0.0,-133.93
2022-01-24,-10.71,0.0,-126.97
2022-01-25,-11.7,0.0,-104.9
2022-01-26,-11.9,0.0,-71.27
2022-01-27,-12.62,0.0,-98.26
2022-01-28,-12.63,0.0,-166.13
2022-01-31,-11.23,-2.9,-47.98
2022-02-01,-9.75,-3.04,-99.64
2022-02-02,-9.4,-3.13,-377.16
2022-02-03,-9.01,-3.28,-194.0
2022-02-04,-8.18,-3.41,-150.83
2022-02-07,-8.93,-3.55,-128.87
2022-02-08,-9.18,-3.64,-117.14
2022-02-09,-8.11,-3.7,-124.31
2022-02-10,-6.76,-3.85,-45.35
2022-02-11,-6.16,-4.04,-14.5
2022-02-14,-5.74,-4.25,-22.6
2022-02-15,-4.42,-4.32,94.12
2022-02-16,-3.51,-4.34,112.31
2022-02-17,-2.77,-4.43,77.57
2022-02-18,-2.25,-4.47,47.85
2022-02-22,-2.81,-4.58,-27.94
2022-02-23,-4.6,-4.71,-1.55
2022-02-24,-4.9,-4.78,87.06
2022-02-25,-4.34,-4.72,124.96
2022-02-28,-2.17,-4.77,224.01
2022-03-01,1.92,-4.96,250.97
2022-03-02,4.87,-5.1,199.64
2022-03-03,5.83,-5.3,162.85
2022-03-04,6.47,-5.44,169.58
2022-03-07,6.58,-5.73,186.17
2022-03-08,8.56,-6.03,307.52
2022-03-09,11.95,-6.26,392.85
2022-03-10,14.5,-6.57,304.45
2022-03-11,15.88,-6.86,225.84
2022-03-14,14.02,-7.09,87.3
2022-03-15,10.93,-7.21,166.41
2022-03-16,9.03,-7.3,320.1
2022-03-17,8.82,-7.34,422.29
2022-03-18,10.31,-7.24,605.04
2022-03-21,14.66,-7.1,644.03
2022-03-22,18.79,-6.86,1067.16
2022-03-23,20.68,-6.6,675.9
2022-03-24,22.76,-6.36,1013.43
2022-03-25,23.22,-6.18,1008.94
2022-03-28,23.3,-5.97,1336.69
2022-03-29,22.59,-5.63,4764.58
2022-03-30,21.9,-5.41,1844.04
2022-03-31,20.71,-5.23,873.15
2022-04-01,20.59,-5.01,1027.23
2022-04-04,21.93,-4.61,2005.52
2022-04-05,21.43,-4.25,858.4
2022-04-06,21.04,-4.04,577.87
2022-04-07,20.37,-3.79,632.58
2022-04-08,19.0,-3.5,518.62
2022-04-11,16.47,-3.25,403.04
2022-04-12,15.42,-3.12,376.52
2022-04-13,15.22,-3.03,480.38
2022-04-14,14.58,-3.06,347.3
2022-04-18,14.48,-3.14,351.96
2022-04-19,14.69,-3.15,512.89
2022-04-20,13.72,-3.21,345.82
2022-04-21,10.98,-3.28,144.94
2022-04-22,8.32,-3.53,100.0
2022-04-25,5.11,-3.79,65.13
2022-04-26,0.55,-4.2,31.96
2022-04-27,-2.56,-4.66,39.77
2022-04-28,-4.02,-4.98,34.57
2022-04-29,-5.37,-5.4,37.77
2022-05-02,-5.98,-5.78,43.94
2022-05-03,-5.01,-6.19,79.83
2022-05-04,-3.16,-6.41,148.5
2022-05-05,-2.33,-6.74,92.4
2022-05-06,-1.9,-7.12,57.17
2022-05-09,-3.31,-7.62,5.81
2022-05-10,-5.39,-8.04,6.58
2022-05-11,-10.21,-8.5,-41.91
2022-05-12,-14.7,-9.02,-58.74
2022-05-13,-17.22,-9.39,-35.57
2022-05-16,-18.21,-9.77,-35.18
2022-05-17,-17.58,-10.14,18.42
2022-05-18,-14.9,-10.68,50.24
2022-05-19,-10.71,-11.17,85.27
2022-05-20,-7.29,-11.54,99.21
2022-05-23,-3.97,-11.86,92.91
2022-05-24,-1.32,-12.08,128.34
2022-05-25,-0.02,-12.27,94.11
2022-05-26,1.03,-12.49,125.17
2022-05-27,2.33,-12.44,164.99
2022-05-31,4.3,-12.45,186.94
2022-06-01,5.35,-12.5,187.0
2022-06-02,8.16,-12.61,246.14
2022-06-03,9.99,-12.62,215.52
2022-06-06,12.84,-12.6,300.78
2022-06-07,14.82,-12.4,300.43
2022-06-08,16.46,-12.26,268.66
2022-06-09,16.86,-12.15,222.62
2022-06-10,16.34,-12.17,164.03
2022-06-13,12.66,-12.44,112.14
2022-06-14,8.8,-12.7,97.43
2022-06-15,5.49,-13.0,105.3
2022-06-16,1.58,-13.26,78.21
2022-06-17,0.42,-13.47,119.32
2022-06-21,1.14,-13.6,132.64
2022-06-22,2.42,-13.81,133.11
2022-06-23,4.17,-13.94,156.92
2022-06-24,6.98,-13.99,166.76
2022-06-27,9.22,-14.14,201.15
2022-06-28,9.64,-14.48,147.32
2022-06-29,8.85,-14.81,111.52
2022-06-30,8.01,-15.16,131.32
2022-07-01,7.12,-15.52,132.49
2022-07-05,4.55,-15.8,113.38
2022-07-06,2.82,-16.08,94.89
2022-07-07,4.18,-16.34,159.86
2022-07-08,5.41,-16.56,179.18
2022-07-11,4.39,-16.72,101.09
2022-07-12,3.8,-16.79,95.3
2022-07-13,3.81,-16.72,95.59
2022-07-14,1.98,-16.66,97.65
2022-07-15,-0.6,-16.57,91.72
2022-07-18,-0.21,-16.39,113.2
2022-07-19,0.77,-16.1,129.86
2022-07-20,2.55,-15.89,160.75
2022-07-21,3.95,-15.62,152.51
2022-07-22,6.01,-15.43,167.72
2022-07-25,8.3,-15.37,202.64
2022-07-26,9.31,-15.34,164.49
2022-07-27,10.74,-15.11,226.84
2022-07-28,13.8,-14.82,299.0
2022-07-29,16.97,-14.42,355.86
2022-08-01,18.38,-14.1,312.65
2022-08-02,21.08,-13.8,323.65
2022-08-03,22.39,-13.46,339.25
2022-08-04,22.9,-13.19,366.34
2022-08-05,23.5,-12.92,399.03
2022-08-08,25.15,-12.6,409.07
2022-08-09,26.59,-12.26,410.6
2022-08-10,28.72,-11.84,489.92
2022-08-11,30.08,-11.41,475.27
2022-08-12,31.01,-11.0,546.97
2022-08-15,31.58,-10.54,555.87
2022-08-16,31.03,-10.19,495.2
2022-08-17,29.52,-9.88,441.37
2022-08-18,32.04,-9.61,717.16
2022-08-19,32.31,-9.34,524.12
2022-08-22,34.06,-9.14,539.5
2022-08-23,36.7,-8.9,529.85
2022-08-24,40.21,-8.76,561.63
2022-08-25,39.84,-8.62,604.92
2022-08-26,41.4,-8.66,499.42
2022-08-29,41.62,-8.71,486.75
2022-08-30,41.41,-8.77,443.78
2022-08-31,41.5,-8.91,461.5
2022-09-01,41.36,-9.02,462.81
2022-09-02,41.08,-9.16,434.97
2022-09-06,40.93,-9.3,436.89
2022-09-07,42.31,-9.36,523.3
2022-09-08,41.45,-9.46,471.97
2022-09-09,40.56,-9.5,504.16
2022-09-12,39.2,-9.55,505.22
2022-09-13,38.04,-9.8,393.09
2022-09-14,36.0,-10.04,407.01
2022-09-15,34.33,-10.31,339.75
2022-09-16,32.87,-10.62,323.04
2022-09-19,32.11,-10.85,333.28
2022-09-20,29.78,-11.07,273.25
2022-09-21,27.49,-11.36,262.33
2022-09-22,25.71,-11.69,235.36
2022-09-23,23.74,-12.13,215.23
2022-09-26,21.54,-12.5,203.52
