Date,rate_GILD_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-1150.0
2022-01-05,0.0,0.0,71.13
2022-01-06,0.0,0.0,34.62
2022-01-07,-0.42,0.0,24.79
2022-01-10,-0.49,0.0,73.23
2022-01-11,-0.45,0.0,92.06
2022-01-12,-0.43,0.0,57.5
2022-01-13,-0.4,0.0,61.54
2022-01-14,-0.36,0.0,52.48
2022-01-18,-0.7,0.0,24.07
2022-01-19,-1.38,0.0,0.0
2022-01-20,-2.29,0.0,-12.03
2022-01-21,-2.99,0.0,28.42
2022-01-24,-3.65,0.0,25.66
2022-01-25,-3.97,0.0,42.5
2022-01-26,-4.37,0.0,16.13
2022-01-27,-4.53,0.0,19.83
2022-01-28,-4.45,0.0,27.02
2022-01-31,-4.42,-2.9,-10.69
2022-02-01,-4.49,-3.04,-42.65
2022-02-02,-4.86,-3.13,-272.08
2022-02-03,-5.33,-3.28,-96.75
2022-02-04,-6.55,-3.41,-170.83
2022-02-07,-7.77,-3.55,-155.93
2022-02-08,-8.98,-3.64,-217.78
2022-02-09,-9.6,-3.7,-476.8
2022-02-10,-10.54,-3.85,-265.12
2022-02-11,-11.03,-4.04,-132.63
2022-02-14,-11.73,-4.25,-143.58
2022-02-15,-12.37,-4.32,-222.79
2022-02-16,-12.76,-4.34,-211.31
2022-02-17,-12.89,-4.43,-123.1
2022-02-18,-13.16,-4.47,-108.62
2022-02-22,-13.2,-4.58,-82.49
2022-02-23,-13.19,-4.71,-45.03
2022-02-24,-13.55,-4.78,-83.18
2022-02-25,-13.59,-4.72,-131.67
2022-02-28,-13.77,-4.77,-139.24
2022-03-01,-13.88,-4.96,-97.77
2022-03-02,-13.83,-5.1,-130.82
2022-03-03,-13.45,-5.3,-102.99
2022-03-04,-13.16,-5.44,-78.64
2022-03-07,-13.11,-5.73,-52.2
2022-03-08,-13.31,-6.03,-52.3
2022-03-09,-13.93,-6.26,-107.41
2022-03-10,-14.97,-6.57,-115.57
2022-03-11,-16.02,-6.86,-88.17
2022-03-14,-16.61,-7.09,-74.09
2022-03-15,-16.95,-7.21,-113.26
2022-03-16,-17.23,-7.3,-193.58
2022-03-17,-16.88,-7.34,-226.04
2022-03-18,-16.48,-7.24,-306.9
2022-03-21,-16.05,-7.1,-298.14
2022-03-22,-15.59,-6.86,-443.28
2022-03-23,-15.34,-6.6,-314.1
2022-03-24,-15.36,-6.36,-456.18
2022-03-25,-15.51,-6.18,-583.83
2022-03-28,-15.64,-5.97,-827.81
2022-03-29,-15.48,-5.63,-2770.83
2022-03-30,-15.26,-5.41,-1277.06
2022-03-31,-15.17,-5.23,-495.33
2022-04-01,-14.86,-5.01,-549.55
2022-04-04,-14.36,-4.61,-808.97
2022-04-05,-14.5,-4.25,-452.29
2022-04-06,-14.09,-4.04,-263.31
2022-04-07,-13.58,-3.79,-310.65
2022-04-08,-12.85,-3.5,-227.33
2022-04-11,-12.51,-3.25,-132.19
2022-04-12,-11.98,-3.12,-124.24
2022-04-13,-11.63,-3.03,-165.48
2022-04-14,-11.4,-3.06,-115.46
2022-04-18,-11.6,-3.14,-122.62
2022-04-19,-11.35,-3.15,-162.89
2022-04-20,-10.79,-3.21,-128.86
2022-04-21,-10.31,-3.28,-65.17
2022-04-22,-10.19,-3.53,-39.44
2022-04-25,-9.88,-3.79,-40.98
2022-04-26,-10.17,-4.2,-16.98
2022-04-27,-10.74,-4.66,-22.3
2022-04-28,-11.37,-4.98,-58.78
2022-04-29,-12.2,-5.4,-39.52
2022-05-02,-12.78,-5.78,-33.43
2022-05-03,-13.12,-6.19,-38.25
2022-05-04,-12.9,-6.41,-55.08
2022-05-05,-12.89,-6.74,-17.18
2022-05-06,-12.29,-7.12,-13.5
2022-05-09,-11.9,-7.62,15.12
2022-05-10,-11.5,-8.04,14.83
2022-05-11,-11.93,-8.5,10.91
2022-05-12,-11.61,-9.02,29.85
2022-05-13,-11.27,-9.39,17.82
2022-05-16,-11.11,-9.77,18.32
2022-05-17,-10.71,-10.14,17.89
2022-05-18,-9.96,-10.68,37.39
2022-05-19,-9.73,-11.17,40.14
2022-05-20,-9.31,-11.54,45.38
2022-05-23,-8.91,-11.86,37.28
2022-05-24,-8.57,-12.08,46.82
2022-05-25,-8.06,-12.27,51.07
2022-05-26,-7.72,-12.49,37.67
2022-05-27,-7.44,-12.44,28.86
2022-05-31,-7.1,-12.45,32.94
2022-06-01,-6.94,-12.5,36.39
2022-06-02,-7.34,-12.61,4.53
2022-06-03,-7.59,-12.62,17.43
2022-06-06,-8.34,-12.6,-4.29
2022-06-07,-8.96,-12.4,-6.06
2022-06-08,-9.64,-12.26,1.64
2022-06-09,-10.29,-12.15,4.03
2022-06-10,-11.07,-12.17,15.94
2022-06-13,-11.89,-12.44,18.16
2022-06-14,-13.26,-12.7,8.41
2022-06-15,-14.4,-13.0,7.33
2022-06-16,-15.39,-13.26,14.88
2022-06-17,-16.02,-13.47,19.93
2022-06-21,-15.63,-13.6,27.27
2022-06-22,-14.57,-13.81,36.02
2022-06-23,-13.36,-13.94,41.84
2022-06-24,-11.83,-13.99,36.75
2022-06-27,-10.59,-14.14,35.65
2022-06-28,-10.11,-14.48,37.22
2022-06-29,-9.83,-14.81,40.6
2022-06-30,-10.05,-15.16,37.3
2022-07-01,-10.2,-15.52,38.88
2022-07-05,-10.29,-15.8,38.17
2022-07-06,-10.08,-16.08,40.57
2022-07-07,-9.96,-16.34,35.56
2022-07-08,-9.61,-16.56,37.01
2022-07-11,-9.52,-16.72,39.13
2022-07-12,-9.52,-16.79,39.15
2022-07-13,-9.6,-16.72,41.5
2022-07-14,-9.86,-16.66,36.79
2022-07-15,-9.93,-16.57,37.84
2022-07-18,-10.44,-16.39,25.34
2022-07-19,-10.5,-16.1,26.13
2022-07-20,-10.76,-15.89,17.09
2022-07-21,-10.99,-15.62,5.26
2022-07-22,-11.51,-15.43,8.41
2022-07-25,-11.55,-15.37,7.33
2022-07-26,-11.98,-15.34,12.63
2022-07-27,-12.17,-15.11,0.17
2022-07-28,-12.35,-14.82,-16.2
2022-07-29,-12.65,-14.42,-41.05
2022-08-01,-12.91,-14.1,-39.51
2022-08-02,-13.14,-13.8,-34.19
2022-08-03,-12.87,-13.46,-17.21
2022-08-04,-12.53,-13.19,-20.7
2022-08-05,-12.18,-12.92,-28.46
2022-08-08,-11.75,-12.6,-21.77
2022-08-09,-11.23,-12.26,-14.45
2022-08-10,-11.07,-11.84,-18.73
2022-08-11,-10.97,-11.41,-26.89
2022-08-12,-10.59,-11.0,-38.71
2022-08-15,-9.68,-10.54,1.58
2022-08-16,-8.83,-10.19,1.75
2022-08-17,-8.26,-9.88,3.42
2022-08-18,-7.72,-9.61,-10.27
2022-08-19,-7.24,-9.34,3.39
2022-08-22,-7.59,-9.14,6.71
2022-08-23,-8.09,-8.9,1.28
2022-08-24,-8.55,-8.76,-1.3
2022-08-25,-8.85,-8.62,-12.24
2022-08-26,-9.41,-8.66,-0.96
2022-08-29,-9.77,-8.71,3.34
2022-08-30,-10.0,-8.77,9.11
2022-08-31,-10.02,-8.91,20.3
2022-09-01,-9.72,-9.02,31.23
2022-09-02,-9.4,-9.16,25.79
2022-09-06,-9.17,-9.3,23.66
2022-09-07,-8.62,-9.36,29.91
2022-09-08,-8.18,-9.46,30.25
2022-09-09,-8.01,-9.5,23.33
2022-09-12,-6.92,-9.55,58.08
2022-09-13,-6.55,-9.8,38.38
2022-09-14,-6.48,-10.04,37.69
