Date,rate_AAPL_5D,rate_AAPL_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-1.5939999999999999,,-0.648,
2022-01-10,-2.13,,-0.9019999999999999,
2022-01-11,-2.3,,-1.024,
2022-01-12,-2.1719999999999997,,-0.9099999999999999,
2022-01-13,-2.162,,-0.9879999999999999,
2022-01-14,-2.088,,-1.028,
2022-01-18,-2.286,,-1.314,
2022-01-19,-3.02,,-1.8780000000000001,
2022-01-20,-3.936,,-2.646,
2022-01-21,-4.748,,-3.4859999999999998,
2022-01-24,-5.6979999999999995,,-4.272,
2022-01-25,-6.56,,-4.998,
2022-01-26,-7.134,,-5.609999999999999,
2022-01-27,-7.609999999999999,,-6.144,
2022-01-28,-6.812,,-6.01,
2022-01-31,-5.51,-3.7225,-5.634,-2.8954999999999997
2022-02-01,-4.038,-3.7535000000000003,-4.926,-3.035
2022-02-02,-2.432,-3.7215000000000003,-4.018,-3.1325
2022-02-03,-1.082,-3.7,-3.436,-3.284
2022-02-04,-0.884,-3.6515,-3.164,-3.4120000000000004
2022-02-07,-1.2,-3.624,-3.2479999999999998,-3.5454999999999997
2022-02-08,-1.16,-3.511,-3.3200000000000003,-3.6395000000000004
2022-02-09,-1.0899999999999999,-3.4190000000000005,-3.2879999999999994,-3.6985000000000006
2022-02-10,-1.166,-3.4485,-3.1759999999999997,-3.8505000000000003
2022-02-11,-1.566,-3.5025000000000004,-3.504,-4.0409999999999995
2022-02-14,-1.866,-3.5685000000000002,-3.8340000000000005,-4.247
2022-02-15,-2.0759999999999996,-3.4585,-4.0200000000000005,-4.316
2022-02-16,-2.4699999999999998,-3.2815,-4.454,-4.3425
2022-02-17,-2.82,-3.1695,-4.952,-4.427
2022-02-18,-2.9699999999999998,-3.058,-5.204,-4.4704999999999995
2022-02-22,-3.4739999999999993,-3.0125,-5.593999999999999,-4.5775
2022-02-23,-4.88,-3.0385,-6.590000000000001,-4.714
2022-02-24,-5.964,-2.989,-7.340000000000001,-4.775
2022-02-25,-6.409999999999999,-2.8695,-7.316,-4.720000000000001
2022-02-28,-6.65,-3.0175,-7.224000000000001,-4.774
2022-03-01,-6.736,-3.319,-7.164,-4.96
2022-03-02,-5.988,-3.526,-6.467999999999999,-5.099500000000001
2022-03-03,-5.57,-3.7735,-6.128,-5.3025
2022-03-04,-5.718000000000001,-4.028499999999999,-6.314,-5.439500000000001
2022-03-07,-6.316,-4.3755,-6.9719999999999995,-5.726
2022-03-08,-6.947999999999999,-4.756,-7.531999999999999,-6.031000000000001
2022-03-09,-7.331999999999999,-5.069,-7.954000000000001,-6.258
2022-03-10,-8.172,-5.544,-8.366,-6.572
2022-03-11,-9.1,-6.012,-8.86,-6.8605
2022-03-14,-10.064,-6.5,-8.962,-7.0905000000000005
2022-03-15,-10.318000000000001,-6.869,-8.55,-7.210000000000001
2022-03-16,-10.676,-7.218999999999999,-8.196000000000002,-7.302000000000001
2022-03-17,-10.426,-7.5329999999999995,-7.537999999999999,-7.343000000000001
2022-03-18,-9.378,-7.6515,-6.45,-7.235000000000001
2022-03-21,-7.715999999999999,-7.6865,-5.236,-7.0985
2022-03-22,-6.1659999999999995,-7.542,-4.188,-6.858499999999999
2022-03-23,-4.966,-7.2405,-3.7840000000000003,-6.600500000000001
2022-03-24,-3.4440000000000004,-6.9030000000000005,-3.3899999999999997,-6.3555
2022-03-25,-2.226,-6.605500000000001,-3.106,-6.182499999999999
2022-03-28,-1.066,-6.2905,-2.69,-5.965000000000001
2022-03-29,0.08399999999999999,-5.837000000000001,-2.25,-5.63
