Date,rate_CVX_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,53.01
2019-03-01,7.02,6.13,0.89,53.82
2019-04-29,5.85,10.74,-4.89,48.59
2019-06-25,10.87,9.75,1.12,54.03
2019-08-21,6.06,9.45,-3.39,49.95
2019-10-17,3.81,11.38,-7.57,46.17
2019-12-13,5.87,17.31,-11.44,42.68
2020-02-12,0.48,23.26,-22.78,32.43
2020-04-09,-23.07,5.35,-28.42,27.33
2020-06-08,-5.12,21.76,-26.88,28.73
2020-08-04,-20.04,23.27,-43.31,13.88
2020-09-30,-32.09,22.35,-54.44,3.82
2020-11-25,-11.57,30.73,-42.3,14.79
2021-01-26,-13.43,37.01,-50.44,7.44
2021-03-24,1.9,38.04,-36.14,20.36
2021-05-20,0.7,45.0,-44.3,12.98
2021-07-19,-6.77,46.79,-53.56,4.62
2021-09-14,-4.8,49.47,-54.27,3.98
2021-11-09,14.45,55.69,-41.24,15.75
2022-01-06,20.83,54.19,-33.36,22.87
2022-03-07,57.35,37.12,20.23,71.29
2022-05-03,56.16,34.96,21.2,72.17
2022-06-30,38.39,22.0,16.39,67.82
2022-08-26,53.8,30.79,23.01,73.81
2022-10-24,63.95,22.72,41.23,90.27
2022-12-20,61.79,22.59,39.2,88.43
2023-02-17,51.16,30.41,20.75,71.76
2023-04-18,56.9,31.87,25.03,75.63
2023-06-14,43.5,38.27,5.23,57.74
2023-08-11,48.11,40.92,7.19,59.51
2023-10-09,48.76,35.51,13.25,64.99
2023-12-05,26.87,42.24,-15.37,39.13
2024-02-02,34.45,52.79,-18.34,36.44
2024-04-02,39.95,59.09,-19.14,35.72
2024-05-29,37.0,60.75,-23.75,31.55
2024-07-26,37.06,64.89,-27.83,27.87
