Date,rate_ALB,rate_VOO,Sector
2022-01-03,0.0,0.0,Basic Materials
2022-01-04,1.24,-0.02,Basic Materials
2022-01-05,-0.22,-0.97,Basic Materials
2022-01-06,-0.69,-1.04,Basic Materials
2022-01-07,-0.14,-1.21,Basic Materials
2022-01-10,-2.03,-1.27,Basic Materials
2022-01-11,2.17,-0.63,Basic Materials
2022-01-12,2.46,-0.4,Basic Materials
2022-01-13,0.6,-1.43,Basic Materials
2022-01-14,0.1,-1.41,Basic Materials
2022-01-18,-2.25,-2.7,Basic Materials
2022-01-19,-4.35,-3.45,Basic Materials
2022-01-20,-5.16,-4.24,Basic Materials
2022-01-21,-6.57,-5.63,Basic Materials
2022-01-24,-6.83,-5.34,Basic Materials
2022-01-25,-9.06,-6.33,Basic Materials
2022-01-26,-9.21,-6.51,Basic Materials
2022-01-27,-9.28,-6.91,Basic Materials
2022-01-28,-8.98,-4.96,Basic Materials
2022-01-31,-3.5,-3.46,Basic Materials
2022-02-01,-1.63,-2.79,Basic Materials
2022-02-02,-3.1,-1.97,Basic Materials
2022-02-03,-5.63,-4.0,Basic Materials
2022-02-04,-5.25,-3.6,Basic Materials
2022-02-07,-3.77,-3.88,Basic Materials
2022-02-08,-0.91,-3.15,Basic Materials
2022-02-09,3.13,-1.81,Basic Materials
2022-02-10,2.97,-3.44,Basic Materials
2022-02-11,0.83,-5.24,Basic Materials
2022-02-14,-0.5,-5.53,Basic Materials
2022-02-15,5.3,-4.08,Basic Materials
2022-02-16,7.24,-3.98,Basic Materials
2022-02-17,-13.45,-5.93,Basic Materials
2022-02-18,-16.1,-6.5,Basic Materials
2022-02-22,-15.64,-7.48,Basic Materials
2022-02-23,-19.8,-9.06,Basic Materials
2022-02-24,-18.87,-7.73,Basic Materials
2022-02-25,-15.59,-5.81,Basic Materials
2022-02-28,-13.93,-6.04,Basic Materials
2022-03-01,-17.45,-7.18,Basic Materials
2022-03-02,-15.5,-5.58,Basic Materials
2022-03-03,-17.5,-6.03,Basic Materials
2022-03-04,-20.53,-6.74,Basic Materials
2022-03-07,-23.44,-9.33,Basic Materials
2022-03-08,-19.73,-9.98,Basic Materials
2022-03-09,-16.99,-7.69,Basic Materials
2022-03-10,-16.45,-8.09,Basic Materials
2022-03-11,-18.0,-9.21,Basic Materials
2022-03-14,-21.64,-9.84,Basic Materials
2022-03-15,-19.19,-7.92,Basic Materials
2022-03-16,-15.16,-5.92,Basic Materials
2022-03-17,-12.94,-4.8,Basic Materials
2022-03-18,-12.13,-3.77,Basic Materials
2022-03-21,-11.94,-3.77,Basic Materials
2022-03-22,-8.91,-2.68,Basic Materials
2022-03-23,-7.77,-3.9,Basic Materials
2022-03-24,-5.17,-2.83,Basic Materials
2022-03-25,-3.67,-2.35,Basic Materials
2022-03-28,-5.09,-1.69,Basic Materials
2022-03-29,-1.53,-0.48,Basic Materials
2022-03-30,-1.24,-1.09,Basic Materials
2022-03-31,-2.11,-2.57,Basic Materials
2022-04-01,-0.45,-2.24,Basic Materials
2022-04-04,0.02,-1.45,Basic Materials
2022-04-05,-3.21,-2.62,Basic Materials
2022-04-06,-5.36,-3.57,Basic Materials
2022-04-07,-5.22,-3.1,Basic Materials
2022-04-08,-5.54,-3.33,Basic Materials
2022-04-11,-7.39,-4.94,Basic Materials
2022-04-12,-7.78,-5.28,Basic Materials
2022-04-13,-4.73,-4.23,Basic Materials
2022-04-14,-5.39,-5.37,Basic Materials
2022-04-18,-5.89,-5.35,Basic Materials
2022-04-19,-2.27,-3.88,Basic Materials
2022-04-20,-2.68,-3.95,Basic Materials
2022-04-21,-6.93,-5.34,Basic Materials
2022-04-22,-9.74,-7.86,Basic Materials
