Date,rate_CHTR,rate_CHTR_5D,rate_CHTR_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.51,,,-0.02,,
2022-01-05,-1.71,,,-0.97,,
2022-01-06,-1.18,,,-1.04,,
2022-01-07,-2.8,-1.2399999999999998,,-1.21,-0.648,
2022-01-10,-3.18,-1.876,,-1.27,-0.9019999999999999,
2022-01-11,-2.4,-2.254,,-0.63,-1.024,
2022-01-12,-2.18,-2.348,,-0.4,-0.9099999999999999,
2022-01-13,-1.58,-2.428,,-1.43,-0.9879999999999999,
2022-01-14,-2.92,-2.4520000000000004,,-1.41,-1.028,
2022-01-18,-5.84,-2.9840000000000004,,-2.7,-1.314,
2022-01-19,-6.01,-3.7060000000000004,,-3.45,-1.8780000000000001,
2022-01-20,-7.09,-4.688000000000001,,-4.24,-2.646,
2022-01-21,-7.38,-5.848,,-5.63,-3.4859999999999998,
2022-01-24,-6.5,-6.564,,-5.34,-4.272,
2022-01-25,-8.39,-7.074000000000001,,-6.33,-4.998,
2022-01-26,-9.57,-7.786,,-6.51,-5.609999999999999,
2022-01-27,-8.73,-8.114,,-6.91,-6.144,
2022-01-28,-4.66,-7.5699999999999985,,-4.96,-6.01,
2022-01-31,-4.26,-7.122,-4.3445,-3.46,-5.634,-2.8954999999999997
2022-02-01,-3.62,-6.168,-4.5255,-2.79,-4.926,-3.035
2022-02-02,-3.15,-4.884,-4.6575,-1.97,-4.018,-3.1325
2022-02-03,-1.7,-3.478,-4.657,-4.0,-3.436,-3.284
2022-02-04,-1.91,-2.928,-4.693499999999999,-3.6,-3.164,-3.4120000000000004
2022-02-07,-1.65,-2.4059999999999997,-4.636,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-1.9,-2.0620000000000003,-4.572,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-1.05,-1.6420000000000001,-4.5045,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-2.29,-1.7600000000000002,-4.51,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-2.56,-1.89,-4.558999999999999,-5.24,-3.504,-4.0409999999999995
2022-02-14,-2.08,-1.9759999999999998,-4.517,-5.53,-3.8340000000000005,-4.247
2022-02-15,-1.84,-1.964,-4.317,-4.08,-4.0200000000000005,-4.316
2022-02-16,-1.84,-2.122,-4.1085,-3.98,-4.454,-4.3425
2022-02-17,-3.64,-2.3920000000000003,-3.936,-5.93,-4.952,-4.427
