Date,rate_SRE_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,62.69
2019-03-01,7.0,4.45,2.55,66.75
2019-04-29,10.54,7.58,2.96,67.4
2019-06-25,21.99,7.2,14.79,86.25
2019-08-21,22.27,7.24,15.03,86.63
2019-10-17,25.49,8.87,16.62,89.17
2019-12-13,28.47,13.19,15.28,87.03
2020-02-12,36.35,18.03,18.32,91.88
2020-04-09,16.93,3.89,13.04,83.46
2020-06-08,20.53,14.68,5.85,72.01
2020-08-04,12.27,16.26,-3.99,56.33
2020-09-30,6.65,17.41,-10.76,45.55
2020-11-25,18.14,24.05,-5.91,53.27
2021-01-26,11.91,29.15,-17.24,35.22
2021-03-24,15.61,30.35,-14.74,39.21
2021-05-20,21.33,36.67,-15.34,38.25
2021-07-19,16.33,38.99,-22.66,26.59
2021-09-14,19.72,43.6,-23.88,24.65
2021-11-09,12.31,49.14,-36.83,4.01
2022-01-06,21.69,49.24,-27.55,18.8
2022-03-07,35.78,37.68,-1.9,59.66
2022-05-03,42.41,36.93,5.48,71.42
2022-06-30,33.61,27.61,6.0,72.25
2022-08-26,47.36,34.27,13.09,83.54
2022-10-24,28.43,27.92,0.51,63.5
2022-12-20,38.9,28.33,10.57,79.53
2023-02-17,40.56,34.71,5.85,72.01
2023-04-18,38.47,36.36,2.11,66.05
2023-06-14,31.09,41.83,-10.74,45.58
2023-08-11,28.61,43.86,-15.25,38.39
2023-10-09,22.4,40.69,-18.29,33.55
2023-12-05,26.5,46.52,-20.02,30.79
2024-02-02,27.2,55.53,-28.33,17.56
2024-04-02,27.97,61.42,-33.45,9.4
2024-05-29,31.74,63.18,-31.44,12.6
2024-07-26,39.38,67.5,-28.12,17.89
