Date,rate_HSY_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,9.69
2019-03-01,4.81,4.45,0.36,10.02
2019-04-29,14.23,7.58,6.65,15.86
2019-06-25,24.28,7.2,17.08,25.54
2019-08-21,41.09,7.24,33.85,41.1
2019-10-17,36.4,8.87,27.53,35.24
2019-12-13,32.04,13.19,18.85,27.18
2020-02-12,40.4,18.03,22.37,30.45
2020-04-09,29.52,3.89,25.63,33.47
2020-06-08,23.09,14.68,8.41,17.49
2020-08-04,29.82,16.26,13.56,22.27
2020-09-30,29.07,17.41,11.66,20.51
2020-11-25,32.82,24.05,8.77,17.83
2021-01-26,33.89,29.15,4.74,14.09
2021-03-24,39.93,30.35,9.58,18.58
2021-05-20,52.28,36.67,15.61,24.17
2021-07-19,57.22,38.99,18.23,26.61
2021-09-14,53.42,43.6,9.82,18.8
2021-11-09,54.69,49.14,5.55,14.84
2022-01-06,70.59,49.24,21.35,29.5
2022-03-07,83.7,37.68,46.02,52.39
2022-05-03,88.92,36.93,51.99,57.93
2022-06-30,85.09,27.61,57.48,63.03
2022-08-26,95.63,34.27,61.36,66.63
2022-10-24,98.2,27.92,70.28,74.91
2022-12-20,99.51,28.33,71.18,75.74
2023-02-17,105.01,34.71,70.3,74.93
2023-04-18,119.76,36.36,83.4,87.08
2023-06-14,120.53,41.83,78.7,82.72
2023-08-11,91.65,43.86,47.79,54.04
2023-10-09,69.93,40.69,29.24,36.82
2023-12-05,63.85,46.52,17.33,25.77
2024-02-02,71.44,55.53,15.91,24.45
2024-04-02,73.7,61.42,12.28,21.08
2024-05-29,68.24,63.18,5.06,14.38
2024-07-26,68.22,67.5,0.72,10.36
