Date,rate_BR_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-400.0
2022-01-05,0.0,0.0,2.06
2022-01-06,0.0,0.0,-75.0
2022-01-07,-1.09,0.0,-113.22
2022-01-10,-1.78,0.0,-172.44
2022-01-11,-2.48,0.0,-469.84
2022-01-12,-2.8,0.0,-535.0
2022-01-13,-3.53,0.0,-281.82
2022-01-14,-4.39,0.0,-389.36
2022-01-18,-5.09,0.0,-157.78
2022-01-19,-5.72,0.0,-94.78
2022-01-20,-6.61,0.0,-65.33
2022-01-21,-7.19,0.0,-48.31
2022-01-24,-7.37,0.0,-45.88
2022-01-25,-8.12,0.0,-69.67
2022-01-26,-9.23,0.0,-88.33
2022-01-27,-10.16,0.0,-68.89
2022-01-28,-10.43,0.0,-95.16
2022-01-31,-10.3,-2.9,-106.36
2022-02-01,-10.15,-3.04,-258.78
2022-02-02,-9.6,-3.13,-382.23
2022-02-03,-9.79,-3.28,-215.0
2022-02-04,-10.21,-3.41,-228.33
2022-02-07,-11.36,-3.55,-231.7
2022-02-08,-11.83,-3.64,-292.06
2022-02-09,-12.17,-3.7,-519.34
2022-02-10,-12.38,-3.85,-297.09
2022-02-11,-12.95,-4.04,-180.15
2022-02-14,-13.29,-4.25,-163.29
2022-02-15,-13.41,-4.32,-217.65
2022-02-16,-13.95,-4.34,-249.5
2022-02-17,-14.42,-4.43,-169.31
2022-02-18,-14.67,-4.47,-145.69
2022-02-22,-14.9,-4.58,-109.63
2022-02-23,-15.67,-4.71,-85.65
2022-02-24,-15.75,-4.78,-84.99
2022-02-25,-15.07,-4.72,-116.87
2022-02-28,-14.63,-4.77,-127.98
2022-03-01,-14.16,-4.96,-85.24
2022-03-02,-13.24,-5.1,-119.35
2022-03-03,-13.04,-5.3,-120.56
2022-03-04,-13.05,-5.44,-87.83
2022-03-07,-12.85,-5.73,-36.66
2022-03-08,-12.99,-6.03,-40.48
2022-03-09,-13.12,-6.26,-67.36
2022-03-10,-13.2,-6.57,-69.1
2022-03-11,-13.52,-6.86,-55.16
2022-03-14,-13.98,-7.09,-52.74
2022-03-15,-13.83,-7.21,-67.93
2022-03-16,-13.38,-7.3,-79.39
2022-03-17,-12.61,-7.34,-104.17
2022-03-18,-11.56,-7.24,-139.79
2022-03-21,-10.55,-7.1,-164.99
2022-03-22,-9.8,-6.86,-256.34
2022-03-23,-9.84,-6.6,-177.18
2022-03-24,-9.88,-6.36,-253.71
2022-03-25,-9.98,-6.18,-305.11
2022-03-28,-9.69,-5.97,-405.92
2022-03-29,-9.13,-5.63,-1306.25
2022-03-30,-8.51,-5.41,-607.34
2022-03-31,-8.06,-5.23,-203.11
2022-04-01,-7.6,-5.01,-222.32
2022-04-04,-7.3,-4.61,-386.21
2022-04-05,-7.08,-4.25,-114.12
2022-04-06,-6.65,-4.04,-56.02
2022-04-07,-6.28,-3.79,-91.61
2022-04-08,-5.83,-3.5,-48.95
2022-04-11,-6.0,-3.25,-60.53
2022-04-12,-6.55,-3.12,-57.95
2022-04-13,-6.95,-3.03,-78.96
2022-04-14,-7.49,-3.06,-60.89
2022-04-18,-8.43,-3.14,-80.93
2022-04-19,-8.44,-3.15,-105.15
2022-04-20,-8.27,-3.21,-89.87
2022-04-21,-8.37,-3.28,-50.94
2022-04-22,-8.95,-3.53,-47.07
2022-04-25,-9.02,-3.79,-35.69
2022-04-26,-9.96,-4.2,-27.24
2022-04-27,-10.95,-4.66,-27.95
2022-04-28,-11.43,-4.98,-39.36
2022-04-29,-11.92,-5.4,-29.27
2022-05-02,-12.74,-5.78,-41.04
2022-05-03,-12.65,-6.19,-27.23
2022-05-04,-12.27,-6.41,-50.93
2022-05-05,-13.02,-6.74,-40.18
2022-05-06,-13.2,-7.12,-39.74
2022-05-09,-13.84,-7.62,-28.89
2022-05-10,-14.97,-8.04,-35.1
2022-05-11,-16.65,-8.5,-29.97
2022-05-12,-17.42,-9.02,-23.5
2022-05-13,-17.71,-9.39,-28.94
2022-05-16,-17.56,-9.77,-27.64
2022-05-17,-17.13,-10.14,-38.88
2022-05-18,-16.93,-10.68,-22.16
2022-05-19,-16.74,-11.17,-12.18
2022-05-20,-16.79,-11.54,-8.66
2022-05-23,-16.62,-11.86,-14.99
2022-05-24,-16.71,-12.08,-13.02
2022-05-25,-16.25,-12.27,-15.16
2022-05-26,-15.48,-12.49,-11.74
2022-05-27,-14.55,-12.44,-21.9
2022-05-31,-13.86,-12.45,-19.49
2022-06-01,-13.18,-12.5,-19.55
2022-06-02,-12.27,-12.61,-22.19
2022-06-03,-11.98,-12.62,-13.05
2022-06-06,-12.08,-12.6,-21.05
2022-06-07,-11.83,-12.4,-17.13
2022-06-08,-11.74,-12.26,-19.0
2022-06-09,-12.36,-12.15,-13.85
2022-06-10,-13.1,-12.17,-4.29
2022-06-13,-14.32,-12.44,-2.21
2022-06-14,-15.9,-12.7,-3.44
2022-06-15,-16.81,-13.0,1.92
2022-06-16,-17.8,-13.26,3.63
2022-06-17,-18.6,-13.47,0.31
2022-06-21,-18.65,-13.6,-5.99
2022-06-22,-18.5,-13.81,-1.9
2022-06-23,-18.41,-13.94,3.81
2022-06-24,-17.04,-13.99,15.49
2022-06-27,-15.43,-14.14,22.44
2022-06-28,-14.67,-14.48,10.22
2022-06-29,-13.68,-14.81,21.39
2022-06-30,-13.22,-15.16,19.7
2022-07-01,-13.06,-15.52,29.55
2022-07-05,-13.09,-15.8,27.94
2022-07-06,-12.12,-16.08,36.4
2022-07-07,-11.4,-16.34,33.65
2022-07-08,-10.53,-16.56,33.61
2022-07-11,-10.38,-16.72,31.39
2022-07-12,-10.39,-16.79,28.78
2022-07-13,-10.74,-16.72,29.7
2022-07-14,-11.04,-16.66,33.73
2022-07-15,-11.04,-16.57,36.93
2022-07-18,-11.12,-16.39,31.23
2022-07-19,-10.37,-16.1,43.0
2022-07-20,-9.58,-15.89,41.49
2022-07-21,-8.49,-15.62,53.71
2022-07-22,-7.67,-15.43,57.66
2022-07-25,-6.72,-15.37,51.81
2022-07-26,-6.41,-15.34,55.16
2022-07-27,-5.73,-15.11,63.21
2022-07-28,-5.14,-14.82,73.98
2022-07-29,-4.62,-14.42,68.83
2022-08-01,-3.84,-14.1,74.38
2022-08-02,-2.89,-13.8,83.94
2022-08-03,-2.16,-13.46,91.56
2022-08-04,-1.57,-13.19,100.87
2022-08-05,-0.88,-12.92,104.4
2022-08-08,-0.33,-12.6,102.99
2022-08-09,0.17,-12.26,108.94
2022-08-10,0.62,-11.84,117.77
2022-08-11,0.84,-11.41,113.93
2022-08-12,2.09,-11.0,191.74
2022-08-15,2.95,-10.54,165.76
2022-08-16,3.63,-10.19,162.01
2022-08-17,4.21,-9.88,160.14
2022-08-18,4.82,-9.61,159.07
2022-08-19,4.24,-9.34,147.11
2022-08-22,3.96,-9.14,134.74
2022-08-23,3.67,-8.9,130.06
2022-08-24,3.43,-8.76,134.24
2022-08-25,3.37,-8.62,147.18
2022-08-26,3.21,-8.66,128.37
2022-08-29,3.15,-8.71,126.78
2022-08-30,3.06,-8.77,121.02
2022-08-31,2.8,-8.91,115.59
2022-09-01,2.42,-9.02,117.54
2022-09-02,1.83,-9.16,100.08
2022-09-06,1.36,-9.3,104.44
2022-09-07,1.15,-9.36,112.48
2022-09-08,1.2,-9.46,120.33
2022-09-09,1.39,-9.5,131.87
2022-09-12,2.03,-9.55,139.49
2022-09-13,2.06,-9.8,105.58
2022-09-14,1.72,-10.04,97.26
2022-09-15,0.88,-10.31,83.29
2022-09-16,-0.12,-10.62,84.19
2022-09-19,-1.03,-10.85,89.88
2022-09-20,-1.76,-11.07,77.96
2022-09-21,-2.55,-11.36,71.82
2022-09-22,-3.3,-11.69,62.8
2022-09-23,-4.37,-12.13,56.48
2022-09-26,-5.75,-12.5,54.41
2022-09-27,-7.24,-12.87,42.45
2022-09-28,-8.53,-13.15,36.7
2022-09-29,-9.73,-13.48,36.2
2022-09-30,-10.92,-13.91,32.46
2022-10-03,-11.37,-14.17,39.78
2022-10-04,-10.95,-14.31,43.92
2022-10-05,-10.7,-14.52,37.06
2022-10-06,-10.82,-14.79,21.57
2022-10-07,-10.94,-15.24,23.16
2022-10-10,-11.57,-15.77,27.6
2022-10-11,-12.75,-16.14,26.11
2022-10-12,-14.03,-16.53,18.78
2022-10-13,-14.35,-16.77,19.51
2022-10-14,-14.8,-17.07,16.01
2022-10-17,-14.89,-17.3,18.85
2022-10-18,-14.51,-17.44,24.3
2022-10-19,-14.06,-17.53,19.57
2022-10-20,-14.33,-17.62,12.07
2022-10-21,-14.11,-17.54,3.39
2022-10-24,-14.16,-17.38,2.53
2022-10-25,-14.3,-17.14,1.51
2022-10-26,-14.2,-16.99,5.68
2022-10-27,-13.65,-16.77,11.43
2022-10-28,-12.71,-16.4,16.29
2022-10-31,-11.79,-16.18,25.35
2022-11-01,-11.12,-16.09,25.23
2022-11-02,-11.83,-16.09,-10.06
2022-11-03,-13.05,-16.1,-18.03
2022-11-04,-14.8,-15.93,-29.19
2022-11-07,-16.45,-15.69,-27.73
2022-11-08,-17.97,-15.4,-27.78
2022-11-09,-18.44,-15.19,-24.08
2022-11-10,-17.57,-14.86,-34.41
2022-11-11,-16.8,-14.39,-53.01
2022-11-14,-16.12,-14.06,-35.58
2022-11-15,-15.39,-13.74,-37.75
2022-11-16,-14.3,-13.43,-27.0
2022-11-17,-14.14,-13.09,-26.29
2022-11-18,-13.59,-12.84,-19.35
2022-11-21,-12.9,-12.64,-2.13
2022-11-22,-12.21,-12.46,-6.54
2022-11-23,-11.56,-12.22,-12.54
2022-11-25,-10.85,-11.96,-11.87
2022-11-28,-10.62,-11.86,-8.48
2022-11-29,-11.13,-11.75,-27.58
2022-11-30,-11.04,-11.5,-23.21
2022-12-01,-10.83,-11.13,-17.91
2022-12-02,-10.72,-10.73,-22.43
