Date,rate_CSCO_5D,rate_CSCO_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-1.4300000000000002,,-0.648,
2022-01-10,-1.6420000000000001,,-0.9019999999999999,
2022-01-11,-1.4200000000000002,,-1.024,
2022-01-12,-1.1059999999999999,,-0.9099999999999999,
2022-01-13,-1.0399999999999998,,-0.9879999999999999,
2022-01-14,-1.0399999999999998,,-1.028,
2022-01-18,-1.5379999999999998,,-1.314,
2022-01-19,-2.364,,-1.8780000000000001,
2022-01-20,-3.3259999999999996,,-2.646,
2022-01-21,-4.473999999999999,,-3.4859999999999998,
2022-01-24,-5.537999999999999,,-4.272,
2022-01-25,-6.434,,-4.998,
2022-01-26,-7.353999999999999,,-5.609999999999999,
2022-01-27,-8.28,,-6.144,
2022-01-28,-8.592,,-6.01,
2022-01-31,-8.937999999999999,-4.2365,-5.634,-2.8954999999999997
2022-02-01,-9.097999999999999,-4.678,-4.926,-3.035
2022-02-02,-8.8,-4.9845,-4.018,-3.1325
2022-02-03,-8.588,-5.325,-3.436,-3.284
2022-02-04,-8.67,-5.694000000000001,-3.164,-3.4120000000000004
2022-02-07,-8.764,-6.069999999999999,-3.2479999999999998,-3.5454999999999997
2022-02-08,-8.77,-6.460000000000001,-3.3200000000000003,-3.6395000000000004
2022-02-09,-8.718,-6.809,-3.2879999999999994,-3.6985000000000006
2022-02-10,-8.819999999999999,-7.253500000000001,-3.1759999999999997,-3.8505000000000003
2022-02-11,-9.209999999999999,-7.7364999999999995,-3.504,-4.0409999999999995
2022-02-14,-9.831999999999997,-8.267999999999999,-3.8340000000000005,-4.247
2022-02-15,-10.156,-8.614500000000001,-4.0200000000000005,-4.316
2022-02-16,-10.782,-8.9135,-4.454,-4.3425
2022-02-17,-10.477999999999998,-9.0415,-4.952,-4.427
2022-02-18,-9.41,-8.9705,-5.204,-4.4704999999999995
2022-02-22,-8.407999999999998,-8.985499999999998,-5.593999999999999,-4.5775
2022-02-23,-8.354,-9.0945,-6.590000000000001,-4.714
2022-02-24,-8.2,-9.125,-7.340000000000001,-4.775
2022-02-25,-8.114,-9.0,-7.316,-4.720000000000001
2022-02-28,-8.575999999999999,-8.9665,-7.224000000000001,-4.774
2022-03-01,-9.059999999999999,-9.016,-7.164,-4.96
2022-03-02,-8.463999999999999,-8.936000000000002,-6.467999999999999,-5.099500000000001
2022-03-03,-7.986,-8.9215,-6.128,-5.3025
2022-03-04,-7.789999999999999,-8.800500000000001,-6.314,-5.439500000000001
2022-03-07,-7.797999999999999,-8.7485,-6.9719999999999995,-5.726
2022-03-08,-7.8759999999999994,-8.794,-7.531999999999999,-6.031000000000001
2022-03-09,-7.945999999999998,-8.73,-7.954000000000001,-6.258
2022-03-10,-8.382,-8.8375,-8.366,-6.572
2022-03-11,-8.962,-8.836,-8.86,-6.8605
2022-03-14,-9.377999999999998,-8.7905,-8.962,-7.0905000000000005
2022-03-15,-8.986,-8.5825,-8.55,-7.210000000000001
2022-03-16,-9.016,-8.444999999999999,-8.196000000000002,-7.302000000000001
2022-03-17,-8.537999999999998,-8.2765,-7.537999999999999,-7.343000000000001
2022-03-18,-8.12,-8.246500000000001,-6.45,-7.235000000000001
2022-03-21,-7.566,-8.3295,-5.236,-7.0985
2022-03-22,-7.38,-8.325500000000002,-4.188,-6.858499999999999
2022-03-23,-7.816,-8.310500000000001,-3.7840000000000003,-6.600500000000001
2022-03-24,-8.361999999999998,-8.317,-3.3899999999999997,-6.3555
2022-03-25,-8.687999999999999,-8.39,-3.106,-6.182499999999999
