Date,rate_TJX_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,25.7
2019-03-01,7.84,4.45,3.39,29.75
2019-04-29,13.22,7.58,5.64,32.44
2019-06-25,9.85,7.2,2.65,28.87
2019-08-21,10.72,7.24,3.48,29.86
2019-10-17,24.35,8.87,15.48,44.19
2019-12-13,24.12,13.19,10.93,38.75
2020-02-12,29.81,18.03,11.78,39.77
2020-04-09,1.58,3.89,-2.31,22.95
2020-06-08,18.37,14.68,3.69,30.11
2020-08-04,10.29,16.26,-5.97,18.58
2020-09-30,14.92,17.41,-2.49,22.73
2020-11-25,28.86,24.05,4.81,31.45
2021-01-26,32.11,29.15,2.96,29.24
2021-03-24,31.84,30.35,1.49,27.48
2021-05-20,37.77,36.67,1.1,27.02
2021-07-19,33.21,38.99,-5.78,18.8
2021-09-14,41.88,43.6,-1.72,23.65
2021-11-09,42.27,49.14,-6.87,17.5
2022-01-06,53.56,49.24,4.32,30.86
2022-03-07,20.14,37.68,-17.54,4.76
2022-05-03,27.34,36.93,-9.59,14.26
2022-06-30,15.31,27.61,-12.3,11.02
2022-08-26,29.03,34.27,-5.24,19.45
2022-10-24,41.3,27.92,13.38,41.68
2022-12-20,57.7,28.33,29.37,60.77
2023-02-17,62.07,34.71,27.36,58.37
2023-04-18,58.03,36.36,21.67,51.58
2023-06-14,62.2,41.83,20.37,50.02
2023-08-11,73.88,43.86,30.02,61.54
2023-10-09,79.38,40.69,38.69,71.9
2023-12-05,78.0,46.52,31.48,63.29
2024-02-02,96.54,55.53,41.01,74.67
2024-04-02,100.36,61.42,38.94,72.19
2024-05-29,104.21,63.18,41.03,74.69
2024-07-26,124.47,67.5,56.97,93.72
