Date,rate_GE_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,8200.0
2022-01-05,0.0,0.0,267.01
2022-01-06,0.0,0.0,284.62
2022-01-07,1.57,0.0,320.66
2022-01-10,1.9,0.0,229.92
2022-01-11,2.27,0.0,650.79
2022-01-12,2.7,0.0,1052.5
2022-01-13,3.12,0.0,378.32
2022-01-14,3.49,0.0,420.57
2022-01-18,4.02,0.0,259.63
2022-01-19,3.84,0.0,174.49
2022-01-20,3.23,0.0,117.69
2022-01-21,2.28,0.0,86.68
2022-01-24,1.32,0.0,94.76
2022-01-25,-0.64,0.0,13.43
2022-01-26,-2.57,0.0,-8.76
2022-01-27,-4.03,0.0,5.07
2022-01-28,-4.8,0.0,7.46
2022-01-31,-5.23,-2.9,28.9
2022-02-01,-3.97,-3.04,130.82
2022-02-02,-2.36,-3.13,147.72
2022-02-03,-0.81,-3.28,130.0
2022-02-04,0.48,-3.41,151.39
2022-02-07,1.51,-3.55,169.07
2022-02-08,1.75,-3.64,166.67
2022-02-09,1.97,-3.7,212.71
2022-02-10,2.05,-3.85,146.22
2022-02-11,1.62,-4.04,93.7
2022-02-14,0.97,-4.25,90.05
2022-02-15,1.31,-4.32,192.65
2022-02-16,1.75,-4.34,207.29
2022-02-17,1.7,-4.43,122.09
2022-02-18,0.87,-4.47,31.23
2022-02-22,0.38,-4.58,59.76
2022-02-23,-1.28,-4.71,50.22
2022-02-24,-3.06,-4.78,40.23
2022-02-25,-3.48,-4.72,86.57
2022-02-28,-2.91,-4.77,72.68
2022-03-01,-3.26,-4.96,34.12
2022-03-02,-2.94,-5.1,47.49
2022-03-03,-2.94,-5.3,23.55
2022-03-04,-4.36,-5.44,-16.77
2022-03-07,-6.34,-5.73,-24.01
2022-03-08,-7.15,-6.03,12.12
2022-03-09,-7.69,-6.26,26.53
2022-03-10,-7.88,-6.57,31.27
2022-03-11,-7.23,-6.86,49.95
2022-03-14,-5.8,-7.09,54.98
2022-03-15,-4.96,-7.21,42.68
2022-03-16,-4.26,-7.3,63.85
2022-03-17,-3.4,-7.34,73.12
2022-03-18,-2.73,-7.24,67.37
2022-03-21,-2.24,-7.1,46.68
2022-03-22,-1.72,-6.86,27.99
2022-03-23,-1.92,-6.6,18.97
2022-03-24,-2.21,-6.36,3.53
2022-03-25,-2.53,-6.18,-20.85
2022-03-28,-3.11,-5.97,-190.53
2022-03-29,-3.16,-5.63,-354.17
2022-03-30,-2.98,-5.41,-106.42
2022-03-31,-3.52,-5.23,-110.89
2022-04-01,-3.81,-5.01,-90.62
