Date,rate_KO_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,87.08
2019-01-31,2.02,2.79,-0.77,85.73
2019-03-01,-2.81,5.82,-8.63,71.89
2019-03-29,0.24,6.59,-6.35,75.91
2019-04-29,3.56,10.42,-6.86,75.01
2019-05-28,4.91,5.19,-0.28,86.59
2019-06-25,10.29,9.51,0.78,88.45
2019-07-24,14.29,12.59,1.7,90.07
2019-08-21,13.69,8.26,5.43,96.64
2019-09-19,13.24,11.09,2.15,90.87
2019-10-17,11.46,10.2,1.26,89.3
2019-11-14,8.84,13.63,-4.79,78.65
2019-12-13,12.24,16.06,-3.82,80.36
2020-01-14,15.16,19.31,-4.15,79.78
2020-02-12,21.62,22.17,-0.55,86.11
2020-03-12,-3.48,-7.39,3.91,93.96
2020-04-09,0.41,4.54,-4.13,79.81
2020-05-08,-5.31,9.68,-14.99,60.7
2020-06-08,2.38,20.77,-18.39,54.72
2020-07-07,-6.94,16.81,-23.75,45.28
2020-08-04,-4.03,22.24,-26.27,40.85
2020-09-01,-0.65,26.62,-27.27,39.09
2020-09-30,-0.44,22.37,-22.81,46.94
2020-10-28,-3.3,18.79,-22.09,48.2
2020-11-25,6.42,31.0,-24.58,43.82
2020-12-24,7.37,32.65,-25.28,42.59
2021-01-26,-1.0,37.29,-38.29,19.69
2021-02-24,1.86,39.48,-37.62,20.87
2021-03-24,3.46,38.31,-34.85,25.75
2021-04-22,9.18,44.93,-35.75,24.16
2021-05-20,9.44,45.12,-35.68,24.29
2021-06-18,7.5,44.74,-37.24,21.54
2021-07-19,11.28,46.9,-35.62,24.39
2021-08-16,14.14,52.69,-38.55,19.24
2021-09-14,11.51,50.65,-39.14,18.2
2021-10-12,8.79,46.96,-38.17,19.9
2021-11-09,13.12,57.28,-44.16,9.36
2021-12-08,9.99,57.14,-47.15,4.1
2022-01-06,20.38,55.71,-35.33,24.9
2022-02-04,21.05,48.73,-27.68,38.37
2022-03-07,20.85,38.56,-17.71,55.91
2022-04-04,23.43,50.04,-26.61,40.25
2022-05-03,24.12,36.37,-12.25,65.52
2022-06-01,24.62,33.73,-9.11,71.05
2022-06-30,24.29,23.28,1.01,88.86
2022-07-29,26.43,34.14,-7.71,73.51
2022-08-26,24.73,32.25,-7.52,73.85
2022-09-26,15.21,20.34,-5.13,78.05
2022-10-24,14.5,24.25,-9.75,69.92
2022-11-21,23.18,29.08,-5.9,76.7
2022-12-20,24.26,24.09,0.17,87.38
2023-01-20,18.61,28.72,-10.11,69.29
2023-02-17,18.45,31.99,-13.54,63.25
2023-03-20,19.16,27.76,-8.6,71.95
2023-04-18,24.69,33.44,-8.75,71.68
2023-05-16,23.72,31.79,-8.07,72.88
2023-06-14,18.89,39.9,-21.01,50.11
2023-07-14,18.75,43.27,-24.52,43.93
2023-08-11,19.06,42.01,-22.95,46.69
2023-09-11,15.92,42.23,-26.31,40.78
2023-10-09,4.12,36.77,-32.65,29.62
2023-11-06,12.02,37.4,-25.38,42.41
2023-12-05,15.16,43.51,-28.35,37.19
2024-01-04,17.16,46.32,-29.16,35.76
2024-02-02,18.46,54.14,-35.68,24.29
2024-03-04,16.87,59.08,-42.21,12.79
2024-04-02,17.34,60.46,-43.12,11.19
2024-04-30,20.5,55.27,-34.77,25.89
2024-05-29,20.14,62.08,-41.94,13.27
2024-06-27,24.19,68.1,-43.91,9.8
2024-07-26,30.03,66.24,-36.21,23.35
