Date,rate_EXC_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,78.69
2019-03-01,4.96,4.45,0.51,79.31
2019-04-29,8.1,7.58,0.52,79.33
2019-06-25,5.98,7.2,-1.22,77.21
2019-08-21,-1.36,7.24,-8.6,68.24
2019-10-17,-4.18,8.87,-13.05,62.82
2019-12-13,-4.67,13.19,-17.86,56.97
2020-02-12,6.43,18.03,-11.6,64.59
2020-04-09,-13.41,3.89,-17.3,57.66
2020-06-08,-7.63,14.68,-22.31,51.56
2020-08-04,-14.26,16.26,-30.52,41.58
2020-09-30,-20.64,17.41,-38.05,32.42
2020-11-25,-6.86,24.05,-30.91,41.1
2021-01-26,-5.52,29.15,-34.67,36.53
2021-03-24,-5.35,30.35,-35.7,35.28
2021-05-20,0.65,36.67,-36.02,34.89
2021-07-19,-0.25,38.99,-39.24,30.97
2021-09-14,10.54,43.6,-33.06,38.49
2021-11-09,18.45,49.14,-30.69,41.37
2022-01-06,24.08,49.24,-25.16,48.1
2022-03-07,34.15,37.68,-3.53,74.4
2022-05-03,42.7,36.93,5.77,85.71
2022-06-30,38.6,27.61,10.99,92.06
2022-08-26,36.78,34.27,2.51,81.75
2022-10-24,13.34,27.92,-14.58,60.96
2022-12-20,28.86,28.33,0.53,79.34
2023-02-17,31.82,34.71,-2.89,75.18
2023-04-18,31.22,36.36,-5.14,72.44
2023-06-14,23.06,41.83,-18.77,55.87
2023-08-11,24.22,43.86,-19.64,54.81
2023-10-09,18.81,40.69,-21.88,52.09
2023-12-05,18.21,46.52,-28.31,44.27
2024-02-02,5.8,55.53,-49.73,18.22
2024-04-02,15.46,61.42,-45.96,22.8
2024-05-29,11.28,63.18,-51.9,15.58
2024-07-26,12.98,67.5,-54.52,12.39
