Date,rate_ADI,rate_ADI_5D,rate_ADI_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.45,,,-0.02,,
2022-01-05,-1.21,,,-0.97,,
2022-01-06,-1.06,,,-1.04,,
2022-01-07,-2.33,-1.01,,-1.21,-0.648,
2022-01-10,-1.9,-1.39,,-1.27,-0.9019999999999999,
2022-01-11,-0.51,-1.402,,-0.63,-1.024,
2022-01-12,-0.46,-1.252,,-0.4,-0.9099999999999999,
2022-01-13,-2.16,-1.472,,-1.43,-0.9879999999999999,
2022-01-14,-1.21,-1.248,,-1.41,-1.028,
2022-01-18,-3.56,-1.58,,-2.7,-1.314,
2022-01-19,-5.04,-2.4859999999999998,,-3.45,-1.8780000000000001,
2022-01-20,-6.93,-3.78,,-4.24,-2.646,
2022-01-21,-6.55,-4.6579999999999995,,-5.63,-3.4859999999999998,
2022-01-24,-5.73,-5.561999999999999,,-5.34,-4.272,
2022-01-25,-8.58,-6.566,,-6.33,-4.998,
2022-01-26,-6.57,-6.872,,-6.51,-5.609999999999999,
2022-01-27,-9.18,-7.322,,-6.91,-6.144,
2022-01-28,-7.14,-7.44,,-4.96,-6.01,
2022-01-31,-4.46,-7.186,-3.7515,-3.46,-5.634,-2.8954999999999997
2022-02-01,-3.58,-6.186,-3.9305,-2.79,-4.926,-3.035
2022-02-02,-1.73,-5.218,-3.9945,-1.97,-4.018,-3.1325
2022-02-03,-5.34,-4.45,-4.2010000000000005,-4.0,-3.436,-3.284
2022-02-04,-5.86,-4.194,-4.441000000000001,-3.6,-3.164,-3.4120000000000004
2022-02-07,-5.97,-4.4959999999999996,-4.623,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-4.69,-4.718,-4.7625,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-1.88,-4.748,-4.831,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-5.5,-4.779999999999999,-5.083,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-9.79,-5.566,-5.4645,-5.24,-3.504,-4.0409999999999995
2022-02-14,-9.75,-6.322,-5.8915,-5.53,-3.8340000000000005,-4.247
2022-02-15,-5.16,-6.4159999999999995,-5.971500000000001,-4.08,-4.0200000000000005,-4.316
2022-02-16,-1.58,-6.356,-5.7985,-3.98,-4.454,-4.3425
2022-02-17,-6.08,-6.4719999999999995,-5.755999999999999,-5.93,-4.952,-4.427
2022-02-18,-6.12,-5.738,-5.7345,-6.5,-5.204,-4.4704999999999995
2022-02-22,-5.82,-4.952,-5.739,-7.48,-5.593999999999999,-4.5775
2022-02-23,-8.32,-5.5840000000000005,-5.726,-9.06,-6.590000000000001,-4.714
2022-02-24,-6.44,-6.556,-5.7195,-7.73,-7.340000000000001,-4.775
2022-02-25,-5.12,-6.364,-5.516500000000001,-5.81,-7.316,-4.720000000000001
2022-02-28,-6.16,-6.372,-5.4675,-6.04,-7.224000000000001,-4.774
2022-03-01,-7.84,-6.776000000000001,-5.6365,-7.18,-7.164,-4.96
2022-03-02,-6.23,-6.358,-5.769,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-6.54,-6.378,-6.0095,-6.03,-6.128,-5.3025
2022-03-04,-7.9,-6.934,-6.1375,-6.74,-6.314,-5.439500000000001
2022-03-07,-13.81,-8.464,-6.534999999999999,-9.33,-6.9719999999999995,-5.726
2022-03-08,-12.53,-9.402000000000001,-6.8629999999999995,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-9.62,-10.08,-7.1095,-7.69,-7.954000000000001,-6.258
2022-03-10,-11.36,-11.044,-7.583500000000001,-8.09,-8.366,-6.572
2022-03-11,-13.05,-12.074000000000002,-7.961,-9.21,-8.86,-6.8605
2022-03-14,-14.18,-12.148,-8.1805,-9.84,-8.962,-7.0905000000000005
2022-03-15,-11.12,-11.866,-8.249,-7.92,-8.55,-7.210000000000001
2022-03-16,-6.69,-11.28,-8.325500000000002,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-5.87,-10.181999999999999,-8.540000000000001,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-3.86,-8.344000000000001,-8.428999999999998,-3.77,-6.45,-7.235000000000001
2022-03-21,-3.41,-6.1899999999999995,-8.2935,-3.77,-5.236,-7.0985
2022-03-22,-3.09,-4.584,-8.157,-2.68,-4.188,-6.858499999999999
2022-03-23,-6.38,-4.522,-8.059999999999999,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-2.98,-3.944,-7.8870000000000005,-2.83,-3.3899999999999997,-6.3555
2022-03-25,-2.59,-3.69,-7.7605,-2.35,-3.106,-6.182499999999999
2022-03-28,-1.64,-3.336,-7.5344999999999995,-1.69,-2.69,-5.965000000000001
2022-03-29,0.06,-2.7060000000000004,-7.1395,-0.48,-2.25,-5.63
2022-03-30,-2.1,-1.85,-6.933,-1.09,-1.688,-5.4055
2022-03-31,-2.85,-1.8239999999999998,-6.748500000000002,-2.57,-1.636,-5.2325
2022-04-01,-2.67,-1.8399999999999999,-6.486999999999999,-2.24,-1.614,-5.0075
2022-04-04,-3.16,-2.144,-5.9544999999999995,-1.45,-1.566,-4.6135
2022-04-05,-5.75,-3.306,-5.6155,-2.62,-1.9939999999999998,-4.2455
2022-04-06,-5.58,-4.002,-5.4135,-3.57,-2.4899999999999998,-4.0395
2022-04-07,-5.02,-4.436,-5.096500000000001,-3.1,-2.596,-3.79
2022-04-08,-6.46,-5.194,-4.767,-3.33,-2.814,-3.496
2022-04-11,-8.67,-6.296,-4.4915,-4.94,-3.5120000000000005,-3.2510000000000003
2022-04-12,-8.31,-6.808,-4.351000000000001,-5.28,-4.044,-3.119
2022-04-13,-6.79,-7.05,-4.356,-4.23,-4.176,-3.0345
2022-04-14,-7.73,-7.5920000000000005,-4.449,-5.37,-4.630000000000001,-3.063
2022-04-18,-5.5,-7.4,-4.531000000000001,-5.35,-5.034000000000001,-3.1420000000000003
2022-04-19,-4.34,-6.534000000000001,-4.5775,-3.88,-4.822000000000001,-3.1475
2022-04-20,-4.89,-5.85,-4.6675,-3.95,-4.556,-3.211
2022-04-21,-6.45,-5.782,-4.670999999999999,-5.34,-4.7780000000000005,-3.283
2022-04-22,-8.48,-5.932,-4.946,-7.86,-5.276,-3.5345
2022-04-25,-6.33,-6.098000000000001,-5.133,-7.37,-5.680000000000001,-3.7855000000000003
2022-04-26,-9.9,-7.209999999999999,-5.546,-9.95,-6.894,-4.1985
2022-04-27,-10.54,-8.34,-6.0760000000000005,-9.73,-8.05,-4.661
2022-04-28,-5.44,-8.138000000000002,-6.243,-7.52,-8.485999999999999,-4.9825
2022-04-29,-8.99,-8.24,-6.55,-10.83,-9.08,-5.3955
2022-05-02,-6.59,-8.292,-6.746,-9.99,-9.604,-5.7829999999999995
2022-05-03,-6.17,-7.545999999999999,-6.896499999999999,-9.62,-9.538,-6.1915
2022-05-04,-2.75,-5.9879999999999995,-6.746499999999999,-6.99,-8.99,-6.410000000000001
2022-05-05,-6.53,-6.2059999999999995,-6.794,-10.13,-9.512,-6.7379999999999995
2022-05-06,-7.76,-5.96,-6.931,-10.67,-9.48,-7.1165
2022-05-09,-10.01,-6.644,-7.108500000000001,-13.43,-10.168,-7.6215
2022-05-10,-8.27,-7.063999999999998,-7.088499999999999,-13.22,-10.888,-8.0355
2022-05-11,-10.16,-8.546,-7.181,-14.58,-12.406,-8.500499999999999
2022-05-12,-9.63,-9.166,-7.323,-14.64,-13.308000000000002,-9.021
2022-05-13,-6.22,-8.858,-7.2475000000000005,-12.68,-13.709999999999999,-9.3865
2022-05-16,-6.98,-8.251999999999999,-7.3215,-12.99,-13.622,-9.7685
2022-05-17,-3.22,-7.242,-7.2655,-11.29,-13.236,-10.139
2022-05-18,-5.52,-6.314,-7.297,-14.71,-13.262,-10.677
2022-05-19,-4.93,-5.374,-7.221000000000001,-15.27,-13.388,-11.1735
2022-05-20,-4.04,-4.938,-6.999,-15.25,-13.901999999999997,-11.543000000000001
2022-05-23,-4.57,-4.4559999999999995,-6.911,-13.68,-14.040000000000001,-11.8585
2022-05-24,-4.39,-4.6899999999999995,-6.6355,-14.29,-14.64,-12.075500000000002
2022-05-25,-4.12,-4.41,-6.314500000000001,-13.59,-14.416,-12.2685
2022-05-26,-3.13,-4.05,-6.199,-11.92,-13.745999999999999,-12.4885
2022-05-27,-1.05,-3.4520000000000004,-5.802,-9.77,-12.65,-12.435500000000001
2022-05-31,-0.55,-2.648,-5.5,-10.26,-11.966,-12.449
2022-06-01,-2.6,-2.29,-5.3214999999999995,-10.69,-11.245999999999999,-12.502500000000001
2022-06-02,-0.02,-1.47,-5.185,-9.06,-10.34,-12.606
2022-06-03,-2.35,-1.314,-4.976,-10.5,-10.056000000000001,-12.624500000000001
2022-06-06,-2.33,-1.57,-4.7045,-10.26,-10.154,-12.604
2022-06-07,-1.35,-1.73,-4.2715,-9.4,-9.982,-12.4025
2022-06-08,-2.48,-1.7060000000000002,-3.982,-10.37,-9.918000000000001,-12.26
2022-06-09,-4.47,-2.596,-3.6975000000000002,-12.42,-10.59,-12.152
2022-06-10,-7.21,-3.568,-3.5765000000000002,-14.93,-11.475999999999999,-12.1665
2022-06-13,-12.57,-5.6160000000000005,-3.8939999999999997,-18.12,-13.048000000000002,-12.438500000000001
2022-06-14,-12.92,-7.93,-4.191000000000001,-18.32,-14.831999999999999,-12.705
2022-06-15,-11.21,-9.676,-4.5905,-17.18,-16.194,-12.999500000000001
2022-06-16,-15.09,-11.8,-5.069,-19.83,-17.676,-13.255500000000001
2022-06-17,-14.4,-13.238,-5.5425,-19.62,-18.614,-13.472999999999999
2022-06-21,-12.23,-13.169999999999998,-5.952,-17.71,-18.532,-13.596
2022-06-22,-12.64,-13.114,-6.355500000000001,-17.88,-18.444,-13.806000000000001
2022-06-23,-13.87,-13.646,-6.8295,-17.04,-18.416,-13.9435
2022-06-24,-11.44,-12.916,-7.1955,-14.53,-17.356,-13.9905
2022-06-27,-10.92,-12.22,-7.585000000000001,-14.84,-16.4,-14.136499999999998
2022-06-28,-12.14,-12.202000000000002,-8.1395,-16.63,-16.184,-14.479499999999998
2022-06-29,-12.86,-12.246,-8.755,-16.92,-15.992,-14.8125
2022-06-30,-13.55,-12.181999999999999,-9.302499999999998,-17.56,-16.096,-15.156
2022-07-01,-14.99,-12.892000000000001,-10.051,-16.28,-16.446,-15.517
2022-07-05,-14.9,-13.687999999999999,-10.678500000000001,-16.14,-16.706,-15.799000000000001
2022-07-06,-13.96,-14.052000000000001,-11.26,-15.85,-16.55,-16.0785
2022-07-07,-11.69,-13.818000000000001,-11.777000000000001,-14.65,-16.096,-16.341
2022-07-08,-10.88,-13.284,-12.197,-14.7,-15.524000000000001,-16.5575
2022-07-11,-12.28,-12.742,-12.5875,-15.64,-15.395999999999997,-16.7185
2022-07-12,-11.99,-12.16,-12.826500000000001,-16.4,-15.447999999999999,-16.792
2022-07-13,-11.32,-11.632000000000001,-12.764000000000001,-16.77,-15.632,-16.7245
2022-07-14,-8.89,-11.072,-12.5625,-16.99,-16.1,-16.658
2022-07-15,-6.14,-10.124,-12.309000000000001,-15.46,-16.252000000000002,-16.572
2022-07-18,-7.74,-9.216,-11.9415,-16.14,-16.352,-16.3875
2022-07-19,-4.08,-7.634,-11.425500000000001,-13.93,-15.857999999999999,-16.103
2022-07-20,-3.1,-5.99,-10.969,-13.4,-15.184000000000001,-15.8875
2022-07-21,-1.88,-4.588,-10.431000000000001,-12.55,-14.296000000000001,-15.620999999999999
2022-07-22,-3.01,-3.9620000000000006,-9.888,-13.32,-13.868,-15.434999999999999
2022-07-25,-3.14,-3.042,-9.473,-13.24,-13.288,-15.370499999999998
2022-07-26,-3.89,-3.004,-9.1215,-14.25,-13.352,-15.341
2022-07-27,-0.02,-2.388,-8.5155,-12.07,-13.086000000000002,-15.113
2022-07-28,0.77,-1.858,-7.833999999999999,-10.99,-12.774,-14.8165
2022-07-29,2.12,-0.8320000000000001,-7.050500000000001,-9.72,-12.053999999999998,-14.4245
2022-08-01,1.78,0.152,-6.212,-9.72,-11.350000000000001,-14.0965
2022-08-02,1.48,1.2260000000000002,-5.393000000000001,-10.15,-10.53,-13.797
2022-08-03,3.92,2.0140000000000002,-4.4990000000000006,-9.12,-9.94,-13.460500000000001
2022-08-04,4.19,2.698,-3.7049999999999996,-9.18,-9.578,-13.187000000000001
2022-08-05,4.31,3.136,-2.9455,-9.31,-9.496,-12.9175
2022-08-08,3.7,3.5200000000000005,-2.1465,-9.37,-9.425999999999998,-12.604000000000001
2022-08-09,1.49,3.522,-1.4725000000000001,-9.62,-9.319999999999999,-12.265
2022-08-10,3.39,3.4159999999999995,-0.7370000000000001,-8.33,-9.162,-11.843
2022-08-11,3.18,3.2139999999999995,-0.13349999999999998,-8.33,-8.992,-11.41
2022-08-12,5.08,3.368,0.42750000000000005,-7.26,-8.581999999999999,-11.0
2022-08-15,5.33,3.694,1.081,-6.98,-8.104000000000001,-10.542
2022-08-16,5.16,4.428,1.543,-6.87,-7.554,-10.189
2022-08-17,3.36,4.422,1.866,-7.3,-7.348000000000001,-9.884
2022-08-18,3.36,4.458,2.1279999999999997,-7.11,-7.104000000000001,-9.611999999999998
2022-08-19,2.93,4.0280000000000005,2.425,-7.96,-7.244,-9.344
2022-08-22,2.09,3.38,2.6865,-9.24,-7.696,-9.144
2022-08-23,2.3,2.808,2.996,-9.38,-8.198,-8.9005
2022-08-24,2.02,2.54,3.098,-9.2,-8.578,-8.757
2022-08-25,3.26,2.5200000000000005,3.2225,-8.33,-8.822,-8.623999999999999
2022-08-26,0.23,1.9799999999999998,3.128,-10.4,-9.31,-8.658
2022-08-29,-1.03,1.3559999999999999,2.9875,-10.79,-9.620000000000001,-8.7115
2022-08-30,-2.03,0.49000000000000005,2.8120000000000003,-11.42,-10.028,-8.774999999999999
2022-08-31,-2.52,-0.41800000000000004,2.4899999999999998,-11.87,-10.562,-8.9125
2022-09-01,-2.79,-1.6280000000000001,2.141,-11.4,-11.175999999999998,-9.0235
2022-09-02,-3.6,-2.394,1.7454999999999998,-11.98,-11.492,-9.157
2022-09-06,-3.76,-2.9400000000000004,1.3725,-12.17,-11.768,-9.297
2022-09-07,-2.47,-3.028,1.1745,-10.9,-11.664,-9.361
2022-09-08,-1.64,-2.852,0.923,-10.38,-11.366,-9.4635
2022-09-09,-0.44,-2.382,0.742,-9.13,-10.912,-9.503499999999999
2022-09-12,0.41,-1.5799999999999998,0.5085,-8.23,-10.162,-9.552
2022-09-13,-4.12,-1.6520000000000004,0.03599999999999994,-12.01,-10.129999999999999,-9.803500000000001
2022-09-14,-2.89,-1.736,-0.3665000000000001,-11.7,-10.290000000000001,-10.045
2022-09-15,-4.35,-2.278,-0.752,-12.63,-10.74,-10.311499999999999
2022-09-16,-3.47,-2.884,-1.0935000000000001,-13.28,-11.57,-10.620000000000001
2022-09-19,-3.28,-3.622,-1.4040000000000001,-12.65,-12.453999999999999,-10.8545
2022-09-20,-3.18,-3.4339999999999997,-1.6675,-13.61,-12.774,-11.073
2022-09-21,-4.02,-3.6599999999999993,-1.9835,-15.08,-13.45,-11.358
2022-09-22,-5.97,-3.9839999999999995,-2.383,-15.78,-14.080000000000002,-11.687000000000001
2022-09-23,-8.12,-4.914,-2.952,-17.14,-14.851999999999999,-12.127500000000001
2022-09-26,-8.82,-6.022,-3.4045,-17.92,-15.906,-12.503499999999999
2022-09-27,-8.19,-7.023999999999999,-3.7625,-18.14,-16.812,-12.871
2022-09-28,-6.42,-7.504,-3.982,-16.92,-17.18,-13.146
2022-09-29,-8.07,-7.924000000000001,-4.2595,-18.62,-17.748,-13.483500000000001
2022-09-30,-9.76,-8.251999999999999,-4.608,-19.84,-18.288,-13.905499999999998
2022-10-03,-5.92,-7.672,-4.724,-17.32,-18.168,-14.172500000000003
2022-10-04,-2.3,-6.494,-4.651,-14.89,-17.518,-14.3085
2022-10-05,-1.64,-5.538,-4.6095,-15.03,-17.14,-14.515
2022-10-06,-2.23,-4.37,-4.639,-15.9,-16.595999999999997,-14.791000000000002
2022-10-07,-6.06,-3.63,-4.92,-18.18,-16.264,-15.243500000000001
2022-10-10,-8.6,-4.1659999999999995,-5.3705,-18.77,-16.554,-15.770500000000002
2022-10-11,-9.94,-5.694,-5.661499999999999,-19.3,-17.436,-16.135
2022-10-12,-10.08,-7.382,-6.020999999999999,-19.54,-18.338,-16.526999999999997
2022-10-13,-7.42,-8.42,-6.1745,-17.48,-18.654,-16.7695
2022-10-14,-11.27,-9.462,-6.5645,-19.3,-18.878,-17.070500000000003
2022-10-17,-9.74,-9.690000000000001,-6.8875,-17.29,-18.582,-17.3025
2022-10-18,-8.47,-9.396,-7.151999999999999,-16.34,-17.99,-17.439
2022-10-19,-8.32,-9.044,-7.367,-16.91,-17.464,-17.530499999999996
2022-10-20,-7.84,-9.128,-7.460500000000001,-17.57,-17.482,-17.619999999999997
