Date,rate_DUK,rate_DUK_5D,rate_DUK_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.04,,,-0.02,,
2022-01-05,0.07,,,-0.97,,
2022-01-06,-0.01,,,-1.04,,
2022-01-07,0.49,0.10200000000000001,,-1.21,-0.648,
2022-01-10,0.52,0.20600000000000002,,-1.27,-0.9019999999999999,
2022-01-11,-0.13,0.188,,-0.63,-1.024,
2022-01-12,0.06,0.186,,-0.4,-0.9099999999999999,
2022-01-13,0.32,0.252,,-1.43,-0.9879999999999999,
2022-01-14,0.27,0.20800000000000002,,-1.41,-1.028,
2022-01-18,-0.78,-0.052000000000000005,,-2.7,-1.314,
2022-01-19,-0.64,-0.154,,-3.45,-1.8780000000000001,
2022-01-20,-0.57,-0.27999999999999997,,-4.24,-2.646,
2022-01-21,-0.25,-0.39399999999999996,,-5.63,-3.4859999999999998,
2022-01-24,-0.44,-0.5359999999999999,,-5.34,-4.272,
2022-01-25,-0.63,-0.506,,-6.33,-4.998,
2022-01-26,-0.9,-0.558,,-6.51,-5.609999999999999,
2022-01-27,0.05,-0.434,,-6.91,-6.144,
2022-01-28,1.12,-0.16,,-4.96,-6.01,
2022-01-31,1.36,0.20000000000000004,-0.0064999999999999945,-3.46,-5.634,-2.8954999999999997
2022-02-01,0.19,0.36400000000000005,0.0030000000000000053,-2.79,-4.926,-3.035
2022-02-02,1.28,0.8,0.069,-1.97,-4.018,-3.1325
2022-02-03,1.58,1.106,0.14450000000000002,-4.0,-3.436,-3.284
2022-02-04,0.75,1.032,0.18250000000000002,-3.6,-3.164,-3.4120000000000004
2022-02-07,0.81,0.922,0.1985,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,0.87,1.058,0.21600000000000003,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,1.12,1.0260000000000002,0.2785,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-2.98,0.11400000000000006,0.12650000000000003,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-3.01,-0.6379999999999999,-0.039999999999999966,-5.24,-3.504,-4.0409999999999995
2022-02-14,-2.84,-1.3679999999999999,-0.19549999999999995,-5.53,-3.8340000000000005,-4.247
2022-02-15,-3.43,-2.228,-0.32799999999999996,-4.08,-4.0200000000000005,-4.316
2022-02-16,-3.24,-3.1,-0.458,-3.98,-4.454,-4.3425
2022-02-17,-3.94,-3.2920000000000003,-0.6265,-5.93,-4.952,-4.427
