Date,rate_EL_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,69.92
2019-03-01,18.57,6.13,12.44,77.66
2019-04-29,29.47,10.74,18.73,81.57
2019-06-25,35.69,9.75,25.94,86.05
2019-08-21,42.63,9.45,33.18,90.55
2019-10-17,31.05,11.38,19.67,82.15
2019-12-13,40.14,17.31,22.83,84.12
2020-02-12,46.19,23.26,22.93,84.18
2020-04-09,11.71,5.35,6.36,73.88
2020-06-08,37.46,21.76,15.7,79.68
2020-08-04,32.38,23.27,9.11,75.59
2020-09-30,39.29,22.35,16.94,80.45
2020-11-25,55.7,30.73,24.97,85.45
2021-01-26,52.66,37.01,15.65,79.65
2021-03-24,71.99,38.04,33.95,91.03
2021-05-20,77.14,45.0,32.14,89.9
2021-07-19,85.04,46.79,38.25,93.7
2021-09-14,87.44,49.47,37.97,93.53
2021-11-09,94.5,55.69,38.81,94.05
2022-01-06,96.83,54.19,42.64,96.43
2022-03-07,44.78,37.12,7.66,74.68
2022-05-03,33.6,34.96,-1.36,69.08
2022-06-30,38.01,22.0,16.01,79.88
2022-08-26,42.62,30.79,11.83,77.28
2022-10-24,8.47,22.72,-14.25,61.06
2022-12-20,30.32,22.59,7.73,74.73
2023-02-17,37.53,30.41,7.12,74.35
2023-04-18,38.94,31.87,7.07,74.32
2023-06-14,3.71,38.27,-34.56,48.44
2023-08-11,-8.28,40.92,-49.2,39.33
2023-10-09,-20.62,35.51,-56.13,35.03
2023-12-05,-25.24,42.24,-67.48,27.97
2024-02-02,-23.69,52.79,-76.48,22.37
2024-04-02,-12.84,59.09,-71.93,25.2
2024-05-29,-30.34,60.75,-91.09,13.29
2024-07-26,-41.61,64.89,-106.5,3.71
