Date,rate_KDP_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,3850.0
2022-01-05,0.0,0.0,144.33
2022-01-06,0.0,0.0,194.23
2022-01-07,0.59,0.0,166.12
2022-01-10,0.76,0.0,164.57
2022-01-11,0.98,0.0,396.83
2022-01-12,1.34,0.0,660.0
2022-01-13,1.77,0.0,318.88
2022-01-14,2.57,0.0,441.13
2022-01-18,2.91,0.0,193.33
2022-01-19,3.14,0.0,186.67
2022-01-20,3.18,0.0,157.55
2022-01-21,2.93,0.0,133.21
2022-01-24,2.48,0.0,147.94
2022-01-25,2.44,0.0,137.12
2022-01-26,2.0,0.0,111.83
2022-01-27,1.75,0.0,117.66
2022-01-28,1.64,0.0,126.41
2022-01-31,1.54,-2.9,158.96
2022-02-01,1.56,-3.04,187.46
2022-02-02,2.2,-3.13,302.03
2022-02-03,2.74,-3.28,198.25
2022-02-04,3.02,-3.41,174.72
2022-02-07,3.31,-3.55,189.95
2022-02-08,3.66,-3.64,233.65
2022-02-09,3.62,-3.7,308.29
2022-02-10,3.38,-3.85,179.94
2022-02-11,3.27,-4.04,140.27
2022-02-14,3.03,-4.25,141.41
2022-02-15,2.55,-4.32,145.1
2022-02-16,2.16,-4.34,145.73
2022-02-17,1.98,-4.43,130.69
2022-02-18,2.21,-4.47,150.62
2022-02-22,2.46,-4.58,147.06
2022-02-23,2.53,-4.71,124.06
2022-02-24,1.86,-4.78,80.47
2022-02-25,2.06,-4.72,148.36
2022-02-28,2.16,-4.77,162.58
2022-03-01,1.92,-4.96,132.87
2022-03-02,2.19,-5.1,162.9
2022-03-03,3.19,-5.3,158.21
2022-03-04,3.47,-5.44,162.46
2022-03-07,3.18,-5.73,124.76
2022-03-08,2.68,-6.03,98.7
2022-03-09,2.17,-6.26,112.61
2022-03-10,1.44,-6.57,98.02
2022-03-11,0.36,-6.86,87.19
2022-03-14,-0.22,-7.09,94.11
2022-03-15,-0.15,-7.21,102.78
2022-03-16,-0.23,-7.3,108.95
2022-03-17,0.09,-7.34,130.0
2022-03-18,0.61,-7.24,138.73
2022-03-21,1.01,-7.1,136.6
2022-03-22,1.27,-6.86,156.72
2022-03-23,0.95,-6.6,73.33
2022-03-24,0.66,-6.36,100.0
2022-03-25,0.54,-6.18,136.17
2022-03-28,0.66,-5.97,216.57
2022-03-29,0.91,-5.63,672.92
2022-03-30,1.59,-5.41,317.43
2022-03-31,1.93,-5.23,166.15
2022-04-01,2.26,-5.01,212.95
2022-04-04,2.44,-4.61,296.55
2022-04-05,1.72,-4.25,66.79
2022-04-06,1.53,-4.04,140.62
2022-04-07,1.37,-3.79,128.06
2022-04-08,1.05,-3.5,129.13
2022-04-11,0.65,-3.25,116.4
2022-04-12,1.0,-3.12,117.42
2022-04-13,0.91,-3.03,123.64
2022-04-14,0.72,-3.06,97.77
2022-04-18,0.25,-3.14,74.95
2022-04-19,0.24,-3.15,119.07
2022-04-20,0.45,-3.21,149.37
2022-04-21,0.37,-3.28,111.42
2022-04-22,0.24,-3.53,90.46
2022-04-25,0.52,-3.79,100.68
2022-04-26,0.25,-4.2,93.77
2022-04-27,0.17,-4.66,115.93
2022-04-28,0.42,-4.98,125.13
2022-04-29,0.64,-5.4,102.95
2022-05-02,0.24,-5.78,80.48
2022-05-03,0.32,-6.19,97.82
2022-05-04,-0.02,-6.41,98.14
2022-05-05,-0.5,-6.74,94.57
2022-05-06,-0.73,-7.12,92.31
2022-05-09,-0.41,-7.62,97.47
2022-05-10,-0.51,-8.04,94.63
2022-05-11,-0.4,-8.5,102.74
2022-05-12,-0.51,-9.02,92.55
2022-05-13,-0.38,-9.39,98.74
2022-05-16,-0.47,-9.77,94.07
2022-05-17,-1.02,-10.14,69.35
2022-05-18,-2.56,-10.68,50.1
2022-05-19,-3.91,-11.17,48.66
2022-05-20,-5.32,-11.54,52.92
2022-05-23,-6.4,-11.86,54.97
2022-05-24,-6.76,-12.08,63.05
2022-05-25,-6.32,-12.27,62.1
2022-05-26,-5.68,-12.49,61.07
2022-05-27,-5.36,-12.44,42.99
2022-05-31,-5.48,-12.45,34.21
2022-06-01,-5.79,-12.5,36.2
2022-06-02,-5.76,-12.61,44.48
2022-06-03,-6.05,-12.62,42.29
2022-06-06,-5.2,-12.6,87.04
2022-06-07,-4.27,-12.4,77.55
2022-06-08,-3.53,-12.26,69.91
2022-06-09,-3.32,-12.15,67.95
2022-06-10,-3.02,-12.17,69.39
2022-06-13,-4.09,-12.44,63.08
2022-06-14,-5.17,-12.7,59.12
2022-06-15,-5.8,-13.0,63.45
2022-06-16,-6.48,-13.26,62.78
2022-06-17,-7.09,-13.47,61.11
2022-06-21,-6.96,-13.6,65.89
2022-06-22,-6.71,-13.81,65.32
2022-06-23,-6.51,-13.94,68.78
2022-06-24,-5.81,-13.99,73.57
2022-06-27,-4.98,-14.14,76.48
2022-06-28,-4.67,-14.48,72.88
2022-06-29,-4.24,-14.81,76.0
2022-06-30,-4.15,-15.16,72.44
2022-07-01,-3.97,-15.52,82.0
2022-07-05,-3.75,-15.8,84.94
2022-07-06,-3.5,-16.08,79.43
2022-07-07,-3.24,-16.34,81.43
2022-07-08,-2.79,-16.56,82.38
2022-07-11,-2.75,-16.72,82.42
2022-07-12,-2.73,-16.79,85.85
2022-07-13,-2.47,-16.72,88.25
2022-07-14,-2.34,-16.66,87.76
2022-07-15,-2.11,-16.57,90.69
2022-07-18,-2.1,-16.39,83.27
2022-07-19,-2.01,-16.1,86.79
2022-07-20,-2.07,-15.89,82.91
2022-07-21,-2.13,-15.62,81.12
2022-07-22,-2.23,-15.43,85.21
2022-07-25,-1.91,-15.37,91.84
2022-07-26,-1.59,-15.34,98.25
2022-07-27,-1.16,-15.11,98.84
2022-07-28,0.03,-14.82,132.67
2022-07-29,1.27,-14.42,143.52
2022-08-01,2.4,-14.1,146.91
2022-08-02,3.22,-13.8,138.13
2022-08-03,4.24,-13.46,154.17
2022-08-04,4.34,-13.19,144.66
2022-08-05,4.33,-12.92,144.9
2022-08-08,4.28,-12.6,145.89
2022-08-09,4.49,-12.26,151.04
2022-08-10,4.7,-11.84,172.03
2022-08-11,4.83,-11.41,157.02
2022-08-12,5.04,-11.0,172.45
2022-08-15,5.48,-10.54,192.55
2022-08-16,5.81,-10.19,195.78
2022-08-17,5.92,-9.88,189.73
2022-08-18,6.28,-9.61,191.84
2022-08-19,6.52,-9.34,181.28
2022-08-22,6.43,-9.14,165.26
2022-08-23,6.32,-8.9,164.39
2022-08-24,6.26,-8.76,167.72
2022-08-25,6.23,-8.62,176.35
2022-08-26,5.87,-8.66,144.9
2022-08-29,5.65,-8.71,145.97
2022-08-30,5.3,-8.77,137.57
2022-08-31,4.81,-8.91,131.76
2022-09-01,4.34,-9.02,135.35
2022-09-02,4.05,-9.16,126.54
2022-09-06,3.6,-9.3,122.51
2022-09-07,3.63,-9.36,140.83
2022-09-08,3.83,-9.46,145.66
2022-09-09,4.08,-9.5,158.16
2022-09-12,4.67,-9.55,174.12
2022-09-13,4.66,-9.8,122.31
2022-09-14,4.33,-10.04,124.02
2022-09-15,3.68,-10.31,111.8
