Date,rate_CL_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,78.77
2019-01-31,2.01,2.79,-0.78,77.45
2019-03-01,2.34,5.82,-3.48,72.87
2019-03-29,6.17,6.59,-0.42,78.06
2019-04-29,10.36,10.42,-0.06,78.67
2019-05-28,8.11,5.19,2.92,83.72
2019-06-25,13.48,9.51,3.97,85.5
2019-07-24,9.22,12.59,-3.37,73.06
2019-08-21,12.29,8.26,4.03,85.6
2019-09-19,8.54,11.09,-2.55,74.45
2019-10-17,3.97,10.2,-6.23,68.21
2019-11-14,1.76,13.63,-11.87,58.66
2019-12-13,4.79,16.06,-11.27,59.67
2020-01-14,7.08,19.31,-12.23,58.05
2020-02-12,15.33,22.17,-6.84,67.18
2020-03-12,-3.01,-7.39,4.38,86.19
2020-04-09,5.98,4.54,1.44,81.21
2020-05-08,5.05,9.68,-4.63,70.93
2020-06-08,11.06,20.77,-9.71,62.32
2020-07-07,11.52,16.81,-5.29,69.81
2020-08-04,15.35,22.24,-6.89,67.1
2020-09-01,16.3,26.62,-10.32,61.28
2020-09-30,15.68,22.37,-6.69,67.43
2020-10-28,14.83,18.79,-3.96,72.06
2020-11-25,26.11,31.0,-4.89,70.48
2020-12-24,26.04,32.65,-6.61,67.57
2021-01-26,16.35,37.29,-20.94,43.29
2021-02-24,12.96,39.48,-26.52,33.84
2021-03-24,14.41,38.31,-23.9,38.28
2021-04-22,18.92,44.93,-26.01,34.7
2021-05-20,23.02,45.12,-22.1,41.32
2021-06-18,18.19,44.74,-26.55,33.79
2021-07-19,22.15,46.9,-24.75,36.83
2021-08-16,15.6,52.69,-37.09,15.93
2021-09-14,13.07,50.65,-37.58,15.1
2021-10-12,10.69,46.96,-36.27,17.32
2021-11-09,13.98,57.28,-43.3,5.4
2021-12-08,13.34,57.14,-43.8,4.56
2022-01-06,22.99,55.71,-32.72,23.33
2022-02-04,17.6,48.73,-31.13,26.03
2022-03-07,11.04,38.56,-27.52,32.14
2022-04-04,10.78,50.04,-39.26,12.25
2022-05-03,7.6,36.37,-28.77,30.02
2022-06-01,12.74,33.73,-20.99,43.21
2022-06-30,15.48,23.28,-7.8,65.55
2022-07-29,13.18,34.14,-20.96,43.26
2022-08-26,14.52,32.25,-17.73,48.73
2022-09-26,8.99,20.34,-11.35,59.54
2022-10-24,4.69,24.25,-19.56,45.63
2022-11-21,11.69,29.08,-17.39,49.31
2022-12-20,12.64,24.09,-11.45,59.37
2023-01-20,9.2,28.72,-19.52,45.7
2023-02-17,7.78,31.99,-24.21,37.75
2023-03-20,5.64,27.76,-22.12,41.29
2023-04-18,9.08,33.44,-24.36,37.5
2023-05-16,16.42,31.79,-15.37,52.73
2023-06-14,8.62,39.9,-31.28,25.77
2023-07-14,9.97,43.27,-33.3,22.35
2023-08-11,10.5,42.01,-31.51,25.38
2023-09-11,7.92,42.23,-34.31,20.64
2023-10-09,1.18,36.77,-35.59,18.47
2023-11-06,9.65,37.4,-27.75,31.75
2023-12-05,13.08,43.51,-30.43,27.21
2024-01-04,16.76,46.32,-29.56,28.69
2024-02-02,22.72,54.14,-31.42,25.53
2024-03-04,25.64,59.08,-33.44,22.11
2024-04-02,28.54,60.46,-31.92,24.69
2024-04-30,32.67,55.27,-22.6,40.48
2024-05-29,31.4,62.08,-30.68,26.79
2024-06-27,40.9,68.1,-27.2,32.68
2024-07-26,42.24,66.24,-24.0,38.11
