Date,rate_DHR_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,4.07
2019-01-31,4.06,2.79,1.27,5.55
2019-03-01,18.14,5.82,12.32,18.37
2019-03-29,22.13,6.59,15.54,22.11
2019-04-29,20.87,10.42,10.45,16.2
2019-05-28,19.18,5.19,13.99,20.31
2019-06-25,29.47,9.51,19.96,27.24
2019-07-24,29.11,12.59,16.52,23.25
2019-08-21,25.22,8.26,16.96,23.76
2019-09-19,29.27,11.09,18.18,25.18
2019-10-17,21.65,10.2,11.45,17.37
2019-11-14,19.76,13.63,6.13,11.19
2019-12-13,29.88,16.06,13.82,20.12
2020-01-14,40.18,19.31,20.87,28.3
2020-02-12,41.35,22.17,19.18,26.34
2020-03-12,10.9,-7.39,18.29,25.3
2020-04-09,24.83,4.54,20.29,27.63
2020-05-08,37.39,9.68,27.71,36.24
2020-06-08,44.26,20.77,23.49,31.34
2020-07-07,51.86,16.81,35.05,44.76
2020-08-04,70.54,22.24,48.3,60.14
2020-09-01,71.12,26.62,44.5,55.73
2020-09-30,76.8,22.37,54.43,67.25
2020-10-28,88.64,18.79,69.85,85.15
2020-11-25,75.04,31.0,44.04,55.19
2020-12-24,76.98,32.65,44.33,55.53
2021-01-26,85.35,37.29,48.06,59.86
2021-02-24,75.21,39.48,35.73,45.55
2021-03-24,71.16,38.31,32.85,42.21
2021-04-22,95.6,44.93,50.67,62.89
2021-05-20,95.49,45.12,50.37,62.54
2021-06-18,95.54,44.74,50.8,63.04
2021-07-19,113.98,46.9,67.08,81.94
2021-08-16,131.07,52.69,78.38,95.06
2021-09-14,130.52,50.65,79.87,96.78
2021-10-12,110.5,46.96,63.54,77.83
2021-11-09,110.33,57.28,53.05,65.65
2021-12-08,121.85,57.14,64.71,79.19
2022-01-06,111.96,55.71,56.25,69.37
2022-02-04,99.82,48.73,51.09,63.38
2022-03-07,81.68,38.56,43.12,54.13
2022-04-04,98.28,50.04,48.24,60.07
2022-05-03,69.43,36.37,33.06,42.45
2022-06-01,76.85,33.73,43.12,54.13
2022-06-30,71.78,23.28,48.5,60.37
2022-07-29,96.26,34.14,62.12,76.18
2022-08-26,89.42,32.25,57.17,70.44
2022-09-26,79.4,20.34,59.06,72.63
2022-10-24,70.87,24.25,46.62,58.19
2022-11-21,75.58,29.08,46.5,58.05
2022-12-20,71.59,24.09,47.5,59.21
2023-01-20,83.17,28.72,54.45,67.28
2023-02-17,70.19,31.99,38.2,48.42
2023-03-20,61.81,27.76,34.05,43.6
2023-04-18,68.47,33.44,35.03,44.74
2023-05-16,47.4,31.79,15.61,22.19
2023-06-14,55.55,39.9,15.65,22.24
2023-07-14,56.25,43.27,12.98,19.14
2023-08-11,65.16,42.01,23.15,30.95
2023-09-11,60.61,42.23,18.38,25.41
2023-10-09,57.48,36.77,20.71,28.11
2023-11-06,40.63,37.4,3.23,7.82
2023-12-05,57.11,43.51,13.6,19.86
2024-01-04,65.78,46.32,19.46,26.66
2024-02-02,74.7,54.14,20.56,27.94
2024-03-04,80.8,59.08,21.72,29.29
2024-04-02,72.8,60.46,12.34,18.4
2024-04-30,73.28,55.27,18.01,24.98
2024-05-29,78.99,62.08,16.91,23.7
2024-06-27,75.24,68.1,7.14,12.36
2024-07-26,89.81,66.24,23.57,31.43
