Date,rate_LIN_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,1.57
2019-01-31,3.23,2.79,0.44,2.24
2019-03-01,6.21,5.82,0.39,2.16
2019-03-29,10.87,6.59,4.28,8.08
2019-04-29,11.24,10.42,0.82,2.81
2019-05-28,15.34,5.19,10.15,17.0
2019-06-25,26.18,9.51,16.67,26.92
2019-07-24,25.44,12.59,12.85,21.11
2019-08-21,16.78,8.26,8.52,14.52
2019-09-19,19.99,11.09,8.9,15.1
2019-10-17,20.99,10.2,10.79,17.98
2019-11-14,27.72,13.63,14.09,23.0
2019-12-13,27.36,16.06,11.3,18.75
2020-01-14,27.29,19.31,7.98,13.7
2020-02-12,30.99,22.17,8.82,14.98
2020-03-12,-4.65,-7.39,2.74,5.73
2020-04-09,13.94,4.54,9.4,15.86
2020-05-08,13.07,9.68,3.39,6.72
2020-06-08,29.19,20.77,8.42,14.37
2020-07-07,33.34,16.81,16.53,26.71
2020-08-04,43.85,22.24,21.61,34.43
2020-09-01,48.71,26.62,22.09,35.16
2020-09-30,39.09,22.37,16.72,27.0
2020-10-28,26.16,18.79,7.37,12.78
2020-11-25,46.4,31.0,15.4,24.99
2020-12-24,47.44,32.65,14.79,24.06
2021-01-26,46.11,37.29,8.82,14.98
2021-02-24,44.61,39.48,5.13,9.37
2021-03-24,52.34,38.31,14.03,22.9
2021-04-22,61.86,44.93,16.93,27.32
2021-05-20,66.02,45.12,20.9,33.35
2021-06-18,56.06,44.74,11.32,18.78
2021-07-19,56.54,46.9,9.64,16.23
2021-08-16,68.26,52.69,15.57,25.25
2021-09-14,67.44,50.65,16.79,27.1
2021-10-12,59.71,46.96,12.75,20.96
2021-11-09,81.09,57.28,23.81,37.78
2021-12-08,77.11,57.14,19.97,31.94
2022-01-06,78.47,55.71,22.76,36.18
2022-02-04,56.84,48.73,8.11,13.9
2022-03-07,42.1,38.56,3.54,6.95
2022-04-04,67.43,50.04,17.39,28.02
2022-05-03,62.7,36.37,26.33,41.61
2022-06-01,64.69,33.73,30.96,48.65
2022-06-30,48.21,23.28,24.93,39.48
2022-07-29,55.03,34.14,20.89,33.34
2022-08-26,48.78,32.25,16.53,26.71
2022-09-26,37.68,20.34,17.34,27.94
2022-10-24,44.24,24.25,19.99,31.97
2022-11-21,72.4,29.08,43.32,67.45
2022-12-20,69.31,24.09,45.22,70.34
2023-01-20,68.81,28.72,40.09,62.54
2023-02-17,64.34,31.99,32.35,50.77
2023-03-20,72.2,27.76,44.44,69.16
2023-04-18,84.38,33.44,50.94,79.04
2023-05-16,83.87,31.79,52.08,80.78
2023-06-14,87.08,39.9,47.18,73.32
2023-07-14,88.18,43.27,44.91,69.87
2023-08-11,88.34,42.01,46.33,72.03
2023-09-11,90.7,42.23,48.47,75.29
2023-10-09,82.22,36.77,45.45,70.69
2023-11-06,90.54,37.4,53.14,82.39
2023-12-05,94.73,43.51,51.22,79.47
2024-01-04,95.87,46.32,49.55,76.93
2024-02-02,94.12,54.14,39.98,62.37
2024-03-04,115.89,59.08,56.81,87.97
2024-04-02,117.32,60.46,56.86,88.05
2024-04-30,107.76,55.27,52.49,81.4
2024-05-29,99.75,62.08,37.67,58.86
2024-06-27,105.22,68.1,37.12,58.02
2024-07-26,109.3,66.24,43.06,67.06
