Date,rate_PPG_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,83.53
2019-01-31,3.63,2.79,0.84,84.64
2019-03-01,10.07,5.82,4.25,89.16
2019-03-29,10.27,6.59,3.68,88.4
2019-04-29,14.0,10.42,3.58,88.27
2019-05-28,4.42,5.19,-0.77,82.51
2019-06-25,12.66,9.51,3.15,87.7
2019-07-24,14.04,12.59,1.45,85.45
2019-08-21,6.94,8.26,-1.32,81.78
2019-09-19,15.78,11.09,4.69,89.74
2019-10-17,16.08,10.2,5.88,91.32
2019-11-14,23.57,13.63,9.94,96.69
2019-12-13,26.08,16.06,10.02,96.8
2020-01-14,22.64,19.31,3.33,87.94
2020-02-12,15.23,22.17,-6.94,74.34
2020-03-12,-15.06,-7.39,-7.67,73.38
2020-04-09,-7.79,4.54,-12.33,67.21
2020-05-08,-12.31,9.68,-21.99,54.42
2020-06-08,7.92,20.77,-12.85,66.52
2020-07-07,3.37,16.81,-13.44,65.74
2020-08-04,2.51,22.24,-19.73,57.41
2020-09-01,13.55,26.62,-13.07,66.23
2020-09-30,11.57,22.37,-10.8,69.23
2020-10-28,13.98,18.79,-4.81,77.16
2020-11-25,31.56,31.0,0.56,84.27
2020-12-24,29.81,32.65,-2.84,79.77
2021-01-26,25.78,37.29,-11.51,68.29
2021-02-24,21.71,39.48,-17.77,60.01
2021-03-24,31.21,38.31,-7.1,74.13
2021-04-22,51.1,44.93,6.17,91.7
2021-05-20,55.36,45.12,10.24,97.09
2021-06-18,46.29,44.74,1.55,85.58
2021-07-19,43.46,46.9,-3.44,78.98
2021-08-16,44.33,52.69,-8.36,72.46
2021-09-14,32.67,50.65,-17.98,59.73
2021-10-12,34.61,46.96,-12.35,67.18
2021-11-09,41.53,57.28,-15.75,62.68
2021-12-08,43.8,57.14,-13.34,65.87
2022-01-06,48.13,55.71,-7.58,73.5
2022-02-04,32.44,48.73,-16.29,61.97
2022-03-07,-0.74,38.56,-39.3,31.51
2022-04-04,15.29,50.04,-34.75,37.53
2022-05-03,14.96,36.37,-21.41,55.19
2022-06-01,8.16,33.73,-25.57,49.68
2022-06-30,-1.35,23.28,-24.63,50.93
2022-07-29,11.47,34.14,-22.67,53.52
2022-08-26,9.57,32.25,-22.68,53.51
2022-09-26,-3.03,20.34,-23.37,52.59
2022-10-24,-2.35,24.25,-26.6,48.32
2022-11-21,12.43,29.08,-16.65,61.49
2022-12-20,8.51,24.09,-15.58,62.91
2023-01-20,13.79,28.72,-14.93,63.77
2023-02-17,12.69,31.99,-19.3,57.98
2023-03-20,8.56,27.76,-19.2,58.11
2023-04-18,22.39,33.44,-11.05,68.9
2023-05-16,20.17,31.79,-11.62,68.15
2023-06-14,21.13,39.9,-18.77,58.68
2023-07-14,28.56,43.27,-14.71,64.06
2023-08-11,18.51,42.01,-23.5,52.42
2023-09-11,18.24,42.23,-23.99,51.77
2023-10-09,11.63,36.77,-25.14,50.25
2023-11-06,10.64,37.4,-26.76,48.11
2023-12-05,23.23,43.51,-20.28,56.69
2024-01-04,24.88,46.32,-21.44,55.15
2024-02-02,20.51,54.14,-33.63,39.01
2024-03-04,19.56,59.08,-39.52,31.22
2024-04-02,21.4,60.46,-39.06,31.82
2024-04-30,10.59,55.27,-44.68,24.38
2024-05-29,8.87,62.08,-53.21,13.09
2024-06-27,6.83,68.1,-61.27,2.42
2024-07-26,9.01,66.24,-57.23,7.77
