Date,rate_BA_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,88.77
2019-01-31,6.05,2.79,3.26,91.87
2019-03-01,16.84,5.82,11.02,99.24
2019-03-29,2.74,6.59,-3.85,85.12
2019-04-29,2.02,10.42,-8.4,80.8
2019-05-28,-4.21,5.19,-9.4,79.85
2019-06-25,-0.12,9.51,-9.63,79.63
2019-07-24,-2.11,12.59,-14.7,74.81
2019-08-21,-8.28,8.26,-16.54,73.07
2019-09-19,2.18,11.09,-8.91,80.31
2019-10-17,-1.84,10.2,-12.04,77.34
2019-11-14,-2.15,13.63,-15.78,73.79
2019-12-13,-8.75,16.06,-24.81,65.21
2020-01-14,-10.93,19.31,-30.24,60.06
2020-02-12,-6.68,22.17,-28.85,61.38
2020-03-12,-57.31,-7.39,-49.92,41.37
2020-04-09,-56.63,4.54,-61.17,30.68
2020-05-08,-60.43,9.68,-70.11,22.19
2020-06-08,-30.78,20.77,-51.55,39.82
2020-07-07,-45.2,16.81,-62.01,29.89
2020-08-04,-48.57,22.24,-70.81,21.53
2020-09-01,-45.84,26.62,-72.46,19.96
2020-09-30,-47.39,22.37,-69.76,22.53
2020-10-28,-52.02,18.79,-70.81,21.53
2020-11-25,-30.1,31.0,-61.1,30.75
2020-12-24,-29.84,32.65,-62.49,29.43
2021-01-26,-34.03,37.29,-71.32,21.04
2021-02-24,-24.56,39.48,-64.04,27.96
2021-03-24,-20.91,38.31,-59.22,32.54
2021-04-22,-21.54,44.93,-66.47,25.65
2021-05-20,-23.43,45.12,-68.55,23.68
2021-06-18,-19.98,44.74,-64.72,27.31
2021-07-19,-29.8,46.9,-76.7,15.94
2021-08-16,-22.24,52.69,-74.93,17.62
2021-09-14,-26.05,50.65,-76.7,15.94
2021-10-12,-21.69,46.96,-68.65,23.58
2021-11-09,-22.26,57.28,-79.54,13.24
2021-12-08,-25.25,57.14,-82.39,10.53
2022-01-06,-24.69,55.71,-80.4,12.42
2022-02-04,-26.01,48.73,-74.74,17.8
2022-03-07,-38.69,38.56,-77.25,15.41
2022-04-04,-30.39,50.04,-80.43,12.39
2022-05-03,-43.28,36.37,-79.65,13.13
2022-06-01,-50.84,33.73,-84.57,8.46
2022-06-30,-48.61,23.28,-71.89,20.5
2022-07-29,-39.41,34.14,-73.55,18.93
2022-08-26,-36.44,32.25,-68.69,23.54
2022-09-26,-48.93,20.34,-69.27,22.99
2022-10-24,-42.38,24.25,-66.63,25.5
2022-11-21,-29.52,29.08,-58.6,33.12
2022-12-20,-22.99,24.09,-47.08,44.06
2023-01-20,-15.26,28.72,-43.98,47.01
2023-02-17,-13.09,31.99,-45.08,45.96
2023-03-20,-15.71,27.76,-43.47,47.49
2023-04-18,-14.08,33.44,-47.52,43.65
2023-05-16,-16.96,31.79,-48.75,42.48
2023-06-14,-10.2,39.9,-50.1,41.2
2023-07-14,-11.61,43.27,-54.88,36.66
2023-08-11,-2.02,42.01,-44.03,46.96
2023-09-11,-10.04,42.23,-52.27,39.14
2023-10-09,-19.28,36.77,-56.05,35.55
2023-11-06,-17.18,37.4,-54.58,36.94
2023-12-05,0.34,43.51,-43.17,47.78
2024-01-04,4.84,46.32,-41.48,49.38
2024-02-02,-10.19,54.14,-64.33,27.68
2024-03-04,-13.79,59.08,-72.87,19.57
2024-04-02,-18.9,60.46,-79.36,13.41
2024-04-30,-27.53,55.27,-82.8,10.14
2024-05-29,-25.66,62.08,-87.74,5.45
2024-06-27,-20.77,68.1,-88.87,4.38
2024-07-26,-18.67,66.24,-84.91,8.14
