Date,rate_V_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,61.9
2019-03-01,7.93,6.13,1.8,65.0
2019-04-29,18.1,10.74,7.36,74.6
2019-06-25,22.21,9.75,12.46,83.4
2019-08-21,27.02,9.45,17.57,92.22
2019-10-17,24.03,11.38,12.65,83.73
2019-12-13,27.76,17.31,10.45,79.93
2020-02-12,41.36,23.26,18.1,93.13
2020-04-09,17.76,5.35,12.41,83.31
2020-06-08,34.05,21.76,12.29,83.11
2020-08-04,27.72,23.27,4.45,69.58
2020-09-30,28.26,22.35,5.91,72.1
2020-11-25,34.34,30.73,3.61,68.13
2021-01-26,27.48,37.01,-9.53,45.45
2021-03-24,30.2,38.04,-7.84,48.37
2021-05-20,40.25,45.0,-4.75,53.7
2021-07-19,47.36,46.79,0.57,62.88
2021-09-14,37.73,49.47,-11.74,41.64
2021-11-09,30.73,55.69,-24.96,18.83
2022-01-06,33.81,54.19,-20.38,26.73
2022-03-07,14.96,37.12,-22.16,23.66
2022-05-03,24.79,34.96,-10.17,44.35
2022-06-30,17.49,22.0,-4.51,54.12
2022-08-26,21.96,30.79,-8.83,46.66
2022-10-24,14.96,22.72,-7.76,48.51
2022-12-20,23.08,22.59,0.49,62.74
2023-02-17,32.72,30.41,2.31,65.88
2023-04-18,37.82,31.87,5.95,72.17
2023-06-14,31.03,38.27,-7.24,49.4
2023-08-11,39.66,40.92,-1.26,59.72
2023-10-09,34.35,35.51,-1.16,59.9
2023-12-05,44.72,42.24,2.48,66.18
2024-02-02,56.32,52.79,3.53,67.99
2024-04-02,55.8,59.09,-3.29,56.22
2024-05-29,49.94,60.75,-10.81,43.24
2024-07-26,43.73,64.89,-21.16,25.38
