Date,rate_LLY,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-0.89,0.0,0.0
2022-01-05,-2.0,0.0,0.0
2022-01-06,-2.24,0.0,0.0
2022-01-07,-2.21,-1.468,0.0
2022-01-10,-2.1,-1.8880000000000003,0.0
2022-01-11,-1.48,-2.006,0.0
2022-01-12,-3.26,-2.258,0.0
2022-01-13,-4.98,-2.806,0.0
2022-01-14,-6.52,-3.668,0.0
2022-01-18,-5.7,-4.388,0.0
2022-01-19,-6.26,-5.343999999999999,0.0
2022-01-20,-6.79,-6.05,0.0
2022-01-21,-6.81,-6.4159999999999995,0.0
2022-01-24,-7.55,-6.622,0.0
2022-01-25,-7.86,-7.054,0.0
2022-01-26,-8.38,-7.478,0.0
2022-01-27,-8.76,-7.872,0.0
2022-01-28,-6.01,-7.712000000000001,0.0
2022-01-31,-5.92,-7.386,-4.786
2022-02-01,-4.75,-6.764,-5.0235
2022-02-02,-3.88,-5.864,-5.173
2022-02-03,-5.93,-5.298,-5.3695
2022-02-04,-6.8,-5.456,-5.5975
2022-02-07,-6.36,-5.544,-5.805
2022-02-08,-7.68,-6.13,-6.0840000000000005
2022-02-09,-6.46,-6.645999999999999,-6.333
2022-02-10,-7.78,-7.016,-6.559
2022-02-11,-9.19,-7.494,-6.769500000000001
2022-02-14,-9.57,-8.136,-6.922
2022-02-15,-6.18,-7.836,-6.946000000000001
2022-02-16,-5.54,-7.651999999999999,-6.910000000000001
2022-02-17,-7.24,-7.544,-6.9325
2022-02-18,-7.49,-7.204000000000001,-6.966499999999999
2022-02-22,-7.92,-6.874,-6.985000000000001
2022-02-23,-8.23,-7.284000000000001,-7.0035
2022-02-24,-6.46,-7.468000000000001,-6.907500000000001
2022-02-25,-3.59,-6.7379999999999995,-6.649000000000001
2022-02-28,-3.92,-6.024,-6.544500000000001
2022-03-01,-3.97,-5.234,-6.447
2022-03-02,-2.28,-4.044,-6.3235
2022-03-03,-0.66,-2.8839999999999995,-6.1625000000000005
2022-03-04,0.88,-1.9899999999999998,-5.822
2022-03-07,0.43,-1.1199999999999999,-5.460500000000001
2022-03-08,-0.2,-0.366,-5.152500000000001
2022-03-09,0.86,0.262,-4.725499999999999
2022-03-10,2.05,0.8039999999999999,-4.3
