Date,rate_TMUS_5D,rate_VOO_20D,Max_Divergence
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,-700.0
2022-01-05,0.0,0.0,142.27
2022-01-06,0.0,0.0,148.08
2022-01-07,-0.26,0.0,-69.42
2022-01-10,-1.02,0.0,-198.43
2022-01-11,-1.04,0.0,55.56
2022-01-12,-1.2,0.0,10.0
2022-01-13,-1.47,0.0,40.56
2022-01-14,-1.44,0.0,-36.17
2022-01-18,-1.28,0.0,-11.11
2022-01-19,-2.03,0.0,-16.81
2022-01-20,-2.94,0.0,-16.04
2022-01-21,-4.08,0.0,-16.34
2022-01-24,-4.34,0.0,40.45
2022-01-25,-4.53,0.0,37.6
2022-01-26,-4.74,0.0,21.66
2022-01-27,-4.49,0.0,46.89
2022-01-28,-3.5,0.0,67.74
2022-01-31,-3.26,-2.9,42.77
2022-02-01,-2.63,-3.04,71.68
2022-02-02,-1.76,-3.13,61.42
2022-02-03,0.66,-3.28,310.75
2022-02-04,2.69,-3.41,337.78
2022-02-07,4.98,-3.55,344.07
2022-02-08,7.59,-3.64,488.89
2022-02-09,10.63,-3.7,896.69
2022-02-10,11.34,-3.85,448.84
2022-02-11,11.92,-4.04,318.89
2022-02-14,12.49,-4.25,322.6
2022-02-15,12.76,-4.32,433.58
2022-02-16,12.67,-4.34,451.26
2022-02-17,12.57,-4.43,293.76
2022-02-18,12.48,-4.47,269.23
2022-02-22,12.14,-4.58,241.71
2022-02-23,11.18,-4.71,197.35
2022-02-24,10.53,-4.78,238.68
2022-02-25,10.68,-4.72,311.19
2022-02-28,10.55,-4.77,271.19
2022-03-01,10.42,-4.96,238.72
2022-03-02,11.07,-5.1,316.13
2022-03-03,11.05,-5.3,276.29
2022-03-04,10.61,-5.44,248.96
2022-03-07,10.39,-5.73,199.25
2022-03-08,9.73,-6.03,166.53
2022-03-09,9.11,-6.26,216.51
2022-03-10,9.05,-6.57,227.69
2022-03-11,9.28,-6.86,221.82
2022-03-14,9.59,-7.09,209.65
2022-03-15,10.81,-7.21,260.73
2022-03-16,11.82,-7.3,336.99
2022-03-17,12.77,-7.34,414.17
2022-03-18,13.23,-7.24,458.62
2022-03-21,13.56,-7.1,430.5
2022-03-22,13.46,-6.86,555.6
2022-03-23,12.94,-6.6,393.59
2022-03-24,12.37,-6.36,531.45
2022-03-25,11.86,-6.18,567.23
2022-03-28,11.95,-5.97,864.5
2022-03-29,12.44,-5.63,3150.0
2022-03-30,13.11,-5.41,1457.8
