Date,rate_KHC_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,100.0
2019-03-01,-30.04,6.13,-36.17,54.47
2019-04-29,-27.29,10.74,-38.03,52.13
2019-06-25,-31.07,9.75,-40.82,48.62
2019-08-21,-36.76,9.45,-46.21,41.83
2019-10-17,-29.72,11.38,-41.1,48.26
2019-12-13,-19.01,17.31,-36.32,54.28
2020-02-12,-22.04,23.26,-45.3,42.98
2020-04-09,-25.34,5.35,-30.69,61.37
2020-06-08,-8.91,21.76,-30.67,61.39
2020-08-04,-5.67,23.27,-28.94,63.57
2020-09-30,-18.83,22.35,-41.18,48.16
2020-11-25,-11.2,30.73,-41.93,47.22
2021-01-26,-5.84,37.01,-42.85,46.06
2021-03-24,4.81,38.04,-33.23,58.17
2021-05-20,19.78,45.0,-25.22,68.25
2021-07-19,6.97,46.79,-39.82,49.87
2021-09-14,0.65,49.47,-48.82,38.54
2021-11-09,3.96,55.69,-51.73,34.88
2022-01-06,2.88,54.19,-51.31,35.41
2022-03-07,11.99,37.12,-25.13,68.37
2022-05-03,17.55,34.96,-17.41,78.08
2022-06-30,5.76,22.0,-16.24,79.56
2022-08-26,4.85,30.79,-25.94,67.35
2022-10-24,1.15,22.72,-21.57,72.85
2022-12-20,9.66,22.59,-12.93,83.72
2023-02-17,9.94,30.41,-20.47,74.23
2023-04-18,8.3,31.87,-23.57,70.33
2023-06-14,0.49,38.27,-37.78,52.44
2023-08-11,-4.02,40.92,-44.94,43.43
2023-10-09,-7.83,35.51,-43.34,45.44
2023-12-05,1.74,42.24,-40.5,49.02
2024-02-02,6.71,52.79,-46.08,41.99
2024-04-02,5.93,59.09,-53.16,33.08
2024-05-29,-1.83,60.75,-62.58,21.22
2024-07-26,-5.4,64.89,-70.29,11.52
