Date,rate_MA,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,0.6,0.0,0.0
2022-01-05,0.4,0.0,0.0
2022-01-06,-0.13,0.0,0.0
2022-01-07,-0.17,0.13999999999999999,0.0
2022-01-10,-0.94,-0.048,0.0
2022-01-11,-0.47,-0.262,0.0
2022-01-12,-0.26,-0.39399999999999996,0.0
2022-01-13,0.18,-0.33199999999999996,0.0
2022-01-14,0.71,-0.156,0.0
2022-01-18,-0.46,-0.06,0.0
2022-01-19,-1.58,-0.28200000000000003,0.0
2022-01-20,-0.93,-0.41600000000000004,0.0
2022-01-21,-2.72,-0.9960000000000001,0.0
2022-01-24,-3.86,-1.9100000000000001,0.0
2022-01-25,-6.36,-3.09,0.0
2022-01-26,-4.98,-3.7700000000000005,0.0
2022-01-27,-3.6,-4.304,0.0
2022-01-28,3.91,-2.978,0.0
2022-01-31,4.82,-1.2419999999999998,-0.792
2022-02-01,5.96,1.222,-0.49399999999999994
2022-02-02,7.03,3.624,-0.17249999999999996
2022-02-03,5.51,5.446,0.083
2022-02-04,3.72,5.408,0.27549999999999997
2022-02-07,2.34,4.912000000000001,0.40099999999999997
2022-02-08,1.9,4.1,0.5429999999999999
2022-02-09,3.63,3.4200000000000004,0.748
2022-02-10,1.9,2.698,0.8560000000000001
2022-02-11,0.76,2.106,0.885
2022-02-14,1.85,2.008,0.942
2022-02-15,3.77,2.382,1.1535
2022-02-16,4.13,2.482,1.4389999999999998
2022-02-17,1.73,2.448,1.572
2022-02-18,0.75,2.446,1.7454999999999998
2022-02-22,0.32,2.14,1.9545000000000001
2022-02-23,-1.51,1.084,2.197
2022-02-24,0.6,0.3780000000000002,2.476
2022-02-25,0.53,0.13800000000000018,2.6825
2022-02-28,-1.62,-0.33599999999999985,2.406
2022-03-01,-5.76,-1.5519999999999998,1.877
2022-03-02,-5.86,-2.4219999999999997,1.286
2022-03-03,-6.65,-3.872,0.602
2022-03-04,-9.27,-5.832,-0.13699999999999993
2022-03-07,-13.84,-8.276,-1.015
2022-03-08,-13.46,-9.815999999999999,-1.8050000000000002
2022-03-09,-9.82,-10.608,-2.391
2022-03-10,-10.76,-11.43,-3.1105
2022-03-11,-10.7,-11.716,-3.7405
2022-03-14,-9.7,-10.888,-4.2635000000000005
2022-03-15,-7.98,-9.792,-4.755
2022-03-16,-5.39,-8.906,-5.212999999999999
2022-03-17,-4.92,-7.7379999999999995,-5.6655
2022-03-18,-3.94,-6.386,-5.949
2022-03-21,-5.15,-5.476,-6.244
2022-03-22,-4.09,-4.6979999999999995,-6.464499999999999
2022-03-23,-6.06,-4.832,-6.692
2022-03-24,-4.14,-4.676,-6.928999999999999
2022-03-25,-4.23,-4.734,-7.167
2022-03-28,-3.83,-4.470000000000001,-7.277499999999999
2022-03-29,0.74,-3.504,-6.952499999999999
2022-03-30,-0.69,-2.43,-6.694000000000001
2022-03-31,-1.99,-2.0,-6.461
2022-04-01,-0.22,-1.198,-6.0085
2022-04-04,0.55,-0.32199999999999995,-5.289
2022-04-05,-0.4,-0.5499999999999999,-4.636
2022-04-06,-2.98,-1.0079999999999998,-4.2940000000000005
2022-04-07,-4.03,-1.416,-3.9575000000000005
2022-04-08,-3.31,-2.034,-3.5879999999999996
2022-04-11,-4.61,-3.066,-3.3335
2022-04-12,-5.03,-3.992,-3.186
2022-04-13,-2.53,-3.902,-3.0429999999999997
2022-04-14,-1.81,-3.4579999999999997,-2.8875
2022-04-18,-2.08,-3.2120000000000006,-2.7944999999999998
2022-04-19,-0.19,-2.3280000000000003,-2.5465
2022-04-20,0.19,-1.284,-2.3325
2022-04-21,-0.04,-0.786,-2.0315
2022-04-22,-3.59,-1.142,-2.004
2022-04-25,-2.67,-1.26,-1.9259999999999997
2022-04-26,-5.48,-2.318,-2.0084999999999997
2022-04-27,-0.81,-2.5180000000000002,-2.086
2022-04-28,3.81,-1.748,-1.861
2022-04-29,-0.32,-1.094,-1.7774999999999999
2022-05-02,-1.44,-0.8480000000000001,-1.8385000000000002
2022-05-03,-1.77,-0.10600000000000001,-1.9545
2022-05-04,1.06,0.268,-1.8814999999999997
2022-05-05,-2.94,-1.082,-1.8795000000000002
2022-05-06,-4.59,-1.936,-1.9075
2022-05-09,-9.63,-3.5740000000000007,-2.2235
2022-05-10,-10.34,-5.288000000000001,-2.5100000000000002
2022-05-11,-10.2,-7.540000000000001,-2.7685
2022-05-12,-11.44,-9.24,-3.214
2022-05-13,-8.34,-9.99,-3.5405
2022-05-16,-9.16,-9.896,-3.8945
2022-05-17,-6.69,-9.166,-4.2195
2022-05-18,-7.49,-8.623999999999999,-4.6035
2022-05-19,-8.49,-8.034,-5.026
2022-05-20,-7.42,-7.850000000000001,-5.217499999999999
2022-05-23,-4.09,-6.836,-5.288500000000001
2022-05-24,-6.19,-6.7360000000000015,-5.324
2022-05-25,-5.09,-6.256,-5.538
2022-05-26,-3.7,-5.298,-5.9135
2022-05-27,-1.56,-4.126,-5.975499999999999
2022-05-31,-1.53,-3.6140000000000017,-5.9799999999999995
2022-06-01,-1.71,-2.718000000000001,-5.977
2022-06-02,-0.1,-1.7200000000000006,-6.035
2022-06-03,-1.52,-1.2840000000000007,-5.9639999999999995
2022-06-06,-0.89,-1.1500000000000008,-5.779
2022-06-07,0.16,-0.8120000000000008,-5.289499999999999
2022-06-08,-0.3,-0.5300000000000008,-4.7875
2022-06-09,-3.91,-1.292000000000001,-4.473
2022-06-10,-7.77,-2.5420000000000007,-4.2895
2022-06-13,-11.83,-4.73,-4.464
2022-06-14,-11.18,-6.998,-4.5649999999999995
2022-06-15,-10.3,-8.998000000000001,-4.7455
2022-06-16,-14.8,-11.176,-5.111
2022-06-17,-14.29,-12.48,-5.401
2022-06-21,-12.47,-12.608,-5.653499999999999
2022-06-22,-12.81,-12.934000000000001,-6.089499999999999
2022-06-23,-12.64,-13.402000000000001,-6.412000000000001
2022-06-24,-8.92,-12.226000000000003,-6.6034999999999995
2022-06-27,-9.37,-11.242,-6.8870000000000005
2022-06-28,-12.23,-11.193999999999999,-7.4205
2022-06-29,-11.06,-10.844,-7.897
2022-06-30,-12.99,-10.914,-8.461
2022-07-01,-11.91,-11.512,-9.0515
2022-07-05,-11.64,-11.966,-9.5575
2022-07-06,-11.4,-11.8,-10.083
2022-07-07,-10.34,-11.656,-10.608
2022-07-08,-10.62,-11.182000000000002,-11.123999999999999
2022-07-11,-10.31,-10.862,-11.443999999999999
2022-07-12,-10.67,-10.668000000000001,-11.589
2022-07-13,-10.53,-10.494000000000002,-11.524
2022-07-14,-10.08,-10.442,-11.469
2022-07-15,-8.04,-9.926,-11.356
2022-07-18,-8.47,-9.558,-11.0395
2022-07-19,-5.93,-8.610000000000001,-10.621500000000001
2022-07-20,-5.69,-7.642000000000001,-10.2825
2022-07-21,-4.16,-6.458000000000001,-9.85
2022-07-22,-4.98,-5.846000000000001,-9.467
2022-07-25,-4.89,-5.130000000000001,-9.2655
2022-07-26,-5.69,-5.082000000000002,-9.0815
2022-07-27,-5.15,-4.974000000000001,-8.727500000000001
2022-07-28,-2.67,-4.676000000000001,-8.308
