Date,rate_BR,rate_BR_5D,rate_BR_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.1,,,-0.02,,
2022-01-05,-0.95,,,-0.97,,
2022-01-06,-1.82,,,-1.04,,
2022-01-07,-2.58,-1.09,,-1.21,-0.648,
2022-01-10,-3.46,-1.782,,-1.27,-0.9019999999999999,
2022-01-11,-3.59,-2.48,,-0.63,-1.024,
2022-01-12,-2.54,-2.7979999999999996,,-0.4,-0.9099999999999999,
2022-01-13,-5.46,-3.526,,-1.43,-0.9879999999999999,
2022-01-14,-6.9,-4.390000000000001,,-1.41,-1.028,
2022-01-18,-6.96,-5.09,,-2.7,-1.314,
2022-01-19,-6.72,-5.715999999999999,,-3.45,-1.8780000000000001,
2022-01-20,-7.01,-6.609999999999999,,-4.24,-2.646,
2022-01-21,-8.35,-7.188,,-5.63,-3.4859999999999998,
2022-01-24,-7.79,-7.366,,-5.34,-4.272,
2022-01-25,-10.74,-8.122,,-6.33,-4.998,
2022-01-26,-12.26,-9.23,,-6.51,-5.609999999999999,
2022-01-27,-11.67,-10.162,,-6.91,-6.144,
2022-01-28,-9.68,-10.428,,-4.96,-6.01,
2022-01-31,-7.14,-10.298,-5.786,-3.46,-5.634,-2.8954999999999997
2022-02-01,-10.01,-10.152,-6.286499999999999,-2.79,-4.926,-3.035
2022-02-02,-9.5,-9.6,-6.7565,-1.97,-4.018,-3.1325
2022-02-03,-12.6,-9.786,-7.338999999999999,-4.0,-3.436,-3.284
2022-02-04,-11.82,-10.214,-7.839,-3.6,-3.164,-3.4120000000000004
2022-02-07,-12.87,-11.36,-8.3535,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-12.35,-11.828,-8.798,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-11.21,-12.17,-9.178999999999998,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-13.66,-12.382,-9.735000000000001,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-14.68,-12.953999999999999,-10.196,-5.24,-3.504,-4.0409999999999995
2022-02-14,-14.56,-13.292000000000002,-10.578999999999999,-5.53,-3.8340000000000005,-4.247
2022-02-15,-12.96,-13.413999999999998,-10.879,-4.08,-4.0200000000000005,-4.316
2022-02-16,-13.91,-13.953999999999999,-11.238499999999998,-3.98,-4.454,-4.3425
2022-02-17,-15.97,-14.416,-11.686499999999999,-5.93,-4.952,-4.427
2022-02-18,-15.97,-14.674000000000001,-12.067499999999999,-6.5,-5.204,-4.4704999999999995
2022-02-22,-15.68,-14.898000000000001,-12.462,-7.48,-5.593999999999999,-4.5775
2022-02-23,-16.82,-15.669999999999998,-12.766,-9.06,-6.590000000000001,-4.714
2022-02-24,-14.3,-15.748000000000001,-12.868,-7.73,-7.340000000000001,-4.775
2022-02-25,-12.6,-15.074000000000002,-12.9145,-5.81,-7.316,-4.720000000000001
2022-02-28,-13.77,-14.634,-13.119,-6.04,-7.224000000000001,-4.774
2022-03-01,-13.3,-14.158000000000001,-13.427000000000001,-7.18,-7.164,-4.96
2022-03-02,-12.24,-13.242,-13.538499999999999,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-13.3,-13.042000000000002,-13.7285,-6.03,-6.128,-5.3025
2022-03-04,-12.66,-13.054000000000002,-13.7315,-6.74,-6.314,-5.439500000000001
2022-03-07,-12.75,-12.85,-13.778,-9.33,-6.9719999999999995,-5.726
2022-03-08,-14.02,-12.994,-13.8355,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-12.87,-13.12,-13.861500000000001,-7.69,-7.954000000000001,-6.258
2022-03-10,-13.68,-13.196000000000002,-13.985,-8.09,-8.366,-6.572
2022-03-11,-14.29,-13.522,-14.016500000000002,-9.21,-8.86,-6.8605
2022-03-14,-15.03,-13.978,-14.034,-9.84,-8.962,-7.0905000000000005
2022-03-15,-13.3,-13.834,-13.971,-7.92,-8.55,-7.210000000000001
2022-03-16,-10.62,-13.384,-13.854000000000003,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-9.8,-12.608,-13.648500000000002,-4.8,-7.537999999999999,-7.343000000000001
