Date,rate_QCOM,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,0.27,0.0,0.0
2022-01-05,0.08,0.0,0.0
2022-01-06,-0.07,0.0,0.0
2022-01-07,-1.56,-0.256,0.0
2022-01-10,-1.75,-0.6060000000000001,0.0
2022-01-11,0.57,-0.546,0.0
2022-01-12,0.99,-0.36400000000000005,0.0
2022-01-13,-0.04,-0.358,0.0
2022-01-14,1.91,0.33599999999999997,0.0
2022-01-18,-2.09,0.26799999999999996,0.0
2022-01-19,-4.69,-0.784,0.0
2022-01-20,-7.11,-2.404,0.0
2022-01-21,-7.75,-3.946,0.0
2022-01-24,-5.66,-5.46,0.0
2022-01-25,-7.87,-6.616,0.0
2022-01-26,-7.13,-7.104000000000001,0.0
2022-01-27,-9.9,-7.662000000000001,0.0
2022-01-28,-7.22,-7.556,0.0
2022-01-31,-2.94,-7.011999999999999,-3.098
2022-02-01,-2.17,-5.872,-3.2064999999999997
2022-02-02,3.32,-3.782000000000001,-3.054
2022-02-03,-1.19,-2.04,-3.1175
2022-02-04,-1.01,-0.798,-3.1645
2022-02-07,-3.18,-0.8460000000000001,-3.2455
2022-02-08,-1.35,-0.682,-3.2255000000000003
2022-02-09,1.46,-1.054,-3.181
2022-02-10,-3.72,-1.56,-3.4165
2022-02-11,-8.66,-3.0900000000000003,-3.8474999999999993
2022-02-14,-8.4,-4.134,-4.363
2022-02-15,-4.18,-4.7,-4.4675
2022-02-16,-4.4,-5.872,-4.453
2022-02-17,-7.51,-6.63,-4.473000000000001
2022-02-18,-7.06,-6.3100000000000005,-4.4385
2022-02-22,-7.99,-6.228,-4.555
2022-02-23,-10.28,-7.448,-4.6755
2022-02-24,-6.87,-7.942,-4.6625
2022-02-25,-5.29,-7.497999999999999,-4.432
2022-02-28,-4.72,-7.029999999999999,-4.307
2022-03-01,-8.96,-7.224000000000001,-4.6080000000000005
2022-03-02,-6.03,-6.3740000000000006,-4.801
2022-03-03,-8.08,-6.616,-5.371
2022-03-04,-9.72,-7.502,-5.7975
2022-03-07,-16.13,-9.784,-6.5535
2022-03-08,-15.78,-11.148,-7.1834999999999996
2022-03-09,-12.35,-12.412,-7.733500000000001
2022-03-10,-13.65,-13.526,-8.488999999999999
