Date,rate_AMZN_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,38.83
2019-01-31,4.37,2.79,1.58,40.31
2019-03-01,2.79,5.82,-3.03,36.0
2019-03-29,9.32,6.59,2.73,41.39
2019-04-29,18.51,10.42,8.09,46.4
2019-05-28,11.87,5.19,6.68,45.08
2019-06-25,14.17,9.51,4.66,43.19
2019-07-24,21.07,12.59,8.48,46.77
2019-08-21,9.17,8.26,0.91,39.68
2019-09-19,9.23,11.09,-1.86,37.09
2019-10-17,7.08,10.2,-3.12,35.91
2019-11-14,4.95,13.63,-8.68,30.71
2019-12-13,5.19,16.06,-10.87,28.66
2020-01-14,11.34,19.31,-7.97,31.37
2020-02-12,28.0,22.17,5.83,44.29
2020-03-12,-0.6,-7.39,6.79,45.19
2020-04-09,20.54,4.54,16.0,53.8
2020-05-08,39.41,9.68,29.73,66.65
2020-06-08,46.4,20.77,25.63,62.81
2020-07-07,71.94,16.81,55.13,90.42
2020-08-04,77.76,22.24,55.52,90.78
2020-09-01,89.58,26.62,62.96,97.74
2020-09-30,78.13,22.37,55.76,91.01
2020-10-28,77.11,18.79,58.32,93.4
2020-11-25,76.96,31.0,45.96,81.84
2020-12-24,74.86,32.65,42.21,78.33
2021-01-26,81.86,37.29,44.57,80.54
2021-02-24,71.4,39.48,31.92,68.7
2021-03-24,66.3,38.31,27.99,65.02
2021-04-22,76.88,44.93,31.95,68.73
2021-05-20,72.34,45.12,27.22,64.3
2021-06-18,83.71,44.74,38.97,75.3
2021-07-19,85.54,46.9,38.64,74.99
2021-08-16,71.85,52.69,19.16,56.76
2021-09-14,75.35,50.65,24.7,61.94
2021-10-12,64.54,46.96,17.58,55.28
2021-11-09,80.53,57.28,23.25,60.59
2021-12-08,76.73,57.14,19.59,57.16
2022-01-06,62.87,55.71,7.16,45.53
2022-02-04,56.48,48.73,7.75,46.08
2022-03-07,35.97,38.56,-2.59,36.41
2022-04-04,65.41,50.04,15.37,53.21
2022-05-03,21.92,36.37,-14.45,25.31
2022-06-01,19.25,33.73,-14.48,25.28
2022-06-30,4.12,23.28,-19.16,20.9
2022-07-29,32.02,34.14,-2.12,36.85
2022-08-26,29.41,32.25,-2.84,36.17
2022-09-26,14.71,20.34,-5.63,33.56
2022-10-24,19.14,24.25,-5.11,34.05
2022-11-21,-7.89,29.08,-36.97,4.24
2022-12-20,-14.98,24.09,-39.07,2.27
2023-01-20,-2.75,28.72,-31.47,9.39
2023-02-17,-2.81,31.99,-34.8,6.27
2023-03-20,-2.22,27.76,-29.98,10.78
2023-04-18,2.33,33.44,-31.11,9.72
2023-05-16,13.34,31.79,-18.45,21.57
2023-06-14,26.04,39.9,-13.86,25.86
2023-07-14,33.89,43.27,-9.38,30.06
2023-08-11,38.08,42.01,-3.93,35.15
2023-09-11,42.69,42.23,0.46,39.26
2023-10-09,27.74,36.77,-9.03,30.38
2023-11-06,38.71,37.4,1.31,40.06
2023-12-05,45.26,43.51,1.75,40.47
2024-01-04,42.48,46.32,-3.84,35.24
2024-02-02,68.53,54.14,14.39,52.3
2024-03-04,73.38,59.08,14.3,52.21
2024-04-02,75.6,60.46,15.14,53.0
2024-04-30,70.08,55.27,14.81,52.69
2024-05-29,76.63,62.08,14.55,52.45
2024-06-27,91.06,68.1,22.96,60.32
2024-07-26,75.42,66.24,9.18,47.42
