Date,rate_HSY_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,38.34
2019-01-31,0.48,2.79,-2.31,36.19
2019-03-01,5.19,5.82,-0.63,37.75
2019-03-29,7.13,6.59,0.54,38.84
2019-04-29,14.43,10.42,4.01,42.07
2019-05-28,17.52,5.19,12.33,49.81
2019-06-25,24.56,9.51,15.05,52.34
2019-07-24,31.39,12.59,18.8,55.83
2019-08-21,37.55,8.26,29.29,65.59
2019-09-19,31.83,11.09,20.74,57.63
2019-10-17,30.37,10.2,20.17,57.1
2019-11-14,24.4,13.63,10.77,48.36
2019-12-13,24.49,16.06,8.43,46.18
2020-01-14,25.44,19.31,6.13,44.04
2020-02-12,31.59,22.17,9.42,47.1
2020-03-12,10.46,-7.39,17.85,54.95
2020-04-09,19.26,4.54,14.72,52.03
2020-05-08,10.23,9.68,0.55,38.85
2020-06-08,12.01,20.77,-8.76,30.19
2020-07-07,6.61,16.81,-10.2,28.85
2020-08-04,18.7,22.24,-3.54,35.04
2020-09-01,20.55,26.62,-6.07,32.69
2020-09-30,17.39,22.37,-4.98,33.7
2020-10-28,12.81,18.79,-5.98,32.77
2020-11-25,20.37,31.0,-10.63,28.45
2020-12-24,21.41,32.65,-11.24,27.88
2021-01-26,20.67,37.29,-16.62,22.87
2021-02-24,18.77,39.48,-20.71,19.07
2021-03-24,25.79,38.31,-12.52,26.69
2021-04-22,29.18,44.93,-15.75,23.68
2021-05-20,37.16,45.12,-7.96,30.93
2021-06-18,34.49,44.74,-10.25,28.8
2021-07-19,40.86,46.9,-6.04,32.72
2021-08-16,40.89,52.69,-11.8,27.36
2021-09-14,37.67,50.65,-12.98,26.26
2021-10-12,41.05,46.96,-5.91,32.84
2021-11-09,37.87,57.28,-19.41,20.28
2021-12-08,42.71,57.14,-14.43,24.91
2022-01-06,52.26,55.71,-3.45,35.13
2022-02-04,56.21,48.73,7.48,45.3
2022-03-07,63.39,38.56,24.83,61.44
2022-04-04,64.89,50.04,14.85,52.15
2022-05-03,66.61,36.37,30.24,66.47
2022-06-01,57.93,33.73,24.2,60.85
2022-06-30,62.03,23.28,38.75,74.39
2022-07-29,70.71,34.14,36.57,72.36
2022-08-26,70.77,32.25,38.52,74.18
2022-09-26,67.29,20.34,46.95,82.02
2022-10-24,72.44,24.25,48.19,83.18
2022-11-21,71.66,29.08,42.58,77.96
2022-12-20,71.84,24.09,47.75,82.77
2023-01-20,57.01,28.72,28.29,64.66
2023-02-17,75.15,31.99,43.16,78.5
2023-03-20,77.0,27.76,49.24,84.15
2023-04-18,86.79,33.44,53.35,87.98
2023-05-16,92.55,31.79,60.76,94.87
2023-06-14,85.36,39.9,45.46,80.64
2023-07-14,69.09,43.27,25.82,62.36
2023-08-11,58.53,42.01,16.52,53.71
2023-09-11,52.59,42.23,10.36,47.98
2023-10-09,40.48,36.77,3.71,41.79
2023-11-06,34.33,37.4,-3.07,35.48
2023-12-05,34.11,43.51,-9.4,29.59
2024-01-04,35.76,46.32,-10.56,28.51
2024-02-02,40.47,54.14,-13.67,25.62
2024-03-04,30.49,59.08,-28.59,11.73
2024-04-02,41.98,60.46,-18.48,21.14
2024-04-30,37.47,55.27,-17.8,21.77
2024-05-29,36.79,62.08,-25.29,14.8
2024-06-27,29.48,68.1,-38.62,2.4
2024-07-26,36.08,66.24,-30.16,10.27
