Date,rate_LYB_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,98.51
2019-01-31,0.97,2.79,-1.82,95.66
2019-03-01,-1.09,5.82,-6.91,87.68
2019-03-29,-2.27,6.59,-8.86,84.63
2019-04-29,3.4,10.42,-7.02,87.51
2019-05-28,-10.46,5.19,-15.65,73.99
2019-06-25,0.78,9.51,-8.73,84.83
2019-07-24,0.51,12.59,-12.08,79.58
2019-08-21,-13.58,8.26,-21.84,64.28
2019-09-19,3.64,11.09,-7.45,86.84
2019-10-17,1.1,10.2,-9.1,84.25
2019-11-14,11.81,13.63,-1.82,95.66
2019-12-13,7.85,16.06,-8.21,85.64
2020-01-14,6.89,19.31,-12.42,79.05
2020-02-12,-0.21,22.17,-22.38,63.44
2020-03-12,-45.6,-7.39,-38.21,38.63
2020-04-09,-29.43,4.54,-33.97,45.28
2020-05-08,-31.57,9.68,-41.25,33.87
2020-06-08,-7.21,20.77,-27.98,54.66
2020-07-07,-17.58,16.81,-34.39,44.62
2020-08-04,-21.16,22.24,-43.4,30.5
2020-09-01,-16.71,26.62,-43.33,30.61
2020-09-30,-15.48,22.37,-37.85,39.19
2020-10-28,-16.82,18.79,-35.61,42.7
2020-11-25,7.27,31.0,-23.73,61.32
2020-12-24,8.69,32.65,-23.96,60.96
2021-01-26,5.28,37.29,-32.01,48.35
2021-02-24,26.15,39.48,-13.33,77.62
2021-03-24,19.83,38.31,-18.48,69.55
2021-04-22,19.24,44.93,-25.69,58.25
2021-05-20,27.85,45.12,-17.27,71.45
2021-06-18,17.66,44.74,-27.08,56.07
2021-07-19,7.92,46.9,-38.98,37.42
2021-08-16,19.03,52.69,-33.66,45.76
2021-09-14,11.22,50.65,-39.43,36.72
2021-10-12,14.69,46.96,-32.27,47.94
2021-11-09,9.74,57.28,-47.54,24.01
2021-12-08,6.92,57.14,-50.22,19.81
2022-01-06,14.06,55.71,-41.65,33.24
2022-02-04,17.94,48.73,-30.79,50.26
2022-03-07,11.4,38.56,-27.16,55.95
2022-04-04,20.02,50.04,-30.02,51.47
2022-05-03,29.67,36.37,-6.7,88.01
2022-06-01,33.34,33.73,-0.39,97.9
2022-06-30,2.11,23.28,-21.17,65.33
2022-07-29,4.04,34.14,-30.1,51.34
2022-08-26,1.46,32.25,-30.79,50.26
2022-09-26,-13.43,20.34,-33.77,45.59
2022-10-24,-2.57,24.25,-26.82,56.48
2022-11-21,-0.22,29.08,-29.3,52.59
2022-12-20,-3.21,24.09,-27.3,55.73
2023-01-20,10.56,28.72,-18.16,70.05
2023-02-17,16.33,31.99,-15.66,73.97
2023-03-20,4.08,27.76,-23.68,61.4
2023-04-18,15.83,33.44,-17.61,70.91
2023-05-16,5.08,31.79,-26.71,56.65
2023-06-14,7.54,39.9,-32.36,47.8
2023-07-14,8.23,43.27,-35.04,43.6
2023-08-11,17.47,42.01,-24.54,60.05
2023-09-11,18.62,42.23,-23.61,61.51
2023-10-09,9.88,36.77,-26.89,56.37
2023-11-06,8.91,37.4,-28.49,53.86
2023-12-05,9.5,43.51,-34.01,45.21
2024-01-04,13.19,46.32,-33.13,46.59
2024-02-02,9.29,54.14,-44.85,28.22
2024-03-04,19.38,59.08,-39.7,36.3
2024-04-02,22.12,60.46,-38.34,38.43
2024-04-30,17.2,55.27,-38.07,38.85
2024-05-29,13.34,62.08,-48.74,22.13
2024-06-27,12.06,68.1,-56.04,10.69
2024-07-26,13.61,66.24,-52.63,16.03
