Date,rate_BKNG_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,61.1
2019-01-31,5.15,2.79,2.36,64.1
2019-03-01,-0.91,5.82,-6.73,52.55
2019-03-29,0.71,6.59,-5.88,53.63
2019-04-29,7.67,10.42,-2.75,57.61
2019-05-28,-2.46,5.19,-7.65,51.38
2019-06-25,6.38,9.51,-3.13,57.12
2019-07-24,10.1,12.59,-2.49,57.94
2019-08-21,9.59,8.26,1.33,62.79
2019-09-19,14.62,11.09,3.53,65.59
2019-10-17,12.77,10.2,2.57,64.37
2019-11-14,4.16,13.63,-9.47,49.07
2019-12-13,9.47,16.06,-6.59,52.73
2020-01-14,14.11,19.31,-5.2,54.49
2020-02-12,8.15,22.17,-14.02,43.28
2020-03-12,-27.09,-7.39,-19.7,36.06
2020-04-09,-19.11,4.54,-23.65,31.04
2020-05-08,-18.16,9.68,-27.84,25.72
2020-06-08,3.53,20.77,-17.24,39.19
2020-07-07,-6.01,16.81,-22.82,32.1
2020-08-04,-5.29,22.24,-27.53,26.11
2020-09-01,4.21,26.62,-22.41,32.62
2020-09-30,-5.41,22.37,-27.78,25.79
2020-10-28,-10.81,18.79,-29.6,23.48
2020-11-25,12.79,31.0,-18.21,37.96
2020-12-24,13.84,32.65,-18.81,37.19
2021-01-26,8.15,37.29,-29.14,24.06
2021-02-24,31.39,39.48,-8.09,50.82
2021-03-24,18.82,38.31,-19.49,36.33
2021-04-22,25.58,44.93,-19.35,36.51
2021-05-20,22.87,45.12,-22.25,32.82
2021-06-18,19.35,44.74,-25.39,28.83
2021-07-19,10.16,46.9,-36.74,14.4
2021-08-16,13.72,52.69,-38.97,11.57
2021-09-14,20.07,50.65,-30.58,22.23
2021-10-12,26.13,46.96,-20.83,34.63
2021-11-09,34.58,57.28,-22.7,32.25
2021-12-08,17.86,57.14,-39.28,11.17
2022-01-06,23.27,55.71,-32.44,19.87
2022-02-04,23.55,48.73,-25.18,29.1
2022-03-07,-6.41,38.56,-44.97,3.94
2022-04-04,20.75,50.04,-29.29,23.87
2022-05-03,7.59,36.37,-28.78,24.52
2022-06-01,13.74,33.73,-19.99,35.69
2022-06-30,-10.24,23.28,-33.52,18.49
2022-07-29,-1.08,34.14,-35.22,16.33
2022-08-26,-1.91,32.25,-34.16,17.68
2022-09-26,-12.86,20.34,-33.2,18.9
2022-10-24,-5.76,24.25,-30.01,22.96
2022-11-21,-0.23,29.08,-29.31,23.85
2022-12-20,1.72,24.09,-22.37,32.67
2023-01-20,20.44,28.72,-8.28,50.58
2023-02-17,25.94,31.99,-6.05,53.41
2023-03-20,27.15,27.76,-0.61,60.33
2023-04-18,36.51,33.44,3.07,65.01
2023-05-16,33.63,31.79,1.84,63.44
2023-06-14,31.47,39.9,-8.43,50.39
2023-07-14,43.33,43.27,0.06,61.18
2023-08-11,59.65,42.01,17.64,83.53
2023-09-11,59.05,42.23,16.82,82.48
2023-10-09,50.12,36.77,13.35,78.07
2023-11-06,47.75,37.4,10.35,74.26
2023-12-05,55.49,43.51,11.98,76.33
2024-01-04,67.48,46.32,21.16,88.0
2024-02-02,73.24,54.14,19.1,85.38
2024-03-04,67.86,59.08,8.78,72.26
2024-04-02,71.98,60.46,11.52,75.75
2024-04-30,66.7,55.27,11.43,75.63
2024-05-29,78.92,62.08,16.84,82.51
2024-06-27,90.56,68.1,22.46,89.65
2024-07-26,79.33,66.24,13.09,77.74
