Date,rate_KHC_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,100.0
2019-01-31,1.24,2.79,-1.55,98.09
2019-03-01,-26.81,5.82,-32.63,59.76
2019-03-29,-26.34,6.59,-32.93,59.39
2019-04-29,-24.17,10.42,-34.59,57.34
2019-05-28,-33.05,5.19,-38.24,52.84
2019-06-25,-28.39,9.51,-37.9,53.26
2019-07-24,-24.35,12.59,-36.94,54.45
2019-08-21,-35.94,8.26,-44.2,45.49
2019-09-19,-28.74,11.09,-39.83,50.88
2019-10-17,-28.91,10.2,-39.11,51.77
2019-11-14,-20.39,13.63,-34.02,58.05
2019-12-13,-18.16,16.06,-34.22,57.8
2020-01-14,-17.43,19.31,-36.74,54.69
2020-02-12,-21.23,22.17,-43.4,46.48
2020-03-12,-46.57,-7.39,-39.18,51.68
2020-04-09,-24.63,4.54,-29.17,64.03
2020-05-08,-20.3,9.68,-29.98,63.03
2020-06-08,-8.67,20.77,-29.44,63.69
2020-07-07,-13.37,16.81,-30.18,62.78
2020-08-04,-5.32,22.24,-27.56,66.01
2020-09-01,-7.27,26.62,-33.89,58.21
2020-09-30,-16.98,22.37,-39.35,51.47
2020-10-28,-18.82,18.79,-37.61,53.62
2020-11-25,-9.39,31.0,-40.39,50.19
2020-12-24,-2.51,32.65,-35.16,56.64
2021-01-26,-4.05,37.29,-41.34,49.02
2021-02-24,4.99,39.48,-34.49,57.47
2021-03-24,6.64,38.31,-31.67,60.94
2021-04-22,14.04,44.93,-30.89,61.91
2021-05-20,21.77,45.12,-23.35,71.2
2021-06-18,12.09,44.74,-32.65,59.74
2021-07-19,8.72,46.9,-38.18,52.92
2021-08-16,5.23,52.69,-47.46,41.47
2021-09-14,2.02,50.65,-48.63,40.03
2021-10-12,3.49,46.96,-43.47,46.39
2021-11-09,5.03,57.28,-52.25,35.57
2021-12-08,-6.68,57.14,-63.82,21.3
2022-01-06,3.59,55.71,-52.12,35.73
2022-02-04,-2.22,48.73,-50.95,37.17
2022-03-07,12.73,38.56,-25.83,68.15
2022-04-04,11.66,50.04,-38.38,52.67
2022-05-03,17.94,36.37,-18.43,77.27
2022-06-01,3.62,33.73,-30.11,62.87
2022-06-30,6.11,23.28,-17.17,78.83
2022-07-29,2.39,34.14,-31.75,60.85
2022-08-26,5.38,32.25,-26.87,66.86
2022-09-26,-4.82,20.34,-25.16,68.97
2022-10-24,2.08,24.25,-22.17,72.66
2022-11-21,7.36,29.08,-21.72,73.21
2022-12-20,10.6,24.09,-13.49,83.36
2023-01-20,10.64,28.72,-18.08,77.7
2023-02-17,10.83,31.99,-21.16,73.91
2023-03-20,5.05,27.76,-22.71,71.99
2023-04-18,9.15,33.44,-24.29,70.05
2023-05-16,7.75,31.79,-24.04,70.35
2023-06-14,1.26,39.9,-38.64,52.35
2023-07-14,-0.98,43.27,-44.25,45.43
2023-08-11,-4.22,42.01,-46.23,42.99
2023-09-11,-5.04,42.23,-47.27,41.71
2023-10-09,-8.17,36.77,-44.94,44.58
2023-11-06,-5.83,37.4,-43.23,46.69
2023-12-05,1.35,43.51,-42.16,48.01
2024-01-04,6.73,46.32,-39.59,51.18
2024-02-02,6.3,54.14,-47.84,41.0
2024-03-04,-1.03,59.08,-60.11,25.87
2024-04-02,5.54,60.46,-54.92,32.27
2024-04-30,8.99,55.27,-46.28,42.93
2024-05-29,-2.16,62.08,-64.24,20.78
2024-06-27,-8.87,68.1,-76.97,5.08
2024-07-26,-5.69,66.24,-71.93,11.3
