Date,rate_CE_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,81.23
2019-01-31,0.2,2.79,-2.59,77.37
2019-03-01,6.01,5.82,0.19,81.51
2019-03-29,1.94,6.59,-4.65,74.31
2019-04-29,11.21,10.42,0.79,82.4
2019-05-28,2.6,5.19,-2.59,77.37
2019-06-25,7.42,9.51,-2.09,78.12
2019-07-24,15.13,12.59,2.54,85.0
2019-08-21,13.0,8.26,4.74,88.28
2019-09-19,21.68,11.09,10.59,96.98
2019-10-17,19.55,10.2,9.35,95.14
2019-11-14,23.24,13.63,9.61,95.52
2019-12-13,20.95,16.06,4.89,88.5
2020-01-14,14.78,19.31,-4.53,74.49
2020-02-12,7.94,22.17,-14.23,60.06
2020-03-12,-28.5,-7.39,-21.11,49.82
2020-04-09,-17.5,4.54,-22.04,48.44
2020-05-08,-18.15,9.68,-27.83,39.82
2020-06-08,-2.22,20.77,-22.99,47.02
2020-07-07,-12.52,16.81,-29.33,37.59
2020-08-04,-3.31,22.24,-25.55,43.22
2020-09-01,2.75,26.62,-23.87,45.72
2020-09-30,4.3,22.37,-18.07,54.34
2020-10-28,7.9,18.79,-10.89,65.03
2020-11-25,27.27,31.0,-3.73,75.68
2020-12-24,24.28,32.65,-8.37,68.77
2021-01-26,19.88,37.29,-17.41,55.33
2021-02-24,34.24,39.48,-5.24,73.43
2021-03-24,35.2,38.31,-3.11,76.6
2021-04-22,44.9,44.93,-0.03,81.18
2021-05-20,53.46,45.12,8.34,93.63
2021-06-18,36.44,44.74,-8.3,68.88
2021-07-19,36.84,46.9,-10.06,66.26
2021-08-16,45.67,52.69,-7.02,70.78
2021-09-14,38.29,50.65,-12.36,62.84
2021-10-12,46.3,46.96,-0.66,80.24
2021-11-09,57.95,57.28,0.67,82.22
2021-12-08,45.36,57.14,-11.78,63.7
2022-01-06,55.34,55.71,-0.37,80.68
2022-02-04,41.03,48.73,-7.7,69.77
2022-03-07,20.21,38.56,-18.35,53.93
2022-04-04,28.51,50.04,-21.53,49.2
2022-05-03,34.25,36.37,-2.12,78.07
2022-06-01,38.09,33.73,4.36,87.71
2022-06-30,4.73,23.28,-18.55,53.63
2022-07-29,4.62,34.14,-29.52,37.31
2022-08-26,1.29,32.25,-30.96,35.17
2022-09-26,-20.06,20.34,-40.4,21.12
2022-10-24,-15.16,24.25,-39.41,22.6
2022-11-21,-9.13,29.08,-38.21,24.38
2022-12-20,-7.44,24.09,-31.53,34.32
2023-01-20,10.25,28.72,-18.47,53.75
2023-02-17,7.68,31.99,-24.31,45.06
2023-03-20,-6.68,27.76,-34.44,29.99
2023-04-18,-0.81,33.44,-34.25,30.27
2023-05-16,-6.77,31.79,-38.56,23.86
2023-06-14,5.47,39.9,-34.43,30.01
2023-07-14,8.36,43.27,-34.91,29.29
2023-08-11,13.31,42.01,-28.7,38.53
2023-09-11,12.9,42.23,-29.33,37.59
2023-10-09,8.32,36.77,-28.45,38.9
2023-11-06,7.41,37.4,-29.99,36.61
2023-12-05,24.94,43.51,-18.57,53.6
2024-01-04,33.22,46.32,-13.1,61.74
2024-02-02,30.42,54.14,-23.72,45.94
2024-03-04,37.03,59.08,-22.05,48.42
2024-04-02,48.93,60.46,-11.53,64.07
2024-04-30,35.44,55.27,-19.83,51.73
2024-05-29,30.42,62.08,-31.66,34.13
2024-06-27,19.29,68.1,-48.81,8.61
2024-07-26,21.81,66.24,-44.43,15.13
