Date,rate_CMCSA_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,85.36
2019-01-31,2.59,2.79,-0.2,85.15
2019-03-01,8.98,5.82,3.16,88.79
2019-03-29,11.41,6.59,4.82,90.59
2019-04-29,20.56,10.42,10.14,96.37
2019-05-28,17.32,5.19,12.13,98.52
2019-06-25,17.69,9.51,8.18,94.24
2019-07-24,22.99,12.59,10.4,96.65
2019-08-21,18.51,8.26,10.25,96.48
2019-09-19,23.94,11.09,12.85,99.31
2019-10-17,21.56,10.2,11.36,97.69
2019-11-14,19.85,13.63,6.22,92.11
2019-12-13,14.58,16.06,-1.48,83.76
2020-01-14,20.56,19.31,1.25,86.72
2020-02-12,20.2,22.17,-1.97,83.23
2020-03-12,-8.71,-7.39,-1.32,83.93
2020-04-09,-0.67,4.54,-5.21,79.71
2020-05-08,-4.38,9.68,-14.06,70.11
2020-06-08,12.62,20.77,-8.15,76.52
2020-07-07,4.61,16.81,-12.2,72.13
2020-08-04,12.3,22.24,-9.94,74.58
2020-09-01,15.27,26.62,-11.35,73.05
2020-09-30,18.19,22.37,-4.18,80.83
2020-10-28,7.04,18.79,-11.75,72.62
2020-11-25,29.97,31.0,-1.03,84.25
2020-12-24,26.24,32.65,-6.41,78.41
2021-01-26,25.03,37.29,-12.26,72.06
2021-02-24,32.76,39.48,-6.72,78.07
2021-03-24,38.31,38.31,0.0,85.36
2021-04-22,33.99,44.93,-10.94,73.49
2021-05-20,34.91,45.12,-10.21,74.29
2021-06-18,38.34,44.74,-6.4,78.42
2021-07-19,37.49,46.9,-9.41,75.15
2021-08-16,42.54,52.69,-10.15,74.35
2021-09-14,33.54,50.65,-17.11,66.8
2021-10-12,25.17,46.96,-21.79,61.72
2021-11-09,28.13,57.28,-29.15,53.74
2021-12-08,16.38,57.14,-40.76,41.14
2022-01-06,19.81,55.71,-35.9,46.41
2022-02-04,16.77,48.73,-31.96,50.69
2022-03-07,9.51,38.56,-29.05,53.85
2022-04-04,13.59,50.04,-36.45,45.82
2022-05-03,-4.58,36.37,-40.95,40.94
2022-06-01,3.76,33.73,-29.97,52.85
2022-06-30,-7.29,23.28,-30.57,52.2
2022-07-29,-11.28,34.14,-45.42,36.09
2022-08-26,-11.94,32.25,-44.19,37.42
2022-09-26,-24.34,20.34,-44.68,36.89
2022-10-24,-23.51,24.25,-47.76,33.55
2022-11-21,-15.21,29.08,-44.29,37.31
2022-12-20,-14.91,24.09,-39.0,43.05
2023-01-20,-2.9,28.72,-31.62,51.06
2023-02-17,-3.49,31.99,-35.48,46.87
2023-03-20,-9.98,27.76,-37.74,44.42
2023-04-18,-5.37,33.44,-38.81,43.26
2023-05-16,-1.75,31.79,-33.54,48.97
2023-06-14,0.99,39.9,-38.91,43.15
2023-07-14,3.84,43.27,-39.43,42.58
2023-08-11,13.26,42.01,-28.75,54.17
2023-09-11,12.34,42.23,-29.89,52.93
2023-10-09,9.34,36.77,-27.43,55.6
2023-11-06,5.25,37.4,-32.15,50.48
2023-12-05,3.09,43.51,-40.42,41.51
2024-01-04,5.52,46.32,-40.8,41.1
2024-02-02,11.47,54.14,-42.67,39.07
2024-03-04,3.47,59.08,-55.61,25.03
2024-04-02,3.31,60.46,-57.15,23.36
2024-04-30,-5.81,55.27,-61.08,19.1
2024-05-29,-6.19,62.08,-68.27,11.29
2024-06-27,-5.31,68.1,-73.41,5.72
2024-07-26,-1.77,66.24,-68.01,11.58
